Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.76590,0.93,CV,100,200,10
-6.42617,0.99,BS,100,200,10
-6.13794,0.99,CV,100,100,10
-6.12237,0.98,BS,100,100,10
-6.46379,0.79,CV,100,50,10
-5.74952,0.96,BS,100,50,10
-6.57019,0.96,CV,100,200,5
-6.36903,1.00,BS,100,200,5
-6.41796,0.90,CV,100,100,5
-6.10996,0.98,BS,100,100,5
-5.74752,0.97,CV,100,50,5
-5.67295,0.96,BS,100,50,5
-6.54150,0.97,CV,100,200,3
-6.51569,1.00,BS,100,200,3
-6.29676,0.97,CV,100,100,3
-6.31175,0.89,BS,100,100,3
-5.78954,0.97,CV,100,50,3
-5.99486,0.95,BS,100,50,3
-6.191057283,1,Sectioning,10,300,0
-6.515353735,0.96,Sectioning,20,300,0
-6.68791237,0.88,Sectioning,30,300,0
-6.107735547,1,Sectioning,40,300,0
-6.145805139,1,Sectioning,50,300,0
-6.347547712,0.99,Sectioning,60,300,0
-6.500992824,0.94,Sectioning,70,300,0
-6.765530618,0.79,Sectioning,80,300,0
-7.225498613,0.44,Sectioning,90,300,0
-5.56717,1.00,Sectioning,10,200,0
-5.91381,1.00,Sectioning,20,200,0
-6.09416,1.00,Sectioning,30,200,0
-6.12382,0.99,Sectioning,40,200,0
-6.32555,0.97,Sectioning,50,200,0
-6.53012,0.89,Sectioning,60,200,0
-6.70696,0.85,Sectioning,70,200,0
-7.04714,0.59,Sectioning,80,200,0
-7.41026,0.29,Sectioning,90,200,0
-5.83599,1.00,Sectioning,10,100,0
-6.14038,0.94,Sectioning,20,100,0
-6.30186,0.91,Sectioning,30,100,0
-6.44560,0.86,Sectioning,40,100,0
-6.67302,0.81,Sectioning,50,100,0
-6.88200,0.67,Sectioning,60,100,0
-7.21470,0.45,Sectioning,70,100,0
-7.53388,0.26,Sectioning,80,100,0
-7.76777,0.10,Sectioning,90,100,0
-6.24633,0.87,Sectioning,10,50,0
-6.45905,0.80,Sectioning,20,50,0
-6.76115,0.65,Sectioning,30,50,0
-6.69040,0.66,Sectioning,40,50,0
-7.24341,0.44,Sectioning,50,50,0
-7.42557,0.33,Sectioning,60,50,0
-7.90121,0.11,Sectioning,70,50,0
-7.68494,0.17,Sectioning,80,50,0
