config,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,mean_obj,mean_oracle_gap,meets
paper_dro_wasserstein,100,0.1,10,500,NV,0.752,0.7123215407533253,0.7878357916540525,-7.494119323998937,-0.03392902707705525,False
paper_dro_wasserstein,100,0.1,10,500,UG,0.984,0.9687488914666058,0.9918707469666117,-6.892827026890061,0.5673632700318212,True
paper_dro_wasserstein,100,0.1,10,500,NGS,0.99,0.9768069002442693,0.9957212461034096,-6.72683322760104,0.7333570693208421,True
paper_dro_wasserstein,100,0.1,10,500,UNGS,0.99,0.9768069002442693,0.9957212461034096,-6.260198062370865,1.1999922345510186,True
paper_dro_wasserstein,100,0.1,5,500,NV,0.716,0.674944056876268,0.7537622280443413,-3.3922152261548417,-0.033080451941909575,False
paper_dro_wasserstein,100,0.1,5,500,UG,0.978,0.9610391387886836,0.9876719917300725,-3.1034297893000495,0.2557049849128831,True
paper_dro_wasserstein,100,0.1,5,500,NGS,0.992,0.9796129641658948,0.9968846848199377,-3.0266398326899915,0.33249494152294107,True
paper_dro_wasserstein,100,0.1,5,500,UNGS,0.99,0.9768069002442693,0.9957212461034096,-2.798318112942293,0.56081666127064,True
paper_dro_wasserstein,100,0.2,10,500,NV,0.63,0.5868399352542358,0.6711777362257606,-7.670068973496606,-0.1098511010676194,False
paper_dro_wasserstein,100,0.2,10,500,UG,0.986,0.9713869308622147,0.9932022102091564,-7.023515719418236,0.53670215301075,True
paper_dro_wasserstein,100,0.2,10,500,NGS,0.992,0.9796129641658948,0.9968846848199377,-6.822361035520973,0.7378568369080132,True
paper_dro_wasserstein,100,0.2,10,500,UNGS,0.992,0.9796129641658948,0.9968846848199377,-6.157576358458113,1.402641513970874,True
paper_dro_wasserstein,100,0.2,5,500,NV,0.614,0.5706131270887722,0.6556485232859939,-3.4736232822455575,-0.06638210570251596,False
paper_dro_wasserstein,100,0.2,5,500,UG,0.956,0.9342805571276716,0.9707660443713928,-3.145897500036715,0.26134367650632656,True
paper_dro_wasserstein,100,0.2,5,500,NGS,0.976,0.9585229425360993,0.986218685344503,-3.0614338717032368,0.3458073048398052,True
paper_dro_wasserstein,100,0.2,5,500,UNGS,0.978,0.9610391387886836,0.9876719917300725,-2.7733928759330646,0.6338483006099773,True
paper_dro_wasserstein,100,0.3,10,500,NV,0.562,0.5182029258694332,0.6048516559133346,-7.763567192340046,-0.12133670458726123,False
paper_dro_wasserstein,100,0.3,10,500,UG,0.962,0.9414152274693561,0.9755398819441696,-7.033711580602295,0.6085189071504885,True
paper_dro_wasserstein,100,0.3,10,500,NGS,0.962,0.9414152274693561,0.9755398819441696,-7.030466390484716,0.6117640972680677,True
paper_dro_wasserstein,100,0.3,10,500,UNGS,0.982,0.9661483290912607,0.990501806703803,-5.720332415423705,1.9218980723290793,True
paper_dro_wasserstein,100,0.3,5,500,NV,0.578,0.534276977868969,0.6205336250190289,-3.516506290689805,-0.05693708457718014,False
paper_dro_wasserstein,100,0.3,5,500,UG,0.948,0.9248988560621544,0.9642697348842947,-3.1603322021993008,0.2992370039133242,False
paper_dro_wasserstein,100,0.3,5,500,NGS,0.948,0.9248988560621544,0.9642697348842947,-3.1580016094929113,0.3015675966197131,False
paper_dro_wasserstein,100,0.3,5,500,UNGS,0.976,0.9585229425360993,0.986218685344503,-2.6515862156536945,0.8079829904589303,True
