config,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,mean_obj,mean_oracle_gap,meets
paper_dro_wasserstein,100,0.5,10,1000,NV,0.481,0.4501645630755934,0.5119808537468576,-7.844608241595975,-0.14036038209192037,False
paper_dro_wasserstein,100,0.5,10,1000,UG,0.918,0.8993527833262955,0.9334480465797805,-7.135189015404987,0.5690588440990682,False
paper_dro_wasserstein,100,0.5,10,1000,NGS,0.949,0.9335645136552383,0.9609990572247332,-6.9253694396263,0.7788784198777554,False
paper_dro_wasserstein,100,0.5,10,1000,UNGS,0.97,0.9574965858524128,0.9789062611711653,-4.1036519860914105,3.600595873412645,True
paper_dro_wasserstein,100,0.5,20,1000,NV,0.509,0.47804015149447454,0.5398909668527856,-16.916247979025446,-0.2135502671615961,False
paper_dro_wasserstein,100,0.5,20,1000,UG,0.932,0.9146861384770105,0.9460075421914699,-15.638405657270116,1.0642920545937369,False
paper_dro_wasserstein,100,0.5,20,1000,NGS,0.956,0.9414482108495923,0.9670617854115815,-15.172636280500257,1.5300614313635934,True
paper_dro_wasserstein,100,0.5,20,1000,UNGS,0.988,0.9791427315245017,0.9931223521935965,-9.709382732053637,6.993314979810216,True
paper_dro_wasserstein,100,0.5,2,1000,NV,0.609,0.5783935161547875,0.6387722504953615,-1.1959093883011565,-0.0014277800322340917,False
paper_dro_wasserstein,100,0.5,2,1000,UG,0.945,0.9290916123226243,0.9575025726252315,-1.0698282535816417,0.12465335468728068,False
paper_dro_wasserstein,100,0.5,2,1000,NGS,0.951,0.9358092984933898,0.9627389653526394,-1.0424291614692387,0.15205244679968366,True
paper_dro_wasserstein,100,0.5,2,1000,UNGS,0.967,0.9540187355329184,0.9764070720415732,-0.7988698288489426,0.39561177941997994,True
paper_dro_wasserstein,100,0.5,5,1000,NV,0.489,0.4581191521232714,0.5199650365634109,-3.559566575415154,-0.05964453233469011,False
paper_dro_wasserstein,100,0.5,5,1000,UG,0.899,0.8787702573809262,0.9161759893476009,-3.211538156029305,0.28838388705115936,False
paper_dro_wasserstein,100,0.5,5,1000,NGS,0.93,0.9124853518487167,0.9442236358537061,-3.1145203296231694,0.38540171345729507,False
paper_dro_wasserstein,100,0.5,5,1000,UNGS,0.959,0.9448520067923587,0.9696350289179017,-1.968247180779911,1.5316748623005534,True
paper_dro_wasserstein,200,0.5,10,1000,NV,0.557,0.5260523439907523,0.5875114055418946,-7.833426375319804,-0.0514821476916591,False
paper_dro_wasserstein,200,0.5,10,1000,UG,0.928,0.9102882164172793,0.9424360783190856,-7.394362798844899,0.38758142878324653,False
paper_dro_wasserstein,200,0.5,10,1000,NGS,0.973,0.9610012692469598,0.9813786172257051,-7.189895265493533,0.5920489621346133,True
paper_dro_wasserstein,200,0.5,10,1000,UNGS,0.983,0.9729440411597701,0.9893593101431837,-6.856233242371383,0.9257109852567612,True
paper_dro_wasserstein,200,0.5,20,1000,NV,0.526,0.49501179061158157,0.5567892179471697,-16.948288541546116,-0.1359701388602515,False
paper_dro_wasserstein,200,0.5,20,1000,UG,0.926,0.9080945943544141,0.940645007415893,-16.12966001830801,0.6826583843778562,False
paper_dro_wasserstein,200,0.5,20,1000,NGS,0.967,0.9540187355329184,0.9764070720415732,-15.759173862623275,1.0531445400625898,True
paper_dro_wasserstein,200,0.5,20,1000,UNGS,0.986,0.9766379658824644,0.9916424248695761,-15.042789484361553,1.7695289183243113,True
paper_dro_wasserstein,200,0.5,2,1000,NV,0.649,0.6188992039590456,0.6779604220122589,-1.2044740723771934,0.0026901210625508787,False
paper_dro_wasserstein,200,0.5,2,1000,UG,0.928,0.9102882164172793,0.9424360783190856,-1.1266035984647829,0.08056059497496165,False
paper_dro_wasserstein,200,0.5,2,1000,NGS,0.962,0.9482730796686497,0.9721909954906974,-1.0955489057598549,0.1116152876798895,True
paper_dro_wasserstein,200,0.5,2,1000,UNGS,0.971,0.9586616416633058,0.9797335518433012,-1.0528638753902508,0.15430031804949365,True
paper_dro_wasserstein,200,0.5,5,1000,NV,0.526,0.49501179061158157,0.5567892179471697,-3.5731724562497944,-0.02779720744744957,False
paper_dro_wasserstein,200,0.5,5,1000,UG,0.914,0.8949999687497208,0.9298314752242396,-3.343148112587008,0.20222713621533678,False
paper_dro_wasserstein,200,0.5,5,1000,NGS,0.971,0.9586616416633058,0.9797335518433012,-3.242564176856366,0.3028110719459778,True
paper_dro_wasserstein,200,0.5,5,1000,UNGS,0.983,0.9729440411597701,0.9893593101431837,-3.081107771023432,0.4642674777789125,True
paper_dro_wasserstein,400,0.5,10,1000,NV,0.502,0.47106219334840704,0.5329224996176508,-7.897773110325434,-0.04919097494458062,False
paper_dro_wasserstein,400,0.5,10,1000,UG,0.928,0.9102882164172793,0.9424360783190856,-7.572543124276391,0.2760390111044612,False
paper_dro_wasserstein,400,0.5,10,1000,NGS,0.986,0.9766379658824644,0.9916424248695761,-7.405324430358084,0.44325770502276934,True
paper_dro_wasserstein,400,0.5,10,1000,UNGS,0.988,0.9791427315245017,0.9931223521935965,-7.2744702421903344,0.5741118931905176,True
paper_dro_wasserstein,400,0.5,20,1000,NV,0.533,0.5020104989134991,0.5637369350264544,-17.00016497515179,-0.09314370011953343,False
paper_dro_wasserstein,400,0.5,20,1000,UG,0.931,0.9135852797713628,0.9451160544140889,-16.417806697479786,0.4892145775524704,False
paper_dro_wasserstein,400,0.5,20,1000,NGS,0.993,0.9856216845342334,0.9966051315990092,-16.106083490414925,0.8009377846173342,True
paper_dro_wasserstein,400,0.5,20,1000,UNGS,0.994,0.9869718317581478,0.9972473308581237,-15.808253989240594,1.0987672857916608,True
paper_dro_wasserstein,400,0.5,2,1000,NV,0.738,0.7098723945402419,0.764306068420634,-1.2087268503750903,0.0050589765507996955,False
paper_dro_wasserstein,400,0.5,2,1000,UG,0.958,0.9437155747733968,0.9687791144538346,-1.1551525522983839,0.05863327462750613,True
paper_dro_wasserstein,400,0.5,2,1000,NGS,0.991,0.982984183834662,0.9952579393325229,-1.1273192206022795,0.08646660632361065,True
paper_dro_wasserstein,400,0.5,2,1000,UNGS,0.984,0.97416793978826,0.9901277579977227,-1.1202018823775006,0.09358394454838943,True
paper_dro_wasserstein,400,0.5,5,1000,NV,0.52,0.4890177246575191,0.5508292050030589,-3.594632230254092,-0.007659756588931551,False
paper_dro_wasserstein,400,0.5,5,1000,UG,0.923,0.9048104693818263,0.9379520929393942,-3.4303520014890565,0.15662047217610403,False
paper_dro_wasserstein,400,0.5,5,1000,NGS,0.978,0.9669143266526004,0.985427292235209,-3.348722047985009,0.2382504256801518,True
paper_dro_wasserstein,400,0.5,5,1000,UNGS,0.982,0.9717267448294926,0.9885842599904322,-3.2901671613547787,0.29680531231038154,True
paper_fast,1000,0.5,10,1000,NV,1.0,0.996173241514445,1.0,-6.640348883900193,-1.0658141036401503e-17,True
paper_fast,1000,0.5,10,1000,UG,1.0,0.996173241514445,1.0,-6.640348883900193,-1.0658141036401503e-17,True
paper_fast,1000,0.5,10,1000,NGS,1.0,0.996173241514445,1.0,-6.640348883900193,-1.0658141036401503e-17,True
paper_fast,1000,0.5,10,1000,UNGS,1.0,0.996173241514445,1.0,-6.640348883900193,-1.0658141036401503e-17,True
paper_fast,1000,0.5,10,1000,benchmark,1.0,0.996173241514445,1.0,-5.731153477211817,0.9091954066883754,True
paper_fast,1000,0.5,20,1000,NV,1.0,0.996173241514445,1.0,-15.176392200978036,1.0658141036401503e-17,True
paper_fast,1000,0.5,20,1000,UG,1.0,0.996173241514445,1.0,-15.176392200978036,1.0658141036401503e-17,True
paper_fast,1000,0.5,20,1000,NGS,1.0,0.996173241514445,1.0,-15.176392200978036,1.0658141036401503e-17,True
paper_fast,1000,0.5,20,1000,UNGS,1.0,0.996173241514445,1.0,-15.176392200978036,1.0658141036401503e-17,True
paper_fast,1000,0.5,20,1000,benchmark,1.0,0.996173241514445,1.0,-13.024503764991662,2.1518884359863724,True
paper_fast,1000,0.5,2,1000,NV,1.0,0.996173241514445,1.0,-0.827946976111118,0.0,True
paper_fast,1000,0.5,2,1000,UG,1.0,0.996173241514445,1.0,-0.827946976111118,0.0,True
paper_fast,1000,0.5,2,1000,NGS,1.0,0.996173241514445,1.0,-0.827946976111118,0.0,True
paper_fast,1000,0.5,2,1000,UNGS,1.0,0.996173241514445,1.0,-0.827946976111118,0.0,True
paper_fast,1000,0.5,2,1000,benchmark,1.0,0.996173241514445,1.0,-0.7656844662091614,0.06226250990195661,True
paper_fast,1000,0.5,50,1000,NV,1.0,0.996173241514445,1.0,-42.72503431195766,-5.684341886080802e-17,True
paper_fast,1000,0.5,50,1000,UG,1.0,0.996173241514445,1.0,-42.72503431195766,-5.684341886080802e-17,True
paper_fast,1000,0.5,50,1000,NGS,1.0,0.996173241514445,1.0,-42.72503431195766,-5.684341886080802e-17,True
paper_fast,1000,0.5,50,1000,UNGS,1.0,0.996173241514445,1.0,-42.72503431195766,-5.684341886080802e-17,True
paper_fast,1000,0.5,50,1000,benchmark,1.0,0.996173241514445,1.0,-36.98230417678754,5.742730135170123,True
paper_fast,1000,0.5,5,1000,NV,1.0,0.996173241514445,1.0,-2.7865194253067482,-1.4210854715202004e-17,True
paper_fast,1000,0.5,5,1000,UG,1.0,0.996173241514445,1.0,-2.7865194253067482,-1.4210854715202004e-17,True
paper_fast,1000,0.5,5,1000,NGS,1.0,0.996173241514445,1.0,-2.7865194253067482,-1.4210854715202004e-17,True
paper_fast,1000,0.5,5,1000,UNGS,1.0,0.996173241514445,1.0,-2.7865194253067482,-1.4210854715202004e-17,True
paper_fast,1000,0.5,5,1000,benchmark,1.0,0.996173241514445,1.0,-2.462849452877286,0.3236699724294616,True
paper_fast,200,0.5,10,1000,NV,0.986,0.9766379658824644,0.9916424248695761,-7.257044661917384,0.019453235984435362,True
paper_fast,200,0.5,10,1000,UG,0.999,0.9943574414020421,0.9998234536293739,-7.077897908458942,0.19859998944287707,True
paper_fast,200,0.5,10,1000,NGS,0.999,0.9943574414020421,0.9998234536293739,-6.999030132637939,0.27746776526387973,True
paper_fast,200,0.5,10,1000,UNGS,0.999,0.9943574414020421,0.9998234536293739,-7.037647359638253,0.23885053826356545,True
paper_fast,200,0.5,10,1000,benchmark,1.0,0.996173241514445,1.0,-6.010416014455828,1.2660818834459915,True
paper_fast,200,0.5,20,1000,NV,0.972,0.9598298168024069,0.9805577231872291,-16.121020983383122,0.07686757343496901,True
paper_fast,200,0.5,20,1000,UG,0.995,0.9883490446266249,0.9978624644726756,-15.590774375060159,0.6071141817579346,True
paper_fast,200,0.5,20,1000,NGS,0.999,0.9943574414020421,0.9998234536293739,-15.433603370782109,0.7642851860359858,True
paper_fast,200,0.5,20,1000,UNGS,0.996,0.9897604437227377,0.9984434118595916,-15.52978737048112,0.668101186336971,True
paper_fast,200,0.5,20,1000,benchmark,1.0,0.996173241514445,1.0,-13.054368615724616,3.1435199410934778,True
paper_fast,200,0.5,2,1000,NV,1.0,0.996173241514445,1.0,-0.9464212681376937,0.00022440032258517584,True
paper_fast,200,0.5,2,1000,UG,1.0,0.996173241514445,1.0,-0.9441279337570523,0.0025177347032267106,True
paper_fast,200,0.5,2,1000,NGS,1.0,0.996173241514445,1.0,-0.941767653426733,0.004878015033545917,True
paper_fast,200,0.5,2,1000,UNGS,1.0,0.996173241514445,1.0,-0.9437040159392195,0.002941652521059428,True
paper_fast,200,0.5,2,1000,benchmark,1.0,0.996173241514445,1.0,-0.8488658527273408,0.09777981573293817,True
paper_fast,200,0.5,50,1000,NV,0.959,0.9448520067923587,0.9696350289179017,-44.12525358963654,0.12769279722521568,True
paper_fast,200,0.5,50,1000,UG,0.992,0.9842936654690199,0.995940804181194,-42.447491296749206,1.8054550901125563,True
paper_fast,200,0.5,50,1000,NGS,0.994,0.9869718317581478,0.9972473308581237,-42.12649383423422,2.126452552627538,True
paper_fast,200,0.5,50,1000,UNGS,0.993,0.9856216845342334,0.9966051315990092,-42.29583260873736,1.9571137781243946,True
paper_fast,200,0.5,50,1000,benchmark,1.0,0.9934540091485463,1.0,-25.481027119415366,18.779030825462346,True
paper_fast,200,0.5,5,1000,NV,0.999,0.9943574414020421,0.9998234536293739,-3.1119617556815347,0.007079357490602221,True
paper_fast,200,0.5,5,1000,UG,1.0,0.996173241514445,1.0,-3.0656911664913586,0.053349946680778214,True
paper_fast,200,0.5,5,1000,NGS,1.0,0.996173241514445,1.0,-3.0370845377880182,0.08195657538411905,True
paper_fast,200,0.5,5,1000,UNGS,1.0,0.996173241514445,1.0,-3.051626309518848,0.0674148036532888,True
paper_fast,200,0.5,5,1000,benchmark,1.0,0.996173241514445,1.0,-2.6454639897166228,0.473577123455514,True
paper_fast,500,0.5,10,1000,NV,1.0,0.996173241514445,1.0,-6.901272292484258,1.5987211554602253e-17,True
paper_fast,500,0.5,10,1000,UG,1.0,0.996173241514445,1.0,-6.900493179474099,0.000779113010159497,True
paper_fast,500,0.5,10,1000,NGS,1.0,0.996173241514445,1.0,-6.898302764089928,0.0029695283943294982,True
paper_fast,500,0.5,10,1000,UNGS,1.0,0.996173241514445,1.0,-6.900493179474099,0.000779113010159497,True
paper_fast,500,0.5,10,1000,benchmark,1.0,0.996173241514445,1.0,-5.883018245464664,1.0182540470195935,True
paper_fast,500,0.5,20,1000,NV,1.0,0.996173241514445,1.0,-15.61230402918551,0.001648390379493371,True
paper_fast,500,0.5,20,1000,UG,1.0,0.996173241514445,1.0,-15.587873872642543,0.026078546922460758,True
paper_fast,500,0.5,20,1000,NGS,1.0,0.996173241514445,1.0,-15.576591377734632,0.037361041830372595,True
paper_fast,500,0.5,20,1000,UNGS,1.0,0.996173241514445,1.0,-15.587873872642543,0.026078546922460758,True
paper_fast,500,0.5,20,1000,benchmark,1.0,0.996173241514445,1.0,-13.159923409004485,2.454029010560519,True
paper_fast,500,0.5,2,1000,NV,1.0,0.996173241514445,1.0,-0.8714812405665584,0.0,True
paper_fast,500,0.5,2,1000,UG,1.0,0.996173241514445,1.0,-0.8714812405665584,0.0,True
paper_fast,500,0.5,2,1000,NGS,1.0,0.996173241514445,1.0,-0.8714812405665584,0.0,True
paper_fast,500,0.5,2,1000,UNGS,1.0,0.996173241514445,1.0,-0.8714812405665584,0.0,True
paper_fast,500,0.5,2,1000,benchmark,1.0,0.996173241514445,1.0,-0.799051684664857,0.07242955590170153,True
paper_fast,500,0.5,50,1000,NV,1.0,0.996173241514445,1.0,-43.479586857499164,0.0089990203179093,True
paper_fast,500,0.5,50,1000,UG,1.0,0.996173241514445,1.0,-43.35506172458253,0.13352415323454306,True
paper_fast,500,0.5,50,1000,NGS,1.0,0.996173241514445,1.0,-43.30174224846388,0.18684362935319415,True
paper_fast,500,0.5,50,1000,UNGS,1.0,0.996173241514445,1.0,-43.350558380714524,0.13802749710254794,True
paper_fast,500,0.5,50,1000,benchmark,1.0,0.996173241514445,1.0,-36.406033425993094,7.0825524518239815,True
paper_fast,500,0.5,5,1000,NV,1.0,0.996173241514445,1.0,-2.909652111986085,9.769962616701377e-18,True
paper_fast,500,0.5,5,1000,UG,1.0,0.996173241514445,1.0,-2.909336821354141,0.00031529063194473127,True
paper_fast,500,0.5,5,1000,NGS,1.0,0.996173241514445,1.0,-2.909336821354141,0.00031529063194473127,True
paper_fast,500,0.5,5,1000,UNGS,1.0,0.996173241514445,1.0,-2.909336821354141,0.00031529063194473127,True
paper_fast,500,0.5,5,1000,benchmark,1.0,0.996173241514445,1.0,-2.5359795524330067,0.3736725595530789,True
paper_ro_ellipsoid,1000,0.5,100,1000,NV,1.0,0.996173241514445,1.0,-89.56299560126276,1.8474111129762604e-16,True
paper_ro_ellipsoid,1000,0.5,100,1000,UG,1.0,0.996173241514445,1.0,-89.56299560126276,1.8474111129762604e-16,True
paper_ro_ellipsoid,1000,0.5,100,1000,NGS,1.0,0.996173241514445,1.0,-89.56299560126276,1.8474111129762604e-16,True
paper_ro_ellipsoid,1000,0.5,100,1000,UNGS,1.0,0.996173241514445,1.0,-89.56299560126276,1.8474111129762604e-16,True
paper_ro_ellipsoid,1000,0.5,100,1000,benchmark,1.0,0.996173241514445,1.0,-89.83596171629073,-0.2729661150279833,True
