config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_dro_wasserstein,200,0.5,10,0.01,,,,NV,0.52,-6.4507943151494205,0.95,False
paper_dro_wasserstein,200,0.5,10,0.01,,,,UG,0.818,-6.0305483565635996,0.95,False
paper_dro_wasserstein,200,0.5,10,0.01,,,,NGS,0.818,-6.0305483565635996,0.95,False
paper_dro_wasserstein,200,0.5,10,0.01,,,,UNGS,0.976,-0.43627191256866593,0.95,True
paper_dro_wasserstein,200,0.5,10,0.02,,,,NV,0.524,-6.758359485779981,0.95,False
paper_dro_wasserstein,200,0.5,10,0.02,,,,UG,0.924,-6.065651311023965,0.95,False
paper_dro_wasserstein,200,0.5,10,0.02,,,,NGS,0.924,-6.065651311023965,0.95,False
paper_dro_wasserstein,200,0.5,10,0.02,,,,UNGS,0.99,-0.6392344494013059,0.95,True
paper_dro_wasserstein,200,0.5,10,0.05,,,,NV,0.532,-7.298605904135675,0.95,False
paper_dro_wasserstein,200,0.5,10,0.05,,,,UG,0.93,-6.763216216510389,0.95,False
paper_dro_wasserstein,200,0.5,10,0.05,,,,NGS,0.956,-6.570847604612343,0.95,True
paper_dro_wasserstein,200,0.5,10,0.05,,,,UNGS,0.978,-2.275968088772818,0.95,True
paper_dro_wasserstein,200,0.5,10,0.15,,,,NV,0.5,-8.253741095887538,0.95,False
paper_dro_wasserstein,200,0.5,10,0.15,,,,UG,0.928,-7.801844807106345,0.95,False
paper_dro_wasserstein,200,0.5,10,0.15,,,,NGS,0.972,-7.5899225057344495,0.95,True
paper_dro_wasserstein,200,0.5,10,0.15,,,,UNGS,0.972,-7.453800051151904,0.95,True
paper_dro_wasserstein,200,0.5,10,0.1,,,,NV,0.488,-7.886894909193086,0.95,False
paper_dro_wasserstein,200,0.5,10,0.1,,,,UG,0.916,-7.4275125802075115,0.95,False
paper_dro_wasserstein,200,0.5,10,0.1,,,,NGS,0.968,-7.222435572765843,0.95,True
paper_dro_wasserstein,200,0.5,10,0.1,,,,UNGS,0.984,-6.882707405554185,0.95,True
paper_dro_wasserstein,200,0.5,10,0.2,,,,NV,0.556,-8.59270407696072,0.95,False
paper_dro_wasserstein,200,0.5,10,0.2,,,,UG,0.946,-8.122548363679917,0.95,False
paper_dro_wasserstein,200,0.5,10,0.2,,,,NGS,0.972,-7.93265767958445,0.95,True
paper_dro_wasserstein,200,0.5,10,0.2,,,,UNGS,0.97,-7.829349138583162,0.95,True
paper_dro_wasserstein,200,0.5,10,0.3,,,,NV,0.588,-9.191104281622023,0.95,False
paper_dro_wasserstein,200,0.5,10,0.3,,,,UG,0.936,-8.766924345638351,0.95,False
paper_dro_wasserstein,200,0.5,10,0.3,,,,NGS,0.986,-8.542123968049735,0.95,True
paper_dro_wasserstein,200,0.5,10,0.3,,,,UNGS,0.982,-8.558838363534942,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.01,,,,NV,0.738,-6.511740836244046,0.95,False
paper_ro_ellipsoid,500,0.5,10,0.01,,,,UG,0.984,-6.079626209899916,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.01,,,,NGS,0.984,-6.079626209899916,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.01,,,,UNGS,0.984,-6.079626209899916,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.01,,,,benchmark,1.0,-6.0519988461728955,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.02,,,,NV,0.776,-6.8294343834449105,0.95,False
paper_ro_ellipsoid,500,0.5,10,0.02,,,,UG,0.98,-6.535413507596171,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.02,,,,NGS,0.986,-6.400879864181951,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.02,,,,UNGS,0.998,-6.078542702683384,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.02,,,,benchmark,1.0,-6.25801888551449,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.05,,,,NV,0.854,-7.218247920280431,0.95,False
paper_ro_ellipsoid,500,0.5,10,0.05,,,,UG,0.98,-6.970254616135122,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.05,,,,NGS,0.984,-6.917247418512802,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.05,,,,UNGS,0.996,-6.697328584493268,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.05,,,,benchmark,1.0,-6.587650953490255,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.15,,,,NV,0.944,-8.053226363423365,0.95,False
paper_ro_ellipsoid,500,0.5,10,0.15,,,,UG,0.996,-7.741026307796749,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.15,,,,NGS,1.0,-7.636322298146746,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.15,,,,UNGS,0.996,-7.716554567344962,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.15,,,,benchmark,1.0,-7.124529302164887,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.1,,,,NV,0.862,-7.603537695471501,0.95,False
paper_ro_ellipsoid,500,0.5,10,0.1,,,,UG,0.99,-7.440301990846368,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.1,,,,NGS,0.996,-7.394216259277087,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.1,,,,UNGS,0.99,-7.376654265468926,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.1,,,,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.2,,,,NV,1.0,-8.217215142972963,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.2,,,,UG,1.0,-8.120338109841242,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.2,,,,NGS,1.0,-8.039940711686093,0.95,True
