config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_dro_wasserstein,200,0.5,10,,0.01,,,NV,0.556,-7.844542359572264,0.99,False
paper_dro_wasserstein,200,0.5,10,,0.01,,,UG,0.99,-7.094963032580688,0.99,True
paper_dro_wasserstein,200,0.5,10,,0.01,,,NGS,0.992,-7.09209046853545,0.99,True
paper_dro_wasserstein,200,0.5,10,,0.01,,,UNGS,1.0,-5.112869049248993,0.99,True
paper_dro_wasserstein,200,0.5,10,,0.02,,,NV,0.482,-7.892836516493885,0.98,False
paper_dro_wasserstein,200,0.5,10,,0.02,,,UG,0.962,-7.305726897238059,0.98,False
paper_dro_wasserstein,200,0.5,10,,0.02,,,NGS,0.984,-7.14965295231962,0.98,True
paper_dro_wasserstein,200,0.5,10,,0.02,,,UNGS,0.992,-6.268360248982957,0.98,True
paper_dro_wasserstein,200,0.5,10,,0.05,,,NV,0.488,-7.886894909193086,0.95,False
paper_dro_wasserstein,200,0.5,10,,0.05,,,UG,0.916,-7.4275125802075115,0.95,False
paper_dro_wasserstein,200,0.5,10,,0.05,,,NGS,0.968,-7.222435572765844,0.95,True
paper_dro_wasserstein,200,0.5,10,,0.05,,,UNGS,0.984,-6.882707405554184,0.95,True
paper_dro_wasserstein,200,0.5,10,,0.15,,,NV,0.498,-7.87308178104805,0.85,False
paper_dro_wasserstein,200,0.5,10,,0.15,,,UG,0.84,-7.536892546437848,0.85,False
paper_dro_wasserstein,200,0.5,10,,0.15,,,NGS,0.942,-7.306312257101846,0.85,True
paper_dro_wasserstein,200,0.5,10,,0.15,,,UNGS,0.952,-7.184950329306997,0.85,True
paper_dro_wasserstein,200,0.5,10,,0.1,,,NV,0.486,-7.881595723248636,0.9,False
paper_dro_wasserstein,200,0.5,10,,0.1,,,UG,0.902,-7.427261475207152,0.9,True
paper_dro_wasserstein,200,0.5,10,,0.1,,,NGS,0.944,-7.279307363307651,0.9,True
paper_dro_wasserstein,200,0.5,10,,0.1,,,UNGS,0.958,-7.0883189838124085,0.9,True
paper_dro_wasserstein,200,0.5,10,,0.2,,,NV,0.512,-7.869836184549673,0.8,False
paper_dro_wasserstein,200,0.5,10,,0.2,,,UG,0.844,-7.54701536514217,0.8,True
paper_dro_wasserstein,200,0.5,10,,0.2,,,NGS,0.928,-7.414902322035591,0.8,True
paper_dro_wasserstein,200,0.5,10,,0.2,,,UNGS,0.942,-7.287797497503423,0.8,True
paper_dro_wasserstein,200,0.5,10,,0.3,,,NV,0.57,-7.826850255385536,0.7,False
paper_dro_wasserstein,200,0.5,10,,0.3,,,UG,0.768,-7.627054924422062,0.7,True
paper_dro_wasserstein,200,0.5,10,,0.3,,,NGS,0.92,-7.389867534574571,0.7,True
paper_dro_wasserstein,200,0.5,10,,0.3,,,UNGS,0.91,-7.364024593736864,0.7,True
paper_dro_wasserstein,200,0.5,10,,0.4,,,NV,0.52,-7.846139559016155,0.6,False
paper_dro_wasserstein,200,0.5,10,,0.4,,,UG,0.666,-7.750217092248187,0.6,True
paper_dro_wasserstein,200,0.5,10,,0.4,,,NGS,0.862,-7.5219737229570764,0.6,True
paper_dro_wasserstein,200,0.5,10,,0.4,,,UNGS,0.862,-7.488145025784013,0.6,True
paper_dro_wasserstein,200,0.5,10,,0.5,,,NV,0.566,-7.847580883808677,0.5,True
paper_dro_wasserstein,200,0.5,10,,0.5,,,UG,0.566,-7.847580883808677,0.5,True
paper_dro_wasserstein,200,0.5,10,,0.5,,,NGS,0.832,-7.558225980203104,0.5,True
paper_dro_wasserstein,200,0.5,10,,0.5,,,UNGS,0.802,-7.580972205862449,0.5,True
paper_ro_ellipsoid,500,0.5,10,,0.01,,,NV,0.854,-7.603819462357254,0.99,False
paper_ro_ellipsoid,500,0.5,10,,0.01,,,UG,1.0,-7.348759380437302,0.99,True
paper_ro_ellipsoid,500,0.5,10,,0.01,,,NGS,1.0,-7.309960739751595,0.99,True
paper_ro_ellipsoid,500,0.5,10,,0.01,,,UNGS,0.998,-7.230132842883848,0.99,True
paper_ro_ellipsoid,500,0.5,10,,0.01,,,benchmark,1.0,-6.901634398385975,0.99,True
paper_ro_ellipsoid,500,0.5,10,,0.02,,,NV,0.87,-7.603758794580838,0.98,False
paper_ro_ellipsoid,500,0.5,10,,0.02,,,UG,1.0,-7.389260695955878,0.98,True
paper_ro_ellipsoid,500,0.5,10,,0.02,,,NGS,1.0,-7.3453140287723775,0.98,True
paper_ro_ellipsoid,500,0.5,10,,0.02,,,UNGS,0.998,-7.29106709899278,0.98,True
paper_ro_ellipsoid,500,0.5,10,,0.02,,,benchmark,1.0,-6.901634398385975,0.98,True
paper_ro_ellipsoid,500,0.5,10,,0.05,,,NV,0.862,-7.603537695471501,0.95,False
paper_ro_ellipsoid,500,0.5,10,,0.05,,,UG,0.99,-7.440301990846369,0.95,True
paper_ro_ellipsoid,500,0.5,10,,0.05,,,NGS,0.996,-7.394216259277087,0.95,True
paper_ro_ellipsoid,500,0.5,10,,0.05,,,UNGS,0.99,-7.376654265468926,0.95,True
paper_ro_ellipsoid,500,0.5,10,,0.05,,,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,,0.15,,,NV,0.86,-7.59501952107587,0.85,True
paper_ro_ellipsoid,500,0.5,10,,0.15,,,UG,0.978,-7.485146455082331,0.85,True
paper_ro_ellipsoid,500,0.5,10,,0.15,,,NGS,0.994,-7.427829588131768,0.85,True
paper_ro_ellipsoid,500,0.5,10,,0.15,,,UNGS,0.978,-7.453910898633533,0.85,True
paper_ro_ellipsoid,500,0.5,10,,0.15,,,benchmark,1.0,-6.901634398385975,0.85,True
paper_ro_ellipsoid,500,0.5,10,,0.1,,,NV,0.868,-7.5869177061291175,0.9,False
paper_ro_ellipsoid,500,0.5,10,,0.1,,,UG,0.982,-7.459263318169025,0.9,True
paper_ro_ellipsoid,500,0.5,10,,0.1,,,NGS,0.996,-7.411894808175213,0.9,True
paper_ro_ellipsoid,500,0.5,10,,0.1,,,UNGS,0.982,-7.423834947945879,0.9,True
paper_ro_ellipsoid,500,0.5,10,,0.1,,,benchmark,1.0,-6.901634398385975,0.9,True
paper_ro_ellipsoid,500,0.5,10,,0.2,,,NV,0.86,-7.599509110032688,0.8,True
paper_ro_ellipsoid,500,0.5,10,,0.2,,,UG,0.956,-7.506929619928626,0.8,True
paper_ro_ellipsoid,500,0.5,10,,0.2,,,NGS,0.99,-7.441416346436079,0.8,True
paper_ro_ellipsoid,500,0.5,10,,0.2,,,UNGS,0.972,-7.467478811310321,0.8,True
paper_ro_ellipsoid,500,0.5,10,,0.2,,,benchmark,1.0,-6.901634398385975,0.8,True
paper_ro_ellipsoid,500,0.5,10,,0.3,,,NV,0.846,-7.605236592472236,0.7,True
paper_ro_ellipsoid,500,0.5,10,,0.3,,,UG,0.936,-7.531401376774975,0.7,True
paper_ro_ellipsoid,500,0.5,10,,0.3,,,NGS,0.978,-7.4627450296010105,0.7,True
paper_ro_ellipsoid,500,0.5,10,,0.3,,,UNGS,0.958,-7.494533785295777,0.7,True
paper_ro_ellipsoid,500,0.5,10,,0.3,,,benchmark,1.0,-6.901634398385975,0.7,True
paper_ro_ellipsoid,500,0.5,10,,0.4,,,NV,0.866,-7.596043222742126,0.6,True
paper_ro_ellipsoid,500,0.5,10,,0.4,,,UG,0.912,-7.55231784941683,0.6,True
paper_ro_ellipsoid,500,0.5,10,,0.4,,,NGS,0.97,-7.493206648472954,0.6,True
paper_ro_ellipsoid,500,0.5,10,,0.4,,,UNGS,0.948,-7.518903472255561,0.6,True
paper_ro_ellipsoid,500,0.5,10,,0.4,,,benchmark,1.0,-6.901634398385975,0.6,True
paper_ro_ellipsoid,500,0.5,10,,0.5,,,NV,0.85,-7.600970613352583,0.5,True
paper_ro_ellipsoid,500,0.5,10,,0.5,,,UG,0.85,-7.600970613352583,0.5,True
paper_ro_ellipsoid,500,0.5,10,,0.5,,,NGS,0.958,-7.500055312054617,0.5,True
paper_ro_ellipsoid,500,0.5,10,,0.5,,,UNGS,0.912,-7.542122017104437,0.5,True
paper_ro_ellipsoid,500,0.5,10,,0.5,,,benchmark,1.0,-6.901634398385975,0.5,True
paper_saa,400,0.5,10,,0.01,,,NV,0.458,-7.928373649043435,0.99,False
paper_saa,400,0.5,10,,0.01,,,UG,0.97,-7.5139240908975475,0.99,False
paper_saa,400,0.5,10,,0.01,,,NGS,0.988,-7.4025073378102295,0.99,False
paper_saa,400,0.5,10,,0.01,,,UNGS,0.994,-7.213940101586306,0.99,True
paper_saa,400,0.5,10,,0.02,,,NV,0.456,-7.925643788840838,0.98,False
paper_saa,400,0.5,10,,0.02,,,UG,0.984,-7.502572557321452,0.98,True
paper_saa,400,0.5,10,,0.02,,,NGS,0.994,-7.4085987454399955,0.98,True
paper_saa,400,0.5,10,,0.02,,,UNGS,0.998,-7.2402522717727535,0.98,True
paper_saa,400,0.5,10,,0.05,,,NV,0.438,-7.937020505150719,0.95,False
paper_saa,400,0.5,10,,0.05,,,UG,0.928,-7.629780556821222,0.95,False
paper_saa,400,0.5,10,,0.05,,,NGS,0.992,-7.458456691361871,0.95,True
paper_saa,400,0.5,10,,0.05,,,UNGS,0.99,-7.35396473673531,0.95,True
paper_saa,400,0.5,10,,0.15,,,NV,0.474,-7.937239235591109,0.85,False
paper_saa,400,0.5,10,,0.15,,,UG,0.8,-7.7454759843107785,0.85,False
paper_saa,400,0.5,10,,0.15,,,NGS,0.946,-7.570088768830287,0.85,True
paper_saa,400,0.5,10,,0.15,,,UNGS,0.954,-7.5052682861807964,0.85,True
paper_saa,400,0.5,10,,0.1,,,NV,0.486,-7.923842816118617,0.9,False
paper_saa,400,0.5,10,,0.1,,,UG,0.89,-7.67815518555048,0.9,False
paper_saa,400,0.5,10,,0.1,,,NGS,0.974,-7.5130899903694885,0.9,True
paper_saa,400,0.5,10,,0.1,,,UNGS,0.974,-7.439012090546973,0.9,True
paper_saa,400,0.5,10,,0.2,,,NV,0.456,-7.9383514682981895,0.8,False
paper_saa,400,0.5,10,,0.2,,,UG,0.778,-7.7547809702438295,0.8,False
paper_saa,400,0.5,10,,0.2,,,NGS,0.944,-7.597497522428366,0.8,True
paper_saa,400,0.5,10,,0.2,,,UNGS,0.936,-7.563760719656048,0.8,True
paper_saa,400,0.5,10,,0.3,,,NV,0.466,-7.932625521808344,0.7,False
paper_saa,400,0.5,10,,0.3,,,UG,0.716,-7.798023103302189,0.7,True
paper_saa,400,0.5,10,,0.3,,,NGS,0.89,-7.64230244184131,0.7,True
paper_saa,400,0.5,10,,0.3,,,UNGS,0.88,-7.6272088383790155,0.7,True
paper_saa,400,0.5,10,,0.4,,,NV,0.44,-7.9344184483604,0.6,False
paper_saa,400,0.5,10,,0.4,,,UG,0.648,-7.83928614277781,0.6,True
paper_saa,400,0.5,10,,0.4,,,NGS,0.864,-7.695570832558019,0.6,True
paper_saa,400,0.5,10,,0.4,,,UNGS,0.852,-7.683711293781098,0.6,True
paper_saa,400,0.5,10,,0.5,,,NV,0.428,-7.94178272114765,0.5,False
paper_saa,400,0.5,10,,0.5,,,UG,0.428,-7.94178272114765,0.5,False
paper_saa,400,0.5,10,,0.5,,,NGS,0.81,-7.731864050997822,0.5,True
paper_saa,400,0.5,10,,0.5,,,UNGS,0.796,-7.735485542535375,0.5,True
paper_so,500,0.5,10,,0.01,,,NV,0.73,-7.652767810194766,0.99,False
paper_so,500,0.5,10,,0.01,,,UG,0.994,-7.329990920078977,0.99,True
paper_so,500,0.5,10,,0.01,,,NGS,0.998,-7.273843400414884,0.99,True
paper_so,500,0.5,10,,0.01,,,UNGS,1.0,-7.019951001978568,0.99,True
paper_so,500,0.5,10,,0.01,,,benchmark,1.0,-6.650808513196118,0.99,True
paper_so,500,0.5,10,,0.02,,,NV,0.792,-7.622884554033364,0.98,False
paper_so,500,0.5,10,,0.02,,,UG,0.99,-7.335843875262865,0.98,True
paper_so,500,0.5,10,,0.02,,,NGS,0.994,-7.266983833791931,0.98,True
paper_so,500,0.5,10,,0.02,,,UNGS,1.0,-7.053880475987193,0.98,True
paper_so,500,0.5,10,,0.02,,,benchmark,1.0,-6.634159120080278,0.98,True
paper_so,500,0.5,10,,0.05,,,NV,0.762,-7.652237938448547,0.95,False
paper_so,500,0.5,10,,0.05,,,UG,0.986,-7.4305413124753805,0.95,True
paper_so,500,0.5,10,,0.05,,,NGS,0.998,-7.327292233752223,0.95,True
paper_so,500,0.5,10,,0.05,,,UNGS,1.0,-7.1523425014007955,0.95,True
paper_so,500,0.5,10,,0.05,,,benchmark,1.0,-6.643442852727477,0.95,True
paper_so,500,0.5,10,,0.15,,,NV,0.75,-7.6384092928447735,0.85,False
paper_so,500,0.5,10,,0.15,,,UG,0.954,-7.476726921511237,0.85,True
paper_so,500,0.5,10,,0.15,,,NGS,0.986,-7.377399169342769,0.85,True
paper_so,500,0.5,10,,0.15,,,UNGS,0.998,-7.281028164482736,0.85,True
paper_so,500,0.5,10,,0.15,,,benchmark,1.0,-6.63109875339829,0.85,True
paper_so,500,0.5,10,,0.1,,,NV,0.764,-7.667086174305224,0.9,False
paper_so,500,0.5,10,,0.1,,,UG,0.964,-7.474504598175892,0.9,True
paper_so,500,0.5,10,,0.1,,,NGS,0.99,-7.376540007352143,0.9,True
paper_so,500,0.5,10,,0.1,,,UNGS,0.998,-7.24540950812769,0.9,True
paper_so,500,0.5,10,,0.1,,,benchmark,1.0,-6.633670077942959,0.9,True
paper_so,500,0.5,10,,0.2,,,NV,0.78,-7.653901555842289,0.8,False
paper_so,500,0.5,10,,0.2,,,UG,0.93,-7.537579206607239,0.8,True
paper_so,500,0.5,10,,0.2,,,NGS,0.982,-7.41461970786002,0.8,True
paper_so,500,0.5,10,,0.2,,,UNGS,0.99,-7.339843634065135,0.8,True
paper_so,500,0.5,10,,0.2,,,benchmark,1.0,-6.6381702074068,0.8,True
paper_so,500,0.5,10,,0.3,,,NV,0.752,-7.6541992472402764,0.7,True
paper_so,500,0.5,10,,0.3,,,UG,0.888,-7.572456546574131,0.7,True
paper_so,500,0.5,10,,0.3,,,NGS,0.964,-7.450205471512194,0.7,True
