config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_dro_wasserstein,100,0.1,20,,,,,NV,0.73,-16.366106883135004,0.95,False
paper_dro_wasserstein,100,0.1,20,,,,,UG,0.98,-15.388832969060074,0.95,True
paper_dro_wasserstein,100,0.1,20,,,,,NGS,0.986,-15.069425700555719,0.95,True
paper_dro_wasserstein,100,0.1,20,,,,,UNGS,0.998,-13.839148032484381,0.95,True
paper_dro_wasserstein,100,0.2,20,,,,,NV,0.606,-16.68032410741099,0.95,False
paper_dro_wasserstein,100,0.2,20,,,,,UG,0.96,-15.541915680154336,0.95,True
paper_dro_wasserstein,100,0.2,20,,,,,NGS,0.98,-15.220163175819648,0.95,True
paper_dro_wasserstein,100,0.2,20,,,,,UNGS,0.988,-13.64462985073735,0.95,True
paper_dro_wasserstein,100,0.3,20,,,,,NV,0.578,-16.765804345774434,0.95,False
paper_dro_wasserstein,100,0.3,20,,,,,UG,0.972,-15.47595669884893,0.95,True
paper_dro_wasserstein,100,0.3,20,,,,,NGS,0.974,-15.456695295180493,0.95,True
paper_dro_wasserstein,100,0.3,20,,,,,UNGS,0.992,-12.684199733940117,0.95,True
paper_dro_wasserstein,100,0.4,20,,,,,NV,0.546,-16.864170353917608,0.95,False
paper_dro_wasserstein,100,0.4,20,,,,,UG,0.926,-15.748896777635025,0.95,False
paper_dro_wasserstein,100,0.4,20,,,,,NGS,0.97,-15.2887420435021,0.95,True
paper_dro_wasserstein,100,0.4,20,,,,,UNGS,0.99,-11.239213938749948,0.95,True
paper_dro_wasserstein,100,0.5,20,,,,,NV,0.486,-16.945075462827052,0.95,False
paper_dro_wasserstein,100,0.5,20,,,,,UG,0.926,-15.668173306112754,0.95,False
paper_dro_wasserstein,100,0.5,20,,,,,NGS,0.95,-15.20010269302243,0.95,True
paper_dro_wasserstein,100,0.5,20,,,,,UNGS,0.99,-9.798490339052405,0.95,True
paper_dro_wasserstein,100,0.6,20,,,,,NV,0.482,-16.960343204449792,0.95,False
paper_dro_wasserstein,100,0.6,20,,,,,UG,0.948,-15.257157884659154,0.95,False
paper_dro_wasserstein,100,0.6,20,,,,,NGS,0.948,-15.257157884659154,0.95,False
paper_dro_wasserstein,100,0.6,20,,,,,UNGS,0.982,-8.200931534630014,0.95,True
paper_dro_wasserstein,100,0.7,20,,,,,NV,0.376,-17.126904748589723,0.95,False
paper_dro_wasserstein,100,0.7,20,,,,,UG,0.832,-15.863406286096039,0.95,False
paper_dro_wasserstein,100,0.7,20,,,,,NGS,0.93,-14.897941650029356,0.95,False
paper_dro_wasserstein,100,0.7,20,,,,,UNGS,0.972,-7.779783042233584,0.95,True
paper_dro_wasserstein,100,0.8,20,,,,,NV,0.342,-17.17621972285661,0.95,False
paper_dro_wasserstein,100,0.8,20,,,,,UG,0.892,-15.196880873838884,0.95,False
paper_dro_wasserstein,100,0.8,20,,,,,NGS,0.892,-15.196880873838884,0.95,False
paper_dro_wasserstein,100,0.8,20,,,,,UNGS,0.944,-7.6661517118733205,0.95,False
paper_dro_wasserstein,100,0.9,20,,,,,NV,0.26,-17.347280539534474,0.95,False
paper_dro_wasserstein,100,0.9,20,,,,,UG,0.634,-16.262849321856653,0.95,False
paper_dro_wasserstein,100,0.9,20,,,,,NGS,0.634,-16.262849321856653,0.95,False
paper_dro_wasserstein,100,0.9,20,,,,,UNGS,0.862,-8.143625711811529,0.95,False
paper_dro_wasserstein,200,0.1,20,,,,,NV,0.722,-16.581852943112114,0.95,False
paper_dro_wasserstein,200,0.1,20,,,,,UG,0.97,-15.831786588527368,0.95,True
paper_dro_wasserstein,200,0.1,20,,,,,NGS,0.984,-15.600656612830338,0.95,True
paper_dro_wasserstein,200,0.1,20,,,,,UNGS,0.992,-15.156391845937065,0.95,True
paper_dro_wasserstein,200,0.2,20,,,,,NV,0.686,-16.76304534668353,0.95,False
paper_dro_wasserstein,200,0.2,20,,,,,UG,0.974,-15.933412344963298,0.95,True
paper_dro_wasserstein,200,0.2,20,,,,,NGS,0.988,-15.758683493232319,0.95,True
