config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_dro_wasserstein,200,0.5,10,,,,0.0,NV,0.488,-7.886894909193086,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.0,UG,0.916,-7.4275125802075115,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.0,NGS,0.968,-7.222435572765843,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.0,UNGS,0.984,-6.882707405554184,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.2,NV,0.558,-6.763888360544811,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.2,UG,0.934,-6.253261228706971,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.2,NGS,0.972,-6.05721365666877,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.2,UNGS,0.988,-5.659302790039748,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.4,NV,0.572,-6.170376926248222,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.4,UG,0.916,-5.684551792474129,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.4,NGS,0.954,-5.508524602437261,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.4,UNGS,0.974,-5.158117639841766,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.6,NV,0.57,-5.778348324008655,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.6,UG,0.924,-5.295584635810729,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.6,NGS,0.974,-5.080199291018451,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.6,UNGS,0.984,-4.781521479221199,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.8,NV,0.572,-5.475771679228386,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.8,UG,0.906,-5.027378395133206,0.95,False
paper_dro_wasserstein,200,0.5,10,,,,0.8,NGS,0.96,-4.858880372698057,0.95,True
paper_dro_wasserstein,200,0.5,10,,,,0.8,UNGS,0.962,-4.6023182523509,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,,0.0,NV,0.862,-7.603537695471501,0.95,False
paper_ro_ellipsoid,500,0.5,10,,,,0.0,UG,0.99,-7.440301990846368,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,,0.0,NGS,0.996,-7.394216259277087,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,,0.0,UNGS,0.99,-7.376654265468927,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,,0.0,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,,0.2,NV,0.862,-6.429323565418137,0.95,False
paper_ro_ellipsoid,500,0.5,10,,,,0.2,UG,0.996,-6.226044878035829,0.95,True
