config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_dro_wasserstein,100,0.7,10,,,,,NV,0.42,-7.909839687175866,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,UG,0.84,-7.267010550696659,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,NGS,0.9166666666666666,-6.788450917824989,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,UNGS,0.97,-2.965374703085008,0.95,True
paper_dro_wasserstein,100,0.7,10,,,,,Sec3,0.6466666666666666,-7.570520464897885,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,CV5,0.9366666666666666,-7.191672913018298,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,CV3,0.9433333333333334,-7.198663029565878,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,CV10,0.98,-6.966874558976362,0.95,True
paper_dro_wasserstein,100,0.7,10,,,,,BS10,0.9966666666666667,-6.759678327939136,0.95,True
paper_dro_wasserstein,100,0.7,10,,,,,BS5,0.98,-6.9570642232944255,0.95,True
paper_dro_wasserstein,100,0.7,10,,,,,Sec10,0.96,-6.692198533384541,0.95,True
paper_dro_wasserstein,100,0.7,10,,,,,BS3,0.9333333333333333,-7.107996645513928,0.95,False
paper_dro_wasserstein,100,0.7,10,,,,,Sec5,0.98,-6.6365876102545585,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,NV,0.4166666666666667,-7.935912169025243,0.95,False
paper_dro_wasserstein,200,0.7,10,,,,,UG,0.87,-7.410781697164925,0.95,False
paper_dro_wasserstein,200,0.7,10,,,,,NGS,0.9466666666666667,-7.175983146666011,0.95,False
paper_dro_wasserstein,200,0.7,10,,,,,UNGS,0.96,-5.728480021299642,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,Sec3,0.73,-7.578718090088917,0.95,False
paper_dro_wasserstein,200,0.7,10,,,,,CV5,0.9533333333333334,-7.334934309257486,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,CV3,0.98,-7.334675291991589,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,CV10,0.99,-7.105312270594355,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,BS10,0.9966666666666667,-7.133975945496883,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,BS5,0.9866666666666667,-7.214241943096522,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,Sec10,0.9966666666666667,-6.402780236586205,0.95,True
paper_dro_wasserstein,200,0.7,10,,,,,BS3,0.9233333333333333,-7.403572857758293,0.95,False
paper_dro_wasserstein,200,0.7,10,,,,,Sec5,0.8633333333333333,-7.312706567502586,0.95,False
paper_saa,100,0.7,10,,,,,NV,0.2633333333333333,-8.073452029479082,0.95,False
paper_saa,100,0.7,10,,,,,UG,0.5766666666666667,-7.792024384906763,0.95,False
paper_saa,100,0.7,10,,,,,NGS,0.6,-7.764522950234775,0.95,False
paper_saa,100,0.7,10,,,,,UNGS,0.6133333333333333,-7.747879628698368,0.95,False
paper_saa,100,0.7,10,,,,,Sec3,0.37,-8.027365514381511,0.95,False
paper_saa,100,0.7,10,,,,,CV5,0.7233333333333334,-7.666161568175091,0.95,False
paper_saa,100,0.7,10,,,,,CV3,0.69,-7.687466423641729,0.95,False
paper_saa,100,0.7,10,,,,,CV10,0.7633333333333333,-7.620124817915416,0.95,False
paper_saa,100,0.7,10,,,,,BS10,0.9333333333333333,-7.430124291800697,0.95,False
paper_saa,100,0.7,10,,,,,BS5,0.8033333333333333,-7.562697614287193,0.95,False
paper_saa,100,0.7,10,,,,,Sec10,0.6366666666666667,-7.768946827711911,0.95,False
paper_saa,100,0.7,10,,,,,BS3,0.7333333333333333,-7.671852442228249,0.95,False
paper_saa,100,0.7,10,,,,,Sec5,0.5666666666666667,-7.830381050947822,0.95,False
paper_saa,200,0.7,10,,,,,NV,0.35333333333333333,-7.987075126056961,0.95,False
paper_saa,200,0.7,10,,,,,UG,0.8166666666666667,-7.569820609874244,0.95,False
paper_saa,200,0.7,10,,,,,NGS,0.9033333333333333,-7.445076709916115,0.95,False
paper_saa,200,0.7,10,,,,,UNGS,0.93,-7.347272236789317,0.95,False
paper_saa,200,0.7,10,,,,,Sec3,0.6333333333333333,-7.769293347150382,0.95,False
paper_saa,200,0.7,10,,,,,CV5,0.89,-7.4735295894297105,0.95,False
paper_saa,200,0.7,10,,,,,CV3,0.92,-7.456713016483051,0.95,False
paper_saa,200,0.7,10,,,,,CV10,0.9666666666666667,-7.3592888091086905,0.95,True
paper_saa,200,0.7,10,,,,,BS10,0.9966666666666667,-7.192515799164927,0.95,True
paper_saa,200,0.7,10,,,,,BS5,0.96,-7.34817469995227,0.95,True
paper_saa,200,0.7,10,,,,,Sec10,0.94,-7.330853262450703,0.95,False
paper_saa,200,0.7,10,,,,,BS3,0.87,-7.501499298862153,0.95,False
paper_saa,200,0.7,10,,,,,Sec5,0.7666666666666667,-7.606980476483204,0.95,False
paper_saa,300,0.7,10,,,,,NV,0.4,-7.969444154861879,0.95,False
paper_saa,300,0.7,10,,,,,UG,0.87,-7.562967784510965,0.95,False
paper_saa,300,0.7,10,,,,,NGS,0.9333333333333333,-7.446144266151393,0.95,False
paper_saa,300,0.7,10,,,,,UNGS,0.9633333333333334,-7.229308016234869,0.95,True
paper_saa,300,0.7,10,,,,,Sec3,0.67,-7.756961171459015,0.95,False
paper_saa,300,0.7,10,,,,,CV5,0.9266666666666666,-7.553344894735276,0.95,False
paper_saa,300,0.7,10,,,,,CV3,0.93,-7.582497950474165,0.95,False
paper_saa,300,0.7,10,,,,,CV10,0.98,-7.398348285461626,0.95,True
paper_saa,300,0.7,10,,,,,BS10,1.0,-7.296067289808901,0.95,True
paper_saa,300,0.7,10,,,,,BS5,0.9566666666666667,-7.444883444140637,0.95,True
paper_saa,300,0.7,10,,,,,Sec10,0.9933333333333333,-7.155071174339068,0.95,True
paper_saa,300,0.7,10,,,,,BS3,0.9133333333333333,-7.558790992132372,0.95,False
paper_saa,300,0.7,10,,,,,Sec5,0.94,-7.3847127172620395,0.95,False
paper_so,1000,0.7,10,,,,,NV,0.79,-7.617924693768997,0.95,False
paper_so,1000,0.7,10,,,,,UG,0.9766666666666667,-7.4194824231859275,0.95,True
paper_so,1000,0.7,10,,,,,NGS,0.9966666666666667,-7.320635269074076,0.95,True
paper_so,1000,0.7,10,,,,,UNGS,1.0,-7.203412888482305,0.95,True
paper_so,1000,0.7,10,,,,,benchmark,1.0,-6.423048867232393,0.95,True
paper_so,1000,0.7,10,,,,,BS20,0.9333333333333333,-7.383243392657387,0.95,False
paper_so,1000,0.7,10,,,,,CV10,0.8633333333333333,-7.446242649322952,0.95,False
paper_so,1000,0.7,10,,,,,CV20,0.85,-7.439449780188255,0.95,False
paper_so,1000,0.7,10,,,,,CV2,0.9366666666666666,-7.289619013715842,0.95,False
paper_so,1000,0.7,10,,,,,BS5,0.8166666666666667,-7.497207648257599,0.95,False
