config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_dro_wasserstein,200,0.5,10,,,10,,NV,0.538,-7.919755990329024,0.95,False
paper_dro_wasserstein,200,0.5,10,,,10,,UG,0.936,-7.4183849031839415,0.95,False
paper_dro_wasserstein,200,0.5,10,,,10,,NGS,0.974,-7.21345337344911,0.95,True
paper_dro_wasserstein,200,0.5,10,,,10,,UNGS,0.992,-6.791008489438474,0.95,True
paper_dro_wasserstein,200,0.5,10,,,30,,NV,0.532,-7.878694875835517,0.95,False
paper_dro_wasserstein,200,0.5,10,,,30,,UG,0.93,-7.412046633764877,0.95,False
paper_dro_wasserstein,200,0.5,10,,,30,,NGS,0.982,-7.210018178563164,0.95,True
paper_dro_wasserstein,200,0.5,10,,,30,,UNGS,0.996,-6.816818200634401,0.95,True
paper_dro_wasserstein,200,0.5,10,,,3,,NV,0.472,-8.42352360309997,0.95,False
paper_dro_wasserstein,200,0.5,10,,,3,,UG,0.908,-7.8562334883343246,0.95,False
paper_dro_wasserstein,200,0.5,10,,,3,,NGS,0.966,-7.5244147058701545,0.95,True
paper_dro_wasserstein,200,0.5,10,,,3,,UNGS,0.982,-7.037125501571275,0.95,True
paper_dro_wasserstein,200,0.5,10,,,4,,NV,0.45,-8.189546818054811,0.95,False
paper_dro_wasserstein,200,0.5,10,,,4,,UG,0.918,-7.635500033051442,0.95,False
paper_dro_wasserstein,200,0.5,10,,,4,,NGS,0.968,-7.329053425894522,0.95,True
paper_dro_wasserstein,200,0.5,10,,,4,,UNGS,0.976,-6.8836943732218785,0.95,True
paper_dro_wasserstein,200,0.5,10,,,6,,NV,0.516,-8.01111845717592,0.95,False
paper_dro_wasserstein,200,0.5,10,,,6,,UG,0.932,-7.490050479874747,0.95,False
paper_dro_wasserstein,200,0.5,10,,,6,,NGS,0.978,-7.2345422415523295,0.95,True
paper_dro_wasserstein,200,0.5,10,,,6,,UNGS,0.986,-6.796076842038057,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,10,,NV,0.812,-7.679796120934071,0.95,False
paper_ro_ellipsoid,500,0.5,10,,,10,,UG,0.982,-7.44005535015474,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,10,,NGS,0.99,-7.390464332721698,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,10,,UNGS,0.982,-7.39603458227554,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,10,,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,30,,NV,0.83,-7.614610207719258,0.95,False
paper_ro_ellipsoid,500,0.5,10,,,30,,UG,0.988,-7.433992798275218,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,30,,NGS,0.996,-7.387913541966618,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,30,,UNGS,0.988,-7.380484976375822,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,30,,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,3,,NV,0.978,-8.104817779371288,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,3,,UG,0.998,-7.844928840550092,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,3,,NGS,0.998,-7.73078753726752,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,3,,UNGS,0.998,-7.806839512357381,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,3,,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,4,,NV,0.906,-7.938872217449807,0.95,False
paper_ro_ellipsoid,500,0.5,10,,,4,,UG,0.99,-7.611271370773822,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,4,,NGS,0.998,-7.522342447172619,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,4,,UNGS,0.992,-7.57578644678152,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,4,,benchmark,1.0,-6.901634398385975,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,6,,NV,0.85,-7.774727627291895,0.95,False
paper_ro_ellipsoid,500,0.5,10,,,6,,UG,0.986,-7.4941981522354775,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,6,,NGS,0.996,-7.417908330003694,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,6,,UNGS,0.986,-7.459709535575348,0.95,True
paper_ro_ellipsoid,500,0.5,10,,,6,,benchmark,1.0,-6.901634398385975,0.95,True
paper_saa,400,0.5,10,,,10,,NV,0.404,-8.032026062702718,0.95,False
paper_saa,400,0.5,10,,,10,,UG,0.912,-7.703312984609469,0.95,False
paper_saa,400,0.5,10,,,10,,NGS,0.986,-7.510506144050008,0.95,True
paper_saa,400,0.5,10,,,10,,UNGS,0.982,-7.370780306058479,0.95,True
paper_saa,400,0.5,10,,,30,,NV,0.5,-7.9478495745876385,0.95,False
paper_saa,400,0.5,10,,,30,,UG,0.894,-7.651386221787712,0.95,False
paper_saa,400,0.5,10,,,30,,NGS,0.978,-7.470138440525348,0.95,True
paper_saa,400,0.5,10,,,30,,UNGS,0.984,-7.345224708184702,0.95,True
paper_saa,400,0.5,10,,,3,,NV,0.486,-8.46165634664203,0.95,False
paper_saa,400,0.5,10,,,3,,UG,0.928,-8.083198171509382,0.95,False
paper_saa,400,0.5,10,,,3,,NGS,0.982,-7.8687686785452104,0.95,True
paper_saa,400,0.5,10,,,3,,UNGS,0.986,-7.715446699146575,0.95,True
paper_saa,400,0.5,10,,,4,,NV,0.446,-8.237272132693175,0.95,False
paper_saa,400,0.5,10,,,4,,UG,0.912,-7.878708874688711,0.95,False
paper_saa,400,0.5,10,,,4,,NGS,0.992,-7.645286644753523,0.95,True
paper_saa,400,0.5,10,,,4,,UNGS,0.99,-7.5020761423495275,0.95,True
paper_saa,400,0.5,10,,,6,,NV,0.476,-8.068561033066457,0.95,False
paper_saa,400,0.5,10,,,6,,UG,0.942,-7.724099536726092,0.95,False
paper_saa,400,0.5,10,,,6,,NGS,0.984,-7.526397316812805,0.95,True
paper_saa,400,0.5,10,,,6,,UNGS,0.988,-7.393991073147662,0.95,True
paper_so,500,0.5,10,,,10,,NV,0.812,-7.6748247218173145,0.95,False
paper_so,500,0.5,10,,,10,,UG,0.982,-7.435475791189271,0.95,True
paper_so,500,0.5,10,,,10,,NGS,0.994,-7.326250462966484,0.95,True
paper_so,500,0.5,10,,,10,,UNGS,1.0,-7.124455183086016,0.95,True
paper_so,500,0.5,10,,,10,,benchmark,1.0,-6.471395861272288,0.95,True
paper_so,500,0.5,10,,,30,,NV,0.756,-7.673850437123626,0.95,False
paper_so,500,0.5,10,,,30,,UG,0.98,-7.4465404070183645,0.95,True
paper_so,500,0.5,10,,,30,,NGS,0.996,-7.34037048364586,0.95,True
paper_so,500,0.5,10,,,30,,UNGS,1.0,-7.145239469248397,0.95,True
paper_so,500,0.5,10,,,30,,benchmark,1.0,-6.58302465869587,0.95,True
paper_so,500,0.5,10,,,3,,NV,0.84,-8.052106767177193,0.95,False
paper_so,500,0.5,10,,,3,,UG,0.99,-7.791541893456504,0.95,True
paper_so,500,0.5,10,,,3,,NGS,1.0,-7.647836240161989,0.95,True
paper_so,500,0.5,10,,,3,,UNGS,1.0,-7.391930422038281,0.95,True
paper_so,500,0.5,10,,,3,,benchmark,1.0,-6.195260320564563,0.95,True
paper_so,500,0.5,10,,,4,,NV,0.776,-7.855692944239553,0.95,False
paper_so,500,0.5,10,,,4,,UG,0.976,-7.551552517019391,0.95,True
paper_so,500,0.5,10,,,4,,NGS,0.996,-7.4120093016357265,0.95,True
paper_so,500,0.5,10,,,4,,UNGS,0.998,-7.211183488756698,0.95,True
paper_so,500,0.5,10,,,4,,benchmark,1.0,-6.179241937477505,0.95,True
paper_so,500,0.5,10,,,6,,NV,0.796,-7.764416287456352,0.95,False
paper_so,500,0.5,10,,,6,,UG,0.988,-7.494236565264682,0.95,True
paper_so,500,0.5,10,,,6,,NGS,0.998,-7.350069942219746,0.95,True
paper_so,500,0.5,10,,,6,,UNGS,0.998,-7.136005518230179,0.95,True
paper_so,500,0.5,10,,,6,,benchmark,1.0,-6.317031223261162,0.95,True
