Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-3.469807571864538,1.0,Sectioning,10,100,0
-3.4914783994091163,1.0,NGS,10,100,0
-3.4914783994091163,1.0,UNGS,10,100,0
-3.4914783994091163,1.0,NV,10,100,0
-3.4914783994091163,1.0,UG,10,100,0
-2.6726631566596843,1.0,Sectioning,20,100,0
-2.656601349263887,1.0,NGS,20,100,0
-2.656601349263887,1.0,UNGS,20,100,0
-2.656601349263887,1.0,NV,20,100,0
-2.656601349263887,1.0,UG,20,100,0
-2.526344394432783,1.0,Sectioning,30,100,0
-2.517733554674878,1.0,NGS,30,100,0
-2.517733554674878,1.0,UNGS,30,100,0
-2.517733554674878,1.0,NV,30,100,0
-2.517733554674878,1.0,UG,30,100,0
-2.483282419619864,1.0,Sectioning,40,100,0
-2.491526824356148,1.0,NGS,40,100,0
-2.491526824356148,1.0,UNGS,40,100,0
-2.491526824356148,1.0,NV,40,100,0
-2.491526824356148,1.0,UG,40,100,0
-2.45659097472237,1.0,Sectioning,50,100,0
-2.4442322879411704,1.0,NGS,50,100,0
-2.4442322879411704,1.0,UNGS,50,100,0
-2.4442322879411704,1.0,NV,50,100,0
-2.4442322879411704,1.0,UG,50,100,0
-2.431717304500288,1.0,Sectioning,60,100,0
-2.441059351925119,1.0,NGS,60,100,0
-2.441059351925119,1.0,UNGS,60,100,0
-2.441059351925119,1.0,NV,60,100,0
-2.441059351925119,1.0,UG,60,100,0
-2.4371884997942512,1.0,Sectioning,70,100,0
-2.431562612433454,1.0,NGS,70,100,0
-2.431562612433454,1.0,UNGS,70,100,0
-2.431562612433454,1.0,NV,70,100,0
-2.431562612433454,1.0,UG,70,100,0
-2.424104437755421,1.0,Sectioning,80,100,0
-2.4300858127604728,1.0,NGS,80,100,0
-2.4300858127604728,1.0,UNGS,80,100,0
-2.4300858127604728,1.0,NV,80,100,0
-2.4300858127604728,1.0,UG,80,100,0
-2.402628924236637,1.0,Sectioning,90,100,0
-2.4038151702737416,1.0,NGS,90,100,0
-2.4038151702737416,1.0,UNGS,90,100,0
-2.4038151702737416,1.0,NV,90,100,0
-2.403815170273741,1.0,UG,90,100,0
-2.684369738924901,1.0,Sectioning,10,200,0
-2.6700515002518723,1.0,NGS,10,200,0
-2.6700515002518723,1.0,UNGS,10,200,0
-2.6700515002518723,1.0,NV,10,200,0
-2.6700515002518723,1.0,UG,10,200,0
-2.499420957819764,1.0,Sectioning,20,200,0
-2.4951044615606084,1.0,NGS,20,200,0
-2.4951044615606084,1.0,UNGS,20,200,0
-2.4951044615606084,1.0,NV,20,200,0
-2.4951044615606084,1.0,UG,20,200,0
-2.454871757356939,1.0,Sectioning,30,200,0
-2.4343118098407737,1.0,NGS,30,200,0
-2.4343118098407737,1.0,UNGS,30,200,0
-2.4343118098407737,1.0,NV,30,200,0
-2.4343118098407737,1.0,UG,30,200,0
-2.4286216726559235,1.0,Sectioning,40,200,0
-2.4149343976720927,1.0,NGS,40,200,0
-2.4149343976720927,1.0,UNGS,40,200,0
-2.4149343976720927,1.0,NV,40,200,0
-2.4149343976720927,1.0,UG,40,200,0
-2.43193605023355,1.0,Sectioning,50,200,0
-2.4166846765557737,1.0,NGS,50,200,0
-2.4166846765557737,1.0,UNGS,50,200,0
-2.4166846765557737,1.0,NV,50,200,0
-2.4166846765557737,1.0,UG,50,200,0
-2.427722419338105,1.0,Sectioning,60,200,0
-2.420505151943266,1.0,NGS,60,200,0
-2.420505151943266,1.0,UNGS,60,200,0
-2.420505151943266,1.0,NV,60,200,0
-2.420505151943266,1.0,UG,60,200,0
-2.4003420367990578,1.0,Sectioning,70,200,0
-2.3996952235665034,1.0,NGS,70,200,0
-2.3996952235665034,1.0,UNGS,70,200,0
-2.3996952235665034,1.0,NV,70,200,0
-2.399695223566504,1.0,UG,70,200,0
-2.3925151753759004,1.0,Sectioning,80,200,0
-2.3964505573257524,1.0,NGS,80,200,0
-2.3964505573257524,1.0,UNGS,80,200,0
-2.3964505573257524,1.0,NV,80,200,0
-2.3964505573257524,1.0,UG,80,200,0
-2.396141963550806,1.0,Sectioning,90,200,0
-2.394216292387625,1.0,NGS,90,200,0
-2.394216292387625,1.0,UNGS,90,200,0
-2.394216292387625,1.0,NV,90,200,0
-2.394216292387625,1.0,UG,90,200,0
-9.053340604963497,0.02,Sectioning,10,20,0
-9.020372856027093,0.02,NGS,10,20,0
-9.020372856027093,0.02,UNGS,10,20,0
-9.020372856027093,0.02,NV,10,20,0
-9.020372856027093,0.02,UG,10,20,0
-8.119435413964084,0.14,Sectioning,20,20,0
-8.066040764981425,0.16,NGS,20,20,0
-8.066040764981425,0.16,UNGS,20,20,0
-8.066040764981425,0.16,NV,20,20,0
-8.066040764981425,0.16,UG,20,20,0
-7.215278285572435,0.4,Sectioning,30,20,0
-7.183875527523778,0.4,NGS,30,20,0
-7.182426330278916,0.4,UNGS,30,20,0
-7.183875527523778,0.4,NV,30,20,0
-7.183875527523778,0.4,UG,30,20,0
-4.60306305096894,0.98,Sectioning,40,20,0
-4.486639713460557,0.99,NGS,40,20,0
-4.486639713460557,0.99,UNGS,40,20,0
-4.486639713460557,0.99,NV,40,20,0
-4.486639713460557,0.99,UG,40,20,0
-3.4765606263206337,1.0,Sectioning,50,20,0
-3.516687875748288,1.0,NGS,50,20,0
-3.516687875748288,1.0,UNGS,50,20,0
-3.516687875748288,1.0,NV,50,20,0
-3.516687875748288,1.0,UG,50,20,0
0.0,1.0,Sectioning,60,20,0
-3.077249781955134,1.0,NGS,60,20,0
-3.077249781955134,1.0,UNGS,60,20,0
-3.077249781955134,1.0,NV,60,20,0
-3.077249781955134,1.0,UG,60,20,0
0.0,1.0,Sectioning,70,20,0
-2.88356740096252,1.0,NGS,70,20,0
-2.88356740096252,1.0,UNGS,70,20,0
-2.88356740096252,1.0,NV,70,20,0
-2.88356740096252,1.0,UG,70,20,0
0.0,1.0,Sectioning,80,20,0
-2.770356653999496,1.0,NGS,80,20,0
-2.770356653999496,1.0,UNGS,80,20,0
-2.770356653999496,1.0,NV,80,20,0
-2.770356653999496,1.0,UG,80,20,0
0.0,1.0,Sectioning,90,20,0
-2.691180661332451,1.0,NGS,90,20,0
-2.691180661332451,1.0,UNGS,90,20,0
-2.691180661332451,1.0,NV,90,20,0
