Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.535310676990807,0.86,Sectioning,10,100,0
-6.615545435248888,0.83,NGS,10,100,0
-6.402109265704304,0.85,UNGS,10,100,0
-7.084821551617312,0.53,NV,10,100,0
-6.761685440738615,0.79,UG,10,100,0
-6.417046304657139,0.99,Sectioning,20,100,0
-6.381931392534801,0.98,NGS,20,100,0
-5.979402043366074,0.99,UNGS,20,100,0
-7.081126989770842,0.57,NV,20,100,0
-6.628683614914751,0.9,UG,20,100,0
-6.565963803592743,0.94,Sectioning,30,100,0
-6.562662190302746,0.92,NGS,30,100,0
-6.088437197178866,0.97,UNGS,30,100,0
-7.035680635511679,0.64,NV,30,100,0
-6.562662190302743,0.92,UG,30,100,0
-6.675736682015518,0.88,Sectioning,40,100,0
-6.602799845676946,0.91,NGS,40,100,0
-6.1904926146539765,0.97,UNGS,40,100,0
-7.167320777376005,0.58,NV,40,100,0
-6.605590491404524,0.91,UG,40,100,0
-6.814300779900829,0.86,Sectioning,50,100,0
-6.357118954047977,0.96,NGS,50,100,0
-6.349043449675964,0.96,UNGS,50,100,0
-6.993690963464546,0.69,NV,50,100,0
-6.789712956673827,0.85,UG,50,100,0
-6.922950808737959,0.78,Sectioning,60,100,0
-6.3522555202482485,0.96,NGS,60,100,0
-6.3522555202482485,0.96,UNGS,60,100,0
-7.2591101890244865,0.47,NV,60,100,0
-6.3522555202482485,0.96,UG,60,100,0
-7.202649450365324,0.54,Sectioning,70,100,0
-6.609221756611209,0.81,NGS,70,100,0
-6.609221756611209,0.81,UNGS,70,100,0
-7.104817981035357,0.63,NV,70,100,0
-6.609221756611209,0.81,UG,70,100,0
-7.311477906257823,0.42,Sectioning,80,100,0
-6.765239243125006,0.78,NGS,80,100,0
-6.765239243125006,0.78,UNGS,80,100,0
-7.370609214225903,0.41,NV,80,100,0
-6.765239243125007,0.78,UG,80,100,0
-7.72349675711255,0.21,Sectioning,90,100,0
-7.147389777928815,0.6,NGS,90,100,0
-7.147389777928815,0.6,UNGS,90,100,0
-7.147389777928815,0.6,NV,90,100,0
-7.147389777928815,0.6,UG,90,100,0
-6.059899597115053,1.0,Sectioning,10,200,0
-6.600537577025818,0.97,NGS,10,200,0
-6.183746422301556,1.0,UNGS,10,200,0
-7.0448912035168885,0.74,NV,10,200,0
-6.708214888428465,0.95,UG,10,200,0
-6.174670364470278,0.99,Sectioning,20,200,0
-6.628472951031825,0.98,NGS,20,200,0
-6.1665320838115285,1.0,UNGS,20,200,0
-7.076859273763793,0.68,NV,20,200,0
-6.779559884821695,0.95,UG,20,200,0
-6.272057895348379,1.0,Sectioning,30,200,0
-6.597054378667744,0.95,NGS,30,200,0
-6.185991501172017,0.99,UNGS,30,200,0
-7.104050185881307,0.63,NV,30,200,0
-6.732456108293114,0.89,UG,30,200,0
-6.327619502619521,0.99,Sectioning,40,200,0
-6.516351121966213,0.97,NGS,40,200,0
-6.152412041646391,0.97,UNGS,40,200,0
-7.071558684581357,0.73,NV,40,200,0
-6.679347784920928,0.96,UG,40,200,0
-6.481817946536589,0.98,Sectioning,50,200,0
-6.660240525489071,0.96,NGS,50,200,0
-6.177183381867383,0.98,UNGS,50,200,0
-7.153285440900615,0.63,NV,50,200,0
-6.660240525489071,0.96,UG,50,200,0
-6.556114586423234,0.94,Sectioning,60,200,0
-6.563222326694416,0.99,NGS,60,200,0
-6.245160243261358,0.99,UNGS,60,200,0
-7.107435939239374,0.68,NV,60,200,0
-6.760910199736861,0.92,UG,60,200,0
