Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-8.885498525170178,0.01,Sectioning,10,100,0
-8.64824291539332,0.01,NGS,10,100,0
-8.64824291539332,0.01,UNGS,10,100,0
-8.64824291539332,0.01,NV,10,100,0
-8.64824291539332,0.01,UG,10,100,0
-8.420825278354465,0.03,Sectioning,20,100,0
-8.201569945850089,0.01,NGS,20,100,0
-8.201569945850089,0.01,UNGS,20,100,0
-8.216985462281382,0.0,NV,20,100,0
-8.203122681967303,0.0,UG,20,100,0
-8.122398339440402,0.02,Sectioning,30,100,0
-8.037664512948538,0.01,NGS,30,100,0
-8.037664512948538,0.01,UNGS,30,100,0
-8.04290035467836,0.01,NV,30,100,0
-8.037664512948538,0.01,UG,30,100,0
-7.810962558782158,0.06,Sectioning,40,100,0
-7.762186454753948,0.06,NGS,40,100,0
-7.762186454753948,0.06,UNGS,40,100,0
-7.772532765489675,0.06,NV,40,100,0
-7.762186454753947,0.06,UG,40,100,0
-7.77690257882857,0.08,Sectioning,50,100,0
-7.684300338642323,0.07,NGS,50,100,0
-7.684300338642323,0.07,UNGS,50,100,0
-7.711905429795605,0.05,NV,50,100,0
-7.68370607068072,0.07,UG,50,100,0
-7.734525012024838,0.08,Sectioning,60,100,0
-7.638950994132205,0.11,NGS,60,100,0
-7.638950994132205,0.11,UNGS,60,100,0
-7.707648009574166,0.09,NV,60,100,0
-7.6389509941322045,0.11,UG,60,100,0
-7.694939856658139,0.1,Sectioning,70,100,0
-7.649562664138952,0.14,NGS,70,100,0
-7.649562664138952,0.14,UNGS,70,100,0
-7.715216473610999,0.07,NV,70,100,0
-7.649562664138952,0.14,UG,70,100,0
-7.749802217673327,0.06,Sectioning,80,100,0
-7.707302541405997,0.09,NGS,80,100,0
-7.707650361831456,0.09,UNGS,80,100,0
-7.846950271370605,0.05,NV,80,100,0
-7.707650361831456,0.09,UG,80,100,0
-8.291263213663479,0.01,Sectioning,90,100,0
-7.951564588688132,0.06,NGS,90,100,0
-7.953243609281852,0.06,UNGS,90,100,0
-7.953243609281852,0.06,NV,90,100,0
-7.953243609281852,0.06,UG,90,100,0
-8.698303689409009,0.01,Sectioning,10,200,0
-8.124123955161108,0.04,NGS,10,200,0
-8.125559234315709,0.04,UNGS,10,200,0
-8.12572447329454,0.04,NV,10,200,0
-8.12535790874231,0.04,UG,10,200,0
-8.119052948042997,0.06,Sectioning,20,200,0
-7.72828484742132,0.08,NGS,20,200,0
-7.72828484742132,0.08,UNGS,20,200,0
-7.742090441695968,0.06,NV,20,200,0
-7.728409501292674,0.08,UG,20,200,0
-7.745192778985625,0.12,Sectioning,30,200,0
-7.5221838693912115,0.16,NGS,30,200,0
-7.521889191445868,0.16,UNGS,30,200,0
-7.535410363314486,0.13,NV,30,200,0
-7.524039309394749,0.15,UG,30,200,0
-7.536564652611605,0.14,Sectioning,40,200,0
-7.391520838195088,0.22,NGS,40,200,0
-7.391480307061442,0.22,UNGS,40,200,0
-7.426578822959125,0.18,NV,40,200,0
-7.391310556734215,0.22,UG,40,200,0
