Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-6.036979141662135,-4.515046294713391,-6.11255937729955,-6.11255937729955,-6.077608312064739,-5.483920136079998,-6.49948628479822,-6.49948628479822,-5.9329177228925225,-6.193848012469172,-6.193848012469172,-6.193848012469172,-6.494101406196304,-6.110492523606292,-6.110492523606292,-6.110492523606292,-6.993545211709695,-5.8995325272655545,-6.673685276762178,-6.673685276762178,-6.985971060517289,-6.078204414539004,-6.888312111327993,-6.888312111327993,-7.109968736377118,-5.9667820015998885,-7.600939465123359,-7.600939465123359,-8.011302361594648,-7.788892723506114,-7.788892723506114,-8.03414199902286,-7.921248493202876,-7.3884737209753455,-7.3884737209753455,-7.3884737209753455
-6.008410971573005,-5.842938299269537,-5.842938299269537,-5.842938299269537,-6.008417215497719,-6.965559703684822,-6.965559703684822,-7.717838280698963,-6.664907193443902,-6.669790516564566,-6.669790516564566,-6.669790516564566,-6.91752233144671,-7.92257750484461,-7.92257750484461,-7.92257750484461,-7.075410239315684,-4.622508481722563,-5.920690845689713,-5.920690845689713,-6.840431115955258,-6.757480256400172,-7.416749155778596,-7.742220503465067,-7.597488889504486,-7.830725502431454,-8.178383214551044,-8.178383214551044,-8.126305364626054,-8.119833322940234,-8.119833322940234,-8.119833322940234,-7.477411329629871,-7.477411329629871,-7.477411329629871,-7.477411329629871
-4.5475753301463255,-6.483805331603359,-6.483805331603359,-6.483805331603359,-6.572075860837152,-6.227795031909123,-6.884914567451699,-7.266469653446233,-5.504059423290819,-5.657937527304485,-6.755206567426143,-6.755206567426143,-5.586517255368858,-6.477881998665191,-6.477881998665191,-6.477881998665191,-7.370248643802229,-5.401064638355107,-6.397145804402546,-7.090184499353478,-6.254884479353135,-6.265283409330438,-6.265283409330438,-6.265283409330438,-7.981885991475472,-6.668547490785462,-6.668547490785462,-6.668547490785462,-7.906499175295718,-7.328781522180492,-7.328781522180492,-7.652290810631955,-7.003934168343988,-6.758297388277069,-6.758297388277069,-6.758297388277069
-6.536208143156983,-5.825931316900698,-5.825931316900698,-7.075906552800303,-6.71522255493009,-6.450677303771861,-7.094934240069729,-7.480305264478269,-6.033401934964778,-6.574284198332809,-6.574284198332809,-7.265709596176229,-6.702166734904903,-6.719243388460603,-7.81683943341319,-7.81683943341319,-5.671430238973862,-6.269060402952508,-7.2193257042104815,-7.2193257042104815,-5.365257679514153,-5.847875363797515,-5.847875363797515,-6.637792975610063,-8.004585698085815,-4.869132208352674,-6.660886266494009,-6.660886266494009,-6.841780202701534,-6.429183212725035,-6.429183212725035,-7.147998267639093,-7.3790549186947825,-6.967095623478012,-6.967095623478012,-6.967095623478012
-5.9822663748760005,-5.546966095779949,-5.546966095779949,-5.546966095779949,-5.858478166225603,-6.209067272375149,-6.209067272375149,-7.424764379217754,-5.190577245296167,-6.105328931856311,-6.105328931856311,-6.105328931856311,-5.57408397517044,-7.076670885610937,-7.076670885610937,-7.725815318759358,-7.245419560328803,-6.514508895083973,-6.514508895083973,-6.514508895083973,-7.169762673606739,-5.334476643525318,-6.232875852312269,-6.855646020950273,-6.347164492465092,-6.003636660506514,-7.697723843164185,-7.697723843164185,-8.1973485444119,-7.171984953645638,-7.171984953645638,-7.464101398001074,-7.733736219096774,-7.606806284073996,-7.606806284073996,-7.606806284073996
-6.321662244564064,-6.64499771266004,-6.64499771266004,-7.38718687990128,-5.8109144998877085,-5.912819750591281,-5.912819750591281,-5.912819750591281,-5.397547275179912,-6.411189481450529,-6.411189481450529,-6.411189481450529,-7.385110657956533,-6.373458159173918,-6.966765832722881,-6.966765832722881,-6.029236227699993,-5.29060457870283,-6.168203603179062,-6.168203603179062,-7.791638324489133,-7.15460172658292,-7.603659505858705,-7.603659505858705,-7.762583851600395,-6.854059140938739,-6.854059140938739,-6.854059140938739,-7.279899866602239,-6.583413350257348,-6.583413350257348,-7.726086676060894,-7.9333961685769445,-7.125348847288091,-7.125348847288091,-7.125348847288091
-6.21337526415441,-6.404830787629976,-7.794794979357517,-7.794794979357517,-5.932923507210887,-6.700776576159511,-6.700776576159511,-6.700776576159511,-6.869278239758963,-5.952240413619133,-7.109900753936314,-7.109900753936314,-7.237987260326236,-7.114830334946974,-7.993991822229111,-7.993991822229111,-6.7413120158189,-5.593554326567407,-5.593554326567407,-6.5209986837602765,-6.787911124019858,-6.64754434494986,-7.708495202673744,-7.960725298823164,-6.828157366913682,-5.506301911061724,-5.506301911061724,-6.3944685697736965,-7.982841813727898,-6.444566488565849,-6.444566488565849,-6.444566488565849,-7.931645359793965,-7.941341701271468,-7.941341701271468,-7.941341701271468
-5.779596731992269,-4.766357532757608,-6.213438764460933,-6.213438764460933,-5.469914169574665,-6.139482546177851,-6.139482546177851,-6.139482546177851,-5.461734168617416,-6.046698962711561,-6.657994039849651,-7.480990463384801,-6.584229945477027,-5.880639436144853,-5.880639436144853,-6.944558159403217,-7.285274879679143,-4.145467002068994,-6.192251427237043,-6.192251427237043,-7.352202831243851,-5.605354890971095,-7.069138233789066,-7.447020391160138,-7.093118560095286,-7.434615963911826,-7.763716393095649,-7.763716393095649,-7.985626115919187,-7.900996980892965,-7.900996980892965,-7.900996980892965,-7.460950668520305,-5.189859234436006,-5.189859234436006,-5.189859234436006
-5.253211868518914,-5.923650822204618,-5.923650822204618,-5.923650822204618,-5.931921440859559,-5.740402176220677,-6.7163258358424125,-6.7163258358424125,-6.42998880641359,-5.013852990699,-6.595536039911093,-6.595536039911093,-6.249648989473444,-5.839175527306058,-7.081107351908357,-7.081107351908357,-7.46625410527828,-6.703824542216857,-6.703824542216857,-6.703824542216857,-7.916270209576113,-7.138704721097561,-7.138704721097561,-7.138704721097561,-7.780769341371153,-6.040271160937065,-7.866291991309147,-7.866291991309147,-6.90951227190515,-6.389581131252083,-6.389581131252083,-6.917773734953223,-7.977656296713379,-6.458472310668611,-6.458472310668611,-6.458472310668611
-6.16817519372672,-6.101199399636723,-6.101199399636723,-6.101199399636723,-5.802607557992629,-5.527169290894656,-5.527169290894656,-6.586583490704687,-6.409282703454886,-7.003304944113937,-7.003304944113937,-7.003304944113937,-6.883553332576723,-6.419074887776034,-6.419074887776034,-7.499072843863351,-7.230889132795788,-5.779918205919227,-6.736111195031626,-7.343600465051994,-7.359653491537641,-5.835767860162548,-6.856505581875744,-6.856505581875744,-7.068463746265568,-7.228601732152727,-8.125830958320478,-8.125830958320478,-7.676963192386922,-6.47246628391522,-6.47246628391522,-6.47246628391522,-8.056649995976523,-7.40220760634645,-7.40220760634645,-7.40220760634645
-6.288616183406337,-5.941449154663822,-7.266811011085858,-7.266811011085858,-5.480241621434379,-5.467382932273629,-6.451549414408166,-6.451549414408166,-6.027944322524898,-6.041815613148179,-6.041815613148179,-6.041815613148179,-6.429737303101757,-6.899619288439144,-6.899619288439144,-6.899619288439144,-7.064562219563326,-6.368432426713001,-6.368432426713001,-7.003283385314351,-6.084394115579692,-6.255054536833048,-6.255054536833048,-6.997291512607827,-7.110894213332655,-6.355896157526209,-7.866192216200854,-7.866192216200854,-8.231359582967503,-8.068312921371882,-8.068312921371882,-8.079628005350209,-7.842528420203682,-7.3426105431364155,-7.3426105431364155,-7.3426105431364155
-6.026510701983936,-5.984798049381647,-7.096451431129734,-7.096451431129734,-6.464511254854253,-6.830008316490559,-7.20377595982368,-7.589488824135612,-7.253101795381427,-7.449369731870263,-7.687908164529847,-7.687908164529847,-6.337982886614419,-7.013432663806903,-7.013432663806903,-7.351816553219637,-5.826659952147137,-5.703483830256816,-5.703483830256816,-5.703483830256816,-7.867607801609142,-5.6656662039645855,-5.6656662039645855,-6.714049705684527,-7.311253811667745,-7.075185877499536,-8.320635531529696,-8.320635531529696,-6.848399703385224,-7.495302217897937,-7.495302217897937,-7.495302217897937,-7.624468571048906,-5.112211394706526,-5.112211394706526,-5.112211394706526
-5.62922152339793,-4.785893080939746,-6.303045120660848,-6.303045120660848,-7.151345290066005,-5.909161908008455,-6.983638285592524,-7.767694362859077,-6.595311676697298,-6.4021483160379855,-6.4021483160379855,-6.4021483160379855,-6.207233012138166,-6.328788244904999,-6.891646421580338,-6.891646421580338,-6.101014269727401,-6.042958523383824,-6.042958523383824,-6.6195146754374,-6.346110077855524,-5.589338765178244,-5.589338765178244,-6.530112332950655,-7.5706365878112285,-5.435124657321918,-5.435124657321918,-6.344916553869701,-8.177504104074538,-6.937678245814651,-6.937678245814651,-8.108333452122876,-6.873895744868374,-7.457260800457207,-7.457260800457207,-7.457260800457207
-4.765177385479974,-6.393651773876993,-6.393651773876993,-6.393651773876993,-5.83801780756343,-5.182605043350783,-6.343755047909273,-6.343755047909273,-7.12263685694751,-6.909358797911617,-6.909358797911617,-8.183754782714136,-6.295417138146179,-6.394501302873932,-6.394501302873932,-7.043326776180271,-6.530572626517596,-5.526439580553129,-6.404270041060398,-7.10453526310612,-7.405508604603007,-6.228302530937359,-6.228302530937359,-7.408327745051803,-7.833338425202624,-6.3217687902450965,-6.3217687902450965,-6.905082495949873,-7.495493013858066,-6.198594057257658,-6.198594057257658,-7.537524894885189,-7.668554231270843,-7.764996141801897,-7.764996141801897,-7.764996141801897
