Cross Validation,Bootstrapping
-7.279316767837755,-6.898800465524398
-6.2918799456666585,-5.823756953169153
-6.82062894626697,-6.82062894626697
-6.349672412901649,-6.349672412901649
-5.897445634823901,-6.852313730359494
-6.851198857818412,-6.458904348867549
-5.850192788987034,-6.4189104636908825
-7.348268961458958,-6.039284056074527
-6.341718994551368,-6.7489071275392565
-7.245157222630689,-6.881628565267279
-6.512872549996829,-5.975267682337624
-7.074599039201804,-7.074599039201804
-7.151455182066288,-6.851255673178535
-6.862766264340671,-6.47503658621272
-6.688583734730574,-6.688583734730574
-7.5066631556460806,-6.2467034425284504
-7.004573051766147,-6.515490697522141
-6.645747653421688,-5.715788246139393
-6.381104534964442,-6.381104534964442
-7.131663502944813,-6.724914982136717
-7.092393633196682,-6.135709320723696
-6.9476092326056245,-6.9476092326056245
-7.0473137681292295,-6.373200948709565
-6.538408242527463,-5.9606213038379465
-6.506722042012157,-5.973645366412049
-7.273208003192023,-6.826276986446626
-6.973612420953461,-6.029977351483458
-6.500061061349812,-6.500061061349812
-6.540802548293804,-5.95888523256988
-7.00016116733266,-6.631081009378939
-6.294632716832196,-6.294632716832196
-7.589589101040114,-6.593697028640003
-7.051830380106555,-7.051830380106555
-6.804240963675685,-6.804240963675685
-6.316597580133578,-5.862866985628508
-7.119827355501151,-6.725622643977825
-7.016765768923604,-6.58901153302997
-6.271585253055777,-5.790753251706133
-6.3163170201486665,-6.3163170201486665
-7.06463075776742,-6.353091165645623
-6.954152272993442,-6.954152272993442
-7.296296595505775,-6.608672204384147
-7.298749324989141,-6.988617002119444
-6.541074894156,-6.541074894156
-7.068372616442857,-6.738416035973873
-6.267327918301863,-6.267327918301863
-6.452318262727783,-6.452318262727783
-6.3578345325382575,-6.3578345325382575
-6.249080739547641,-5.7659480400422
-6.86161449876548,-6.538256599256824
-6.820294248777216,-5.967876062691011
-6.875366846632726,-6.508746196404063
-6.452952478806908,-5.961640331212851
-6.474335367860656,-6.474335367860656
-7.558822015869574,-6.200550531916694
-6.926201742881894,-6.566784915007259
-6.18366209384406,-6.18366209384406
-6.478501751128952,-5.9268474313862205
-6.2583598189325365,-5.76673319282656
-6.483617502770334,-6.923443705246684
-7.223238271061981,-6.833313371667126
-6.707767563804429,-6.324499527352176
-6.963573887536606,-6.542225254383364
-6.926693733142573,-6.542484473417748
-6.996182096765415,-6.622633297014226
-6.356133803164788,-5.8756151256031135
-7.235473023776504,-6.528951872842706
-6.462017215920055,-6.003429370258737
-6.439621672878241,-6.439621672878241
-6.97983132160957,-6.97983132160957
-6.820143925405181,-7.213049532324163
-6.335891769854587,-5.829882812891745
-7.1568996252164165,-6.218685937488782
-6.289946513618668,-5.822185407360406
-6.815245268208869,-6.488661421070049
-7.161582282761026,-6.697172492338005
-6.577926603836431,-6.577926603836431
-6.397918245585337,-6.397918245585337
-6.510001301787374,-6.183916136010287
-7.097201291524595,-6.725016788182088
-5.963762504574642,-6.5097831315366514
-7.097034094918274,-6.472665801678027
-6.393556430174589,-6.393556430174589
-7.140433525031458,-6.724596557089758
-6.933188596923899,-6.640797615098808
-6.5276974048379754,-6.5276974048379754
-7.234320720910433,-6.839288073503481
-6.470311982298853,-6.470311982298853
-7.096199496023612,-6.502659987745966
-6.099344423068104,-5.6473060456826305
-6.932318212041254,-7.317721019283423
-6.727729237277643,-6.302681110382419
-6.69401149788112,-6.334214770466611
-7.031326262583839,-6.352619817022687
-6.714147991009074,-6.2135962432177605
-6.652512372510845,-6.247559781351879
-6.885307962146324,-5.920835129773205
-7.090570388876925,-6.073956765938148
-6.858661245060004,-6.416825635157208
-7.233724662142158,-6.507032478043239
