Cross Validation,Bootstrapping
-6.671820103302097,-6.671820103302097
-6.738329138540558,-6.738329138540558
-7.03288346025416,-7.03288346025416
-7.161860359992515,-7.161860359992515
-6.571109696620603,-6.571109696620603
-6.974531428375975,-6.974531428375975
-6.849533826453513,-6.849533826453513
-6.633456833405741,-6.633456833405741
-6.7643742455113784,-6.7643742455113784
-6.796376810994183,-6.796376810994183
-6.4083039346462325,-6.4083039346462325
-6.647910059047727,-6.647910059047727
-6.588163595737968,-6.588163595737968
-6.804256475785343,-6.804256475785343
-6.398801240891237,-6.398801240891237
-6.457912393452895,-6.457912393452895
-6.699282207891077,-6.699282207891077
-6.910668307560853,-6.910668307560853
-6.594740161714885,-6.594740161714885
-6.830863213909884,-6.830863213909884
-6.597464411830371,-6.597464411830371
-6.599691784468662,-6.599691784468662
-6.451965346964501,-6.451965346964501
-6.565572788961498,-6.565572788961498
-6.656214288563638,-6.656214288563638
-6.650722444327318,-6.650722444327318
-6.660250418210948,-6.660250418210948
-6.946105105815137,-6.946105105815137
-6.61978629175555,-6.61978629175555
-6.989352663635278,-6.989352663635278
-6.363046883360253,-6.363046883360253
-6.815666915722102,-6.815666915722102
-6.586975052291244,-6.586975052291244
-7.019746340008192,-7.019746340008192
-6.549089630378972,-6.549089630378972
-6.473595370918784,-6.473595370918784
-6.737817958641954,-6.737817958641954
-6.627415232089634,-6.627415232089634
-6.503408168001604,-6.503408168001604
-6.8265150846589275,-6.8265150846589275
-6.59577699054115,-6.59577699054115
-7.037392408629236,-7.037392408629236
-6.5807371874732805,-6.5807371874732805
-6.645505006546369,-6.645505006546369
-6.7318078404225155,-6.7318078404225155
-6.524401915138031,-6.524401915138031
-6.6767193977490304,-6.6767193977490304
-6.7255514518929695,-6.7255514518929695
-6.665268991593963,-6.665268991593963
-6.608987395483683,-6.608987395483683
-6.824837020166138,-6.824837020166138
-6.855327420886316,-6.855327420886316
-6.69823072902736,-6.69823072902736
-6.785972427330659,-6.785972427330659
-6.617976548925064,-6.617976548925064
-6.802082213227035,-6.802082213227035
-7.674337363712477,-6.790861434755446
-6.741137297190706,-6.741137297190706
-6.740496057765065,-6.740496057765065
-6.516875487902279,-6.516875487902279
-6.846491878192261,-6.846491878192261
-6.848727670014803,-6.848727670014803
-6.970933631194743,-6.970933631194743
-6.5573804968451945,-6.5573804968451945
-6.608790162334313,-6.608790162334313
-6.643408322738132,-6.643408322738132
-6.558925832229993,-6.558925832229993
-6.259896679923619,-6.259896679923619
-6.657386017146716,-6.657386017146716
-6.964126255273918,-6.964126255273918
-6.707971125654208,-6.707971125654208
-6.684373845895215,-6.684373845895215
-6.4374582436238565,-6.4374582436238565
-6.818510129308931,-6.818510129308931
-6.4952644753152935,-6.4952644753152935
-6.446978113710416,-6.446978113710416
-6.505181011812449,-6.505181011812449
-6.663814875143226,-6.663814875143226
-6.413506004870301,-6.413506004870301
-6.593613722793131,-6.593613722793131
-6.684192505724092,-6.684192505724092
-6.659530201633628,-6.659530201633628
-6.379023242870202,-6.379023242870202
-7.038324489381067,-7.038324489381067
-6.735063046177061,-6.735063046177061
-6.73837478945312,-6.73837478945312
-6.857655631136905,-6.857655631136905
-6.507034623615333,-6.507034623615333
-6.611776660376275,-6.611776660376275
-6.601375453993645,-6.601375453993645
-6.856880342424081,-6.856880342424081
-6.486275686172022,-6.486275686172022
-6.899002819949589,-6.899002819949589
-6.377723344799798,-6.377723344799798
-6.526188021385788,-6.526188021385788
-6.318981945872633,-6.318981945872633
-6.948176472627991,-6.948176472627991
-6.711017100283413,-6.711017100283413
-6.81847681717453,-6.81847681717453
-7.018864471447932,-7.018864471447932
