Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.386004236036575,-6.386004236036575,-6.645841916284089,-6.645841916284089,-6.386004236036575,-6.386004236036575
-6.893636422625855,-6.893636422625855,-6.755778754294724,-6.755778754294724,-6.703947761513284,-6.703947761513284
-6.685578493510473,-6.685578493510473,-6.693007022334979,-6.693007022334979,-6.496422920060684,-6.496422920060684
-6.149634958394796,-6.149634958394796,-6.605112294443574,-6.605112294443574,-6.8237799501655205,-6.8237799501655205
-6.519498332970121,-6.519498332970121,-6.197419881783857,-6.197419881783857,-6.488763221744971,-6.488763221744971
-6.962654633586934,-6.962654633586934,-6.781363136209757,-6.781363136209757,-6.514043800241352,-6.514043800241352
-6.8224941989947805,-6.8224941989947805,-6.350092716428671,-6.350092716428671,-6.3073583929772346,-6.3073583929772346
-6.573460902827584,-6.573460902827584,-6.979786923023779,-6.979786923023779,-6.524337650646166,-6.524337650646166
-6.603869143917404,-6.603869143917404,-6.693351436390458,-6.693351436390458,-6.767332760503286,-6.767332760503286
-6.601878778523275,-6.601878778523275,-6.700003333905308,-6.700003333905308,-6.734313835183815,-6.734313835183815
-6.785837018301375,-6.785837018301375,-6.505380515696882,-6.505380515696882,-6.603635772285298,-6.603635772285298
-6.626672104498181,-6.626672104498181,-6.557494321028051,-6.557494321028051,-6.494219642801503,-6.494219642801503
-6.359598707983445,-6.359598707983445,-6.56752110475398,-6.56752110475398,-6.771772416441575,-6.771772416441575
-6.58988632937796,-6.58988632937796,-6.8176596535758565,-6.8176596535758565,-6.29432667809728,-6.29432667809728
-6.461431581364829,-6.461431581364829,-6.0710990946936345,-6.0710990946936345,-6.568770758714953,-6.568770758714953
-6.187236311083699,-6.187236311083699,-6.449082168213483,-6.449082168213483,-6.679685586750027,-6.679685586750027
-6.540801291253532,-6.540801291253532,-6.762082736435086,-6.762082736435086,-6.841298836891686,-6.841298836891686
-6.451579839678927,-6.451579839678927,-6.337204637981256,-6.337204637981256,-6.762041058884034,-6.762041058884034
-6.370349571452673,-6.370349571452673,-6.645403218995578,-6.645403218995578,-6.962266336218248,-6.962266336218248
-6.6614931807402105,-6.6614931807402105,-6.902572363126367,-6.902572363126367,-6.797982428107432,-6.797982428107432
-6.562316463874659,-6.562316463874659,-6.407238254853694,-6.407238254853694,-6.737393547063397,-6.737393547063397
-6.892642514170609,-6.892642514170609,-6.603430088136938,-6.603430088136938,-6.2531700299721535,-6.2531700299721535
-6.641624768553835,-6.641624768553835,-6.34079854429874,-6.34079854429874,-6.5118672864397675,-6.5118672864397675
-6.597979778993389,-6.597979778993389,-6.594566148354142,-6.594566148354142,-6.644640302388468,-6.644640302388468
-6.526724001873223,-6.526724001873223,-6.962383419228761,-6.962383419228761,-6.819189226873054,-6.819189226873054
-6.663097095335498,-6.663097095335498,-6.7125638087528685,-6.7125638087528685,-6.609022161468366,-6.609022161468366
-6.666043245813913,-6.666043245813913,-6.4813779002866525,-6.4813779002866525,-6.5969877374429595,-6.5969877374429595
-6.889114989514197,-6.889114989514197,-6.5356217725157695,-6.5356217725157695,-6.4886610456578815,-6.4886610456578815
-6.501686227150589,-6.501686227150589,-6.615646976920472,-6.615646976920472,-6.6205481493165586,-6.6205481493165586
-6.676169019604561,-6.676169019604561,-6.559505915556091,-6.559505915556091,-6.407822591504757,-6.407822591504757
-6.213670714378207,-6.213670714378207,-6.888569113048997,-6.888569113048997,-6.851208577339637,-6.851208577339637
-6.664021526472451,-6.664021526472451,-6.615781962437306,-6.615781962437306,-6.574741435608588,-6.574741435608588
-6.429875766307176,-6.429875766307176,-6.830229435774842,-6.830229435774842,-6.704970031964635,-6.704970031964635
-6.604627539847781,-6.604627539847781,-6.590708132279173,-6.590708132279173,-6.461734176043934,-6.461734176043934
-6.615044461415531,-6.615044461415531,-6.9070100861953,-6.9070100861953,-6.6790379949399465,-6.6790379949399465
-6.743619745428497,-6.743619745428497,-6.789545033115214,-6.789545033115214,-6.5230611898584145,-6.5230611898584145
-6.568213744258937,-6.568213744258937,-6.761864391568875,-6.761864391568875,-6.850715977256412,-6.850715977256412
-6.79996558760253,-6.79996558760253,-6.457219907843896,-6.457219907843896,-6.824902788868318,-6.824902788868318
-6.56328231255752,-6.56328231255752,-6.762455861205474,-6.762455861205474,-6.615170802605844,-6.615170802605844
-6.26912795591793,-6.26912795591793,-6.763706277468795,-6.763706277468795,-6.7916437504399685,-6.7916437504399685
-6.266584544637136,-6.266584544637136,-6.52430003062646,-6.52430003062646,-6.799659909319423,-6.799659909319423
-6.687207591087432,-6.687207591087432,-6.885771670865508,-6.885771670865508,-6.6951612237985465,-6.6951612237985465
-6.710881893434829,-6.710881893434829,-6.654109154508253,-6.654109154508253,-6.894574431945384,-6.894574431945384
-6.70754659706553,-6.70754659706553,-6.488284348722657,-6.488284348722657,-6.5245797084145885,-6.5245797084145885
-6.568738569958468,-6.568738569958468,-7.065468091454634,-7.065468091454634,-6.414504614695879,-6.414504614695879
-6.377412239768025,-6.377412239768025,-6.680594085338092,-6.680594085338092,-7.032427718122655,-7.032427718122655
-6.769726684854092,-6.769726684854092,-6.97622202216517,-6.97622202216517,-6.841263759050747,-6.841263759050747
-6.498129138357136,-6.498129138357136,-6.799542272670634,-6.799542272670634,-6.821504557147567,-6.821504557147567
-6.848840756360614,-6.848840756360614,-6.610332146580465,-6.610332146580465,-6.497623890288414,-6.497623890288414
-6.64997894566585,-6.64997894566585,-6.738112455906609,-6.738112455906609,-6.871154636367413,-6.871154636367413
-6.602859805947129,-6.602859805947129,-6.332353382497533,-6.332353382497533,-6.88062358230259,-6.88062358230259
-6.877396160657806,-6.877396160657806,-6.775976261021373,-6.775976261021373,-6.704589940278448,-6.704589940278448
-6.331642774583865,-6.331642774583865,-6.767300538810432,-6.767300538810432,-6.7409891532438815,-6.7409891532438815
-6.779146785270459,-6.779146785270459,-6.871110938207869,-6.871110938207869,-6.578127705011937,-6.578127705011937
-6.758556528983089,-6.758556528983089,-6.448189049418619,-6.448189049418619,-6.571318738433843,-6.571318738433843
-7.002754005076687,-7.002754005076687,-6.722336514184392,-6.722336514184392,-6.748580303436533,-6.748580303436533
-6.676326343786394,-6.676326343786394,-6.645533141000358,-6.645533141000358,-6.516112283402179,-6.516112283402179
-6.479073007922104,-6.479073007922104,-6.45307213602277,-6.45307213602277,-6.7973139058234695,-6.7973139058234695
-6.528802248558224,-6.528802248558224,-6.48404617682621,-6.48404617682621,-6.90530296781515,-6.90530296781515
-6.612383593680542,-6.612383593680542,-6.445698293997674,-6.445698293997674,-6.733996838116237,-6.733996838116237
-6.798661528740582,-6.798661528740582,-6.5832455040065865,-6.5832455040065865,-6.542835660842438,-6.542835660842438
-6.925738996231959,-6.925738996231959,-6.929533820903751,-6.929533820903751,-6.553109270209655,-6.553109270209655
-6.503776207173315,-6.503776207173315,-6.538759047175643,-6.538759047175643,-6.6511742140967245,-6.6511742140967245
-6.761352504638296,-6.761352504638296,-6.798802631858365,-6.798802631858365,-6.549682544568911,-6.549682544568911
-6.235739217424122,-6.235739217424122,-6.952199261519104,-6.952199261519104,-6.843171754981016,-6.843171754981016
-6.852501558579862,-6.852501558579862,-6.246746514028424,-6.246746514028424,-6.620640503172434,-6.620640503172434
-6.574974295504407,-6.574974295504407,-6.7987846111469885,-6.7987846111469885,-6.761033435806294,-6.761033435806294
-6.868301215326047,-6.868301215326047,-6.858567904679744,-6.858567904679744,-6.649827596892794,-6.649827596892794
-6.543310520837848,-6.543310520837848,-6.685446482488849,-6.685446482488849,-6.7195147840636285,-6.7195147840636285
-6.842091196718128,-6.842091196718128,-6.521244393037425,-6.521244393037425,-6.855677110171328,-6.855677110171328
-6.870482044919353,-6.870482044919353,-6.7913225366119,-6.7913225366119,-6.678188385300916,-6.678188385300916
-6.379734312601725,-6.379734312601725,-6.582011397862073,-6.582011397862073,-6.800415071845952,-6.800415071845952
