Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.69282,0.99,CV,100,400,10
-6.68398,1,BS,100,400,10
-6.72132,0.99,CV,100,300,10
-6.72132,0.99,BS,100,300,10
-6.83833,0.95,CV,100,200,10
-6.82566,0.96,BS,100,200,10
-7.2746,0.39,CV,100,100,10
-7.25585,0.4,BS,100,100,10
-6.73626,0.99,CV,100,400,5
-6.73077,1,BS,100,400,5
-6.67663,1,CV,100,300,5
-6.67663,1,BS,100,300,5
-6.87974,0.88,CV,100,200,5
-6.86261,0.91,BS,100,200,5
-7.2259,0.45,CV,100,100,5
-7.22895,0.46,BS,100,100,5
-6.72818,1,CV,100,400,3
-6.7422,0.99,BS,100,400,3
-6.67924,0.98,CV,100,300,3
-6.67924,0.98,BS,100,300,3
-6.91613,0.86,CV,100,200,3
-6.91277,0.86,BS,100,200,3
-7.31372,0.35,CV,100,100,3
-7.28835,0.34,BS,100,100,3
-7.638345308,0.1,Sectioning,10,500,0
-7.663621706,0.04,NGS,10,500,0
-7.663621706,0.04,UNGS,10,500,0
-7.663621706,0.04,NV,10,500,0
-7.267110536,0.36,Sectioning,20,500,0
-7.229784875,0.42,NGS,20,500,0
-7.229784875,0.42,UNGS,20,500,0
-7.25731539,0.39,NV,20,500,0
-7.019834124,0.69,Sectioning,30,500,0
-7.042947274,0.72,NGS,30,500,0
-7.042947274,0.72,UNGS,30,500,0
-7.103187049,0.62,NV,30,500,0
-6.860693471,0.92,Sectioning,40,500,0
-6.881629565,0.92,NGS,40,500,0
-6.881629565,0.92,UNGS,40,500,0
-6.962723534,0.83,NV,40,500,0
-6.74559777,0.95,Sectioning,50,500,0
-6.788941751,0.95,NGS,50,500,0
-6.790995995,0.95,UNGS,50,500,0
-6.944038967,0.75,NV,50,500,0
-6.772196534,0.88,Sectioning,60,500,0
-6.642050067,0.99,NGS,60,500,0
-6.642050067,0.99,UNGS,60,500,0
-6.866663317,0.77,NV,60,500,0
-6.816206194,0.97,Sectioning,70,500,0
-6.784484862,0.96,NGS,70,500,0
-6.769165794,0.98,UNGS,70,500,0
-7.09091772,0.61,NV,70,500,0
-6.814899588,0.94,Sectioning,80,500,0
-6.847801614,0.91,NGS,80,500,0
-6.78992468,0.98,UNGS,80,500,0
-7.213311258,0.46,NV,80,500,0
-6.91033652,0.77,Sectioning,90,500,0
-6.779093998,0.89,NGS,90,500,0
-6.754519709,0.92,UNGS,90,500,0
-7.136191613,0.53,NV,90,500,0
-7.786749381,0.1,Sectioning,10,400,0
-7.687911516,0.11,NGS,10,400,0
-7.687911516,0.11,UNGS,10,400,0
-7.693133415,0.09,NV,10,400,0
-7.364764444,0.25,Sectioning,20,400,0
-7.371279764,0.24,NGS,20,400,0
-7.371279764,0.24,UNGS,20,400,0
-7.371279764,0.24,NV,20,400,0
-7.173412264,0.54,Sectioning,30,400,0
-7.153690842,0.5,NGS,30,400,0
-7.153690842,0.5,UNGS,30,400,0
-7.175956542,0.46,NV,30,400,0
-6.942451992,0.86,Sectioning,40,400,0
-6.982815695,0.8,NGS,40,400,0
-6.982815695,0.8,UNGS,40,400,0
-7.059257954,0.7,NV,40,400,0
-6.87250276,0.89,Sectioning,50,400,0
-6.829650628,0.96,NGS,50,400,0
-6.829650628,0.96,UNGS,50,400,0
-6.980993776,0.78,NV,50,400,0
-6.795995808,0.95,Sectioning,60,400,0
-6.765300869,0.96,NGS,60,400,0
-6.749134484,0.97,UNGS,60,400,0
-6.970437909,0.74,NV,60,400,0
-6.720465807,0.99,Sectioning,70,400,0
-6.721890835,0.96,NGS,70,400,0
-6.71126111,0.97,UNGS,70,400,0
-7.027670637,0.66,NV,70,400,0
-6.947409996,0.91,Sectioning,80,400,0
-6.923745752,0.93,NGS,80,400,0
-6.91298701,0.95,UNGS,80,400,0
-7.245367196,0.53,NV,80,400,0
-7.061600134,0.66,Sectioning,90,400,0
-6.896593737,0.88,NGS,90,400,0
-6.857719073,0.91,UNGS,90,400,0
-7.378940364,0.32,NV,90,400,0
-7.95644793,0.02,Sectioning,10,300,0
-7.955301537,0.02,NGS,10,300,0
-7.955301537,0.02,UNGS,10,300,0
-7.955301537,0.02,NV,10,300,0
-7.577450975,0.07,Sectioning,20,300,0
-7.526536677,0.1,NGS,20,300,0
-7.526536677,0.1,UNGS,20,300,0
-7.53299094,0.09,NV,20,300,0
-7.27325918,0.33,Sectioning,30,300,0
-7.307144272,0.36,NGS,30,300,0
-7.307144272,0.36,UNGS,30,300,0
-7.324983137,0.34,NV,30,300,0
-7.155838731,0.52,Sectioning,40,300,0
-7.145042107,0.58,NGS,40,300,0
-7.145042107,0.58,UNGS,40,300,0
-7.210358028,0.49,NV,40,300,0
-7.016942631,0.72,Sectioning,50,300,0
-7.027357187,0.64,NGS,50,300,0
-7.020120689,0.65,UNGS,50,300,0
-7.132228031,0.51,NV,50,300,0
-6.905894439,0.86,Sectioning,60,300,0
-6.930664814,0.86,NGS,60,300,0
-6.917892136,0.88,UNGS,60,300,0
-7.134904347,0.63,NV,60,300,0
-6.896036308,0.88,Sectioning,70,300,0
-6.883183874,0.93,NGS,70,300,0
-6.853960057,0.96,UNGS,70,300,0
-7.095169506,0.67,NV,70,300,0
-6.843430561,0.88,Sectioning,80,300,0
-6.874270508,0.85,NGS,80,300,0
-6.817203151,0.91,UNGS,80,300,0
-7.210394569,0.51,NV,80,300,0
-7.237476483,0.48,Sectioning,90,300,0
-6.909008395,0.79,NGS,90,300,0
-6.884717737,0.82,UNGS,90,300,0
-7.191506057,0.49,NV,90,300,0
-8.187020485,0.04,Sectioning,10,200,0
-8.155351878,0.01,NGS,10,200,0
-8.155351878,0.01,UNGS,10,200,0
-8.155351878,0.01,NV,10,200,0
-7.795817064,0.08,Sectioning,20,200,0
-7.762884151,0.07,NGS,20,200,0
-7.771553571,0.06,UNGS,20,200,0
-7.78136188,0.05,NV,20,200,0
-7.499919744,0.15,Sectioning,30,200,0
-7.504593556,0.15,NGS,30,200,0
-7.5021602,0.15,UNGS,30,200,0
-7.508645754,0.14,NV,30,200,0
-7.381107573,0.27,Sectioning,40,200,0
-7.402298939,0.2,NGS,40,200,0
-7.402298939,0.2,UNGS,40,200,0
-7.434801888,0.17,NV,40,200,0
-7.292632176,0.4,Sectioning,50,200,0
-7.29575167,0.35,NGS,50,200,0
-7.292335201,0.36,UNGS,50,200,0
-7.355852089,0.29,NV,50,200,0
-7.164875207,0.54,Sectioning,60,200,0
-7.213141416,0.42,NGS,60,200,0
-7.213141416,0.42,UNGS,60,200,0
-7.28663365,0.36,NV,60,200,0
-7.13888265,0.59,Sectioning,70,200,0
-7.166361172,0.52,NGS,70,200,0
-7.135306691,0.57,UNGS,70,200,0
-7.445891589,0.26,NV,70,200,0
-7.197223421,0.53,Sectioning,80,200,0
-7.097071593,0.7,NGS,80,200,0
-7.08911183,0.71,UNGS,80,200,0
-7.268310765,0.54,NV,80,200,0
-7.461870199,0.3,Sectioning,90,200,0
-7.140783828,0.6,NGS,90,200,0
-7.019514174,0.73,UNGS,90,200,0
-7.383437129,0.35,NV,90,200,0
-8.678891048,0,Sectioning,10,100,0
-8.73666103,0,NGS,10,100,0
-8.73666103,0,UNGS,10,100,0
-8.73666103,0,NV,10,100,0
-8.203353599,0.04,Sectioning,20,100,0
-8.218582358,0.02,NGS,20,100,0
-8.218582358,0.02,UNGS,20,100,0
-8.218582358,0.02,NV,20,100,0
-7.988931737,0.05,Sectioning,30,100,0
-8.006081588,0.02,NGS,30,100,0
-8.006081588,0.02,UNGS,30,100,0
-8.006081588,0.02,NV,30,100,0
-7.778010997,0.05,Sectioning,40,100,0
-7.840179879,0.04,NGS,40,100,0
-7.840179879,0.04,UNGS,40,100,0
-7.868655785,0.02,NV,40,100,0
-7.672089811,0.05,Sectioning,50,100,0
-7.571640319,0.15,NGS,50,100,0
-7.571640319,0.15,UNGS,50,100,0
-7.616971206,0.11,NV,50,100,0
-7.652244483,0.14,Sectioning,60,100,0
-7.611446246,0.13,NGS,60,100,0
-7.611446246,0.13,UNGS,60,100,0
-7.689528021,0.07,NV,60,100,0
-7.655919413,0.06,Sectioning,70,100,0
-7.509178353,0.13,NGS,70,100,0
-7.497247706,0.14,UNGS,70,100,0
-7.599677139,0.11,NV,70,100,0
-7.591058814,0.13,Sectioning,80,100,0
-7.40882909,0.28,NGS,80,100,0
-7.400024911,0.29,UNGS,80,100,0
-7.606621785,0.16,NV,80,100,0
-7.874719115,0.04,Sectioning,90,100,0
-7.589527282,0.17,NGS,90,100,0
-7.501561202,0.23,UNGS,90,100,0
-7.583513587,0.17,NV,90,100,0
-7.658827314,0.09,Sectioning,10,450,0
-7.681317032,0.06,NGS,10,450,0
-7.681317032,0.06,UNGS,10,450,0
-7.681317032,0.06,NV,10,450,0
-7.302567182,0.27,Sectioning,20,450,0
-7.307218951,0.31,NGS,20,450,0
-7.307218951,0.31,UNGS,20,450,0
-7.321104408,0.28,NV,20,450,0
-7.041123851,0.63,Sectioning,30,450,0
-7.006701852,0.64,NGS,30,450,0
-7.002232772,0.65,UNGS,30,450,0
-7.079067372,0.58,NV,30,450,0
-6.914062757,0.88,Sectioning,40,450,0
-6.959576318,0.8,NGS,40,450,0
-6.954138187,0.8,UNGS,40,450,0
-7.027018455,0.72,NV,40,450,0
-6.880228749,0.89,Sectioning,50,450,0
-6.872731123,0.89,NGS,50,450,0
-6.872731123,0.89,UNGS,50,450,0
-7.046743538,0.69,NV,50,450,0
-6.715178622,0.98,Sectioning,60,450,0
-6.748722027,0.98,NGS,60,450,0
-6.748722027,0.98,UNGS,60,450,0
-6.971165809,0.74,NV,60,450,0
-6.706945684,0.97,Sectioning,70,450,0
-6.695876481,0.98,NGS,70,450,0
-6.695876481,0.98,UNGS,70,450,0
-6.906981829,0.74,NV,70,450,0
-6.818151831,0.97,Sectioning,80,450,0
-6.872215804,0.91,NGS,80,450,0
-6.832605431,0.94,UNGS,80,450,0
-7.177729663,0.53,NV,80,450,0
-7.093896112,0.61,Sectioning,90,450,0
-6.847987298,0.9,NGS,90,450,0
-6.841613127,0.91,UNGS,90,450,0
-7.290337151,0.4,NV,90,450,0
-7.790878467,0.04,Sectioning,10,350,0
-7.823458447,0.04,NGS,10,350,0
-7.823458447,0.04,UNGS,10,350,0
-7.823458447,0.04,NV,10,350,0
-7.360758436,0.31,Sectioning,20,350,0
-7.39673638,0.28,NGS,20,350,0
-7.39673638,0.28,UNGS,20,350,0
-7.42389922,0.24,NV,20,350,0
-7.262680679,0.38,Sectioning,30,350,0
-7.187641373,0.48,NGS,30,350,0
-7.187641373,0.48,UNGS,30,350,0
-7.231765121,0.42,NV,30,350,0
-7.09425887,0.57,Sectioning,40,350,0
-7.028347263,0.69,NGS,40,350,0
-7.023707078,0.7,UNGS,40,350,0
-7.09140917,0.62,NV,40,350,0
-6.973370035,0.78,Sectioning,50,350,0
-6.883137921,0.85,NGS,50,350,0
-6.883137921,0.85,UNGS,50,350,0
-7.011392019,0.71,NV,50,350,0
-6.847025509,0.94,Sectioning,60,350,0
-6.873202686,0.9,NGS,60,350,0
-6.866612133,0.9,UNGS,60,350,0
-7.096560673,0.65,NV,60,350,0
-6.784749415,0.93,Sectioning,70,350,0
-6.826384242,0.91,NGS,70,350,0
-6.795457457,0.93,UNGS,70,350,0
-7.039551455,0.68,NV,70,350,0
-6.827070109,0.86,Sectioning,80,350,0
-6.817058803,0.9,NGS,80,350,0
-6.802624449,0.92,UNGS,80,350,0
-7.055907997,0.65,NV,80,350,0
-7.265053392,0.45,Sectioning,90,350,0
-6.761323458,0.89,NGS,90,350,0
-6.733551157,0.92,UNGS,90,350,0
-7.010854094,0.66,NV,90,350,0
-8.070978433,0.03,Sectioning,10,250,0
-8.087401164,0.02,NGS,10,250,0
-8.087401164,0.02,UNGS,10,250,0
-8.087401164,0.02,NV,10,250,0
-7.636242445,0.1,Sectioning,20,250,0
-7.633634745,0.11,NGS,20,250,0
-7.633634745,0.11,UNGS,20,250,0
-7.645263013,0.1,NV,20,250,0
-7.415043558,0.22,Sectioning,30,250,0
-7.449409785,0.23,NGS,30,250,0
-7.44388606,0.23,UNGS,30,250,0
-7.476033457,0.17,NV,30,250,0
-7.246852805,0.42,Sectioning,40,250,0
-7.212429588,0.41,NGS,40,250,0
-7.212429588,0.41,UNGS,40,250,0
-7.268491342,0.35,NV,40,250,0
-7.074069789,0.7,Sectioning,50,250,0
-7.145756445,0.58,NGS,50,250,0
-7.136232851,0.59,UNGS,50,250,0
-7.222533352,0.46,NV,50,250,0
-6.965436061,0.81,Sectioning,60,250,0
-7.022642006,0.73,NGS,60,250,0
-7.00661663,0.75,UNGS,60,250,0
-7.258999605,0.46,NV,60,250,0
-7.000182571,0.75,Sectioning,70,250,0
-6.977812527,0.74,NGS,70,250,0
-6.957117972,0.77,UNGS,70,250,0
-7.094691454,0.62,NV,70,250,0
-7.012884746,0.74,Sectioning,80,250,0
-6.918931135,0.82,NGS,80,250,0
-6.912587364,0.83,UNGS,80,250,0
-7.191731108,0.54,NV,80,250,0
-7.417485751,0.3,Sectioning,90,250,0
-7.100935991,0.63,NGS,90,250,0
-6.987675393,0.74,UNGS,90,250,0
-7.39236248,0.34,NV,90,250,0
-8.389619071,0.01,Sectioning,10,150,0
-8.325838382,0.01,NGS,10,150,0
-8.325838382,0.01,UNGS,10,150,0
-8.325838382,0.01,NV,10,150,0
-8.032230816,0.03,Sectioning,20,150,0
-7.931901944,0.05,NGS,20,150,0
-7.931901944,0.05,UNGS,20,150,0
-7.939901244,0.04,NV,20,150,0
-7.737457486,0.04,Sectioning,30,150,0
-7.732077886,0.07,NGS,30,150,0
-7.732077886,0.07,UNGS,30,150,0
-7.752295446,0.04,NV,30,150,0
-7.464588411,0.17,Sectioning,40,150,0
-7.514957539,0.16,NGS,40,150,0
-7.509705365,0.17,UNGS,40,150,0
-7.536827584,0.14,NV,40,150,0
-7.488632163,0.23,Sectioning,50,150,0
-7.434787405,0.2,NGS,50,150,0
-7.429385318,0.2,UNGS,50,150,0
-7.487486283,0.15,NV,50,150,0
-7.299522057,0.33,Sectioning,60,150,0
-7.325165866,0.23,NGS,60,150,0
-7.314851431,0.24,UNGS,60,150,0
-7.446491648,0.13,NV,60,150,0
-7.339205576,0.34,Sectioning,70,150,0
-7.244754707,0.46,NGS,70,150,0
-7.228682998,0.47,UNGS,70,150,0
-7.417424212,0.29,NV,70,150,0
-7.437804023,0.29,Sectioning,80,150,0
-7.252713779,0.42,NGS,80,150,0
-7.212791561,0.44,UNGS,80,150,0
-7.353272114,0.35,NV,80,150,0
-7.760868542,0.11,Sectioning,90,150,0
-7.299394648,0.43,NGS,90,150,0
-7.194166291,0.54,UNGS,90,150,0
-7.299394648,0.43,NV,90,150,0
-7.005480024,0.76,CV,100,150,3
-7.031637543,0.71,BS,100,150,3
-7.025183224,0.71,CV,100,150,5
-7.027264254,0.69,BS,100,150,5
-7.017711505,0.7,CV,100,150,10
-7.020002887,0.7,BS,100,150,10
-6.791879868,0.95,CV,100,250,3
-6.791879868,0.95,BS,100,250,3
-6.755101704,0.96,CV,100,250,5
-6.748320606,0.97,BS,100,250,5
-6.717646183,0.97,CV,100,250,10
-6.717646183,0.97,BS,100,250,10
-6.807097134,0.97,CV,100,350,3
-6.812435161,0.96,BS,100,350,3
-6.789176317,1,CV,100,350,5
-6.789176317,1,BS,100,350,5
-6.825439354,0.99,CV,100,350,10
-6.825439354,0.99,BS,100,350,10
-6.737363293,1,CV,100,450,3
-6.749671595,0.98,BS,100,450,3
-6.663534023,1,CV,100,450,5
-6.663534023,1,BS,100,450,5
-6.690394335,1,CV,100,450,10
-6.690394335,1,BS,100,450,10
-6.610495128,1,CV,100,500,3
-6.610495128,1,BS,100,500,3
-6.641833711,1,CV,100,500,5
-6.641833711,1,BS,100,500,5
-6.676787893,1,CV,100,500,10
-6.676787893,1,BS,100,500,10
-8.623723983,0.01,UG,10,100,0
-8.168147429,0.01,UG,20,100,0
-7.922743083,0.05,UG,30,100,0
-7.754953448,0.08,UG,40,100,0
-7.68476796,0.05,UG,50,100,0
-7.515675439,0.15,UG,60,100,0
-7.479149737,0.19,UG,70,100,0
-7.422726472,0.2,UG,80,100,0
-7.623724108,0.23,UG,90,100,0
-8.365885822,0,UG,10,150,0
-7.974563311,0.04,UG,20,150,0
-7.624874955,0.1,UG,30,150,0
-7.57133435,0.15,UG,40,150,0
-7.38189655,0.22,UG,50,150,0
-7.401241979,0.29,UG,60,150,0
-7.270708919,0.42,UG,70,150,0
-7.268265041,0.43,UG,80,150,0
-7.336907804,0.4,UG,90,150,0
-8.205181502,0.03,UG,10,200,0
-7.72356917,0.05,UG,20,200,0
-7.562763515,0.14,UG,30,200,0
-7.351803708,0.32,UG,40,200,0
-7.333022353,0.28,UG,50,200,0
-7.161163692,0.52,UG,60,200,0
-7.13053851,0.63,UG,70,200,0
-7.073211618,0.66,UG,80,200,0
-7.161288169,0.62,UG,90,200,0
-8.086451115,0.01,UG,10,250,0
-7.638708811,0.09,UG,20,250,0
-7.399040511,0.24,UG,30,250,0
-7.247999151,0.4,UG,40,250,0
-7.134071,0.56,UG,50,250,0
-7.047370756,0.7,UG,60,250,0
-6.967757693,0.82,UG,70,250,0
-7.001825279,0.78,UG,80,250,0
-7.044120868,0.7,UG,90,250,0
-7.984328259,0.03,UG,10,300,0
-7.506362147,0.14,UG,20,300,0
-7.262330794,0.37,UG,30,300,0
-7.147642653,0.56,UG,40,300,0
-7.012009053,0.66,UG,50,300,0
-6.997770307,0.75,UG,60,300,0
-6.888583691,0.81,UG,70,300,0
-6.890850056,0.86,UG,80,300,0
-6.90163766,0.76,UG,90,300,0
-7.822430422,0.01,UG,10,350,0
-7.437470762,0.18,UG,20,350,0
-7.170968973,0.55,UG,30,350,0
-7.025645168,0.71,UG,40,350,0
-6.946214478,0.76,UG,50,350,0
-6.886008943,0.9,UG,60,350,0
-6.809300643,0.9,UG,70,350,0
-6.78316197,0.9,UG,80,350,0
-6.828537122,0.84,UG,90,350,0
-7.727603645,0.03,UG,10,400,0
-7.362063036,0.25,UG,20,400,0
-7.129632822,0.51,UG,30,400,0
-7.030569844,0.72,UG,40,400,0
-6.942063115,0.85,UG,50,400,0
-6.794725896,0.93,UG,60,400,0
-6.777474074,0.93,UG,70,400,0
-6.936294061,0.87,UG,80,400,0
-6.868910879,0.88,UG,90,400,0
-7.743729844,0.04,UG,10,450,0
-7.273665294,0.37,UG,20,450,0
-7.110205504,0.55,UG,30,450,0
-6.935617901,0.79,UG,40,450,0
-6.862543715,0.93,UG,50,450,0
-6.791601767,0.94,UG,60,450,0
-6.74004852,0.92,UG,70,450,0
-6.851037613,0.91,UG,80,450,0
-6.783001741,0.94,UG,90,450,0
-7.622080312,0.06,UG,10,500,0
-7.251351853,0.35,UG,20,500,0
-7.02438221,0.77,UG,30,500,0
-6.879612761,0.84,UG,40,500,0
-6.766613122,0.94,UG,50,500,0
-6.737097041,0.95,UG,60,500,0
-6.85544656,0.94,UG,70,500,0
-6.844770484,0.91,UG,80,500,0
-6.893235652,0.8,UG,90,500,0
