Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-8.990171510673386,-8.040839301015653,-8.040839301015653,-8.040839301015653,-7.759901135243057,-7.251486259441217,-7.251486259441217,-7.251486259441217,-7.552801069127449,-7.862039244482828,-7.862039244482828,-7.862039244482828,-6.974217047078371,-7.360088244690571,-7.360088244690571,-7.360088244690571,-6.902278584628602,-6.832472447800607,-6.832472447800607,-6.832472447800607,-7.482900342492309,-7.636938308486037,-7.636938308486037,-7.636938308486037,-7.366407826699319,-7.226030744736167,-7.226030744736167,-7.226030744736167,-7.039699969926562,-7.125558005320062,-7.125558005320062,-7.125558005320062,-7.520417450309264,-7.649909381637144,-6.930238878749012,-7.734299068143197
-8.029971842945177,-8.130932785261423,-8.130932785261423,-8.130932785261423,-8.032203763893982,-8.06377059761455,-8.06377059761455,-8.06377059761455,-7.033496444882,-8.32688147278914,-8.32688147278914,-8.32688147278914,-7.509832274676201,-7.442404668964711,-7.442404668964711,-7.442404668964711,-7.6395980236983,-7.772051244421684,-7.772051244421684,-7.772051244421684,-7.158873467883198,-7.23196557670659,-7.23196557670659,-7.23196557670659,-7.940045272898029,-7.2438734875980755,-7.2438734875980755,-8.016127586809747,-6.884978645614613,-7.084887227084255,-7.084887227084255,-7.084887227084255,-6.700856859266546,-7.3592666422535045,-6.700759238970031,-7.588669156239169
-8.642010609751475,-8.641558621165705,-8.641558621165705,-8.641558621165705,-8.12361702068099,-7.911096959621979,-7.911096959621979,-7.911096959621979,-7.127398365998721,-7.616559927397271,-7.616559927397271,-7.616559927397271,-7.226422051634843,-7.515095116292233,-7.515095116292233,-7.515095116292233,-7.691331815445039,-7.430802269117166,-7.430802269117166,-7.430802269117166,-7.782856719016578,-7.573252860213323,-7.573252860213323,-7.573252860213323,-7.667254350018352,-7.811242338256306,-7.811242338256306,-7.811242338256306,-7.130583842532269,-7.223973526791187,-7.223973526791187,-7.936165875918611,-7.745102317811322,-6.780532271012531,-6.780532271012531,-6.780532271012531
-8.091695734216074,-7.652694084187909,-7.652694084187909,-7.652694084187909,-6.983948231194356,-7.788467923527611,-7.788467923527611,-7.788467923527611,-7.533509126740673,-8.070313920245956,-8.070313920245956,-8.070313920245956,-7.407504147147161,-7.374429682838715,-7.374429682838715,-7.374429682838715,-6.868650313932627,-6.979735844103357,-6.979735844103357,-6.979735844103357,-7.627470347333412,-7.483141407900748,-7.483141407900748,-7.483141407900748,-7.585750598357863,-7.797237761391035,-7.501624279120761,-8.048668483206422,-7.600021141201186,-7.2157136912345665,-7.2157136912345665,-7.813596066035896,-7.541522308780601,-6.6638160646370235,-6.6638160646370235,-7.318292083611027
-6.386031300227415,-7.231314442140581,-7.231314442140581,-7.231314442140581,-7.684926372814552,-7.876470701519656,-7.876470701519656,-7.876470701519656,-8.071182801783328,-7.631418840699649,-7.631418840699649,-7.631418840699649,-7.496615906961846,-7.198135094589291,-7.198135094589291,-7.198135094589291,-7.530465552058132,-7.817840882810756,-7.817840882810756,-7.817840882810756,-6.771716252331768,-6.687945110237296,-6.687945110237296,-7.238663280582186,-7.869462613044934,-7.451922754666551,-7.451922754666551,-7.451922754666551,-7.848043246235852,-7.043542758501493,-7.043542758501493,-7.043542758501493,-7.239362847902996,-7.085344888499908,-7.085344888499908,-7.085344888499908
-7.78572297073659,-8.43076173966211,-8.43076173966211,-8.43076173966211,-8.032818422466423,-7.550663265260075,-7.550663265260075,-7.550663265260075,-7.359318229091641,-7.552799739857328,-7.552799739857328,-7.552799739857328,-7.229018590700584,-7.229018590700584,-7.229018590700584,-7.70216606524334,-7.627603823502298,-7.413428086300833,-7.413428086300833,-7.413428086300833,-6.971318509806011,-7.12494431929656,-7.12494431929656,-7.12494431929656,-6.709655562041052,-6.6365814737767765,-6.6365814737767765,-7.452695846075722,-6.646020261497201,-6.759175915205743,-6.759175915205743,-6.759175915205743,-7.607608741206713,-6.652539329388162,-6.652539329388162,-6.652539329388162
-7.532202384775605,-8.7655709767733,-8.7655709767733,-8.7655709767733,-7.937068031383541,-8.124727995874686,-8.124727995874686,-8.124727995874686,-7.253611805346819,-6.875294390905712,-6.875294390905712,-6.875294390905712,-7.357256182022818,-7.836658013034758,-7.836658013034758,-7.836658013034758,-7.7145376143291555,-7.086817139974798,-7.086817139974798,-7.086817139974798,-7.475270595233349,-7.452584559151077,-7.452584559151077,-8.169300827725921,-6.929644141100741,-7.542126475668059,-7.542126475668059,-7.542126475668059,-6.799529450130867,-6.550450565956756,-6.550450565956756,-6.550450565956756,-7.58960900742355,-7.504889635474102,-7.504889635474102,-7.504889635474102
-8.294706255371304,-7.880533791630098,-7.880533791630098,-7.880533791630098,-7.440157760866913,-7.764942976186727,-7.764942976186727,-7.764942976186727,-7.408367829155563,-7.629878902725542,-7.629878902725542,-7.629878902725542,-6.9631403125005615,-7.468218524947377,-7.468218524947377,-7.468218524947377,-7.670597528948253,-7.972054514281091,-7.972054514281091,-7.972054514281091,-7.582496119250052,-7.123084795037534,-7.123084795037534,-7.123084795037534,-6.534142988397759,-7.020907792317686,-7.020907792317686,-7.562065472829498,-7.057826791925433,-6.9664050456394495,-6.9664050456394495,-7.8148856358223,-7.1172132511858095,-7.692056985400322,-6.846821163054415,-7.748027160083857
-8.085285445205145,-7.86751329505304,-7.86751329505304,-7.86751329505304,-8.440988189350378,-8.054087656003809,-8.054087656003809,-8.054087656003809,-7.70544940483345,-7.880723511087169,-7.880723511087169,-7.880723511087169,-7.099603931218347,-7.765918531680525,-7.765918531680525,-7.765918531680525,-6.698911525177437,-6.692820452034801,-6.692820452034801,-6.692820452034801,-7.262283110680635,-7.264715987607026,-7.264715987607026,-7.8802871519216335,-7.847610056723419,-7.2129513480709715,-7.2129513480709715,-7.912832476234927,-7.485222053790489,-6.876019393650033,-6.876019393650033,-6.876019393650033,-7.388433842723783,-6.439971595652816,-6.439971595652816,-6.439971595652816
-8.518056503183557,-8.590429132060965,-8.590429132060965,-8.590429132060965,-8.153362203529355,-7.600977491123307,-7.600977491123307,-7.600977491123307,-7.265422811881884,-7.759741160050173,-7.759741160050173,-7.759741160050173,-7.802802481844918,-7.4138999800442225,-7.4138999800442225,-7.4138999800442225,-7.288563897564274,-6.551657521631172,-6.551657521631172,-6.551657521631172,-7.387134998547546,-7.399069933634433,-7.399069933634433,-7.399069933634433,-6.939355169288017,-7.033714989886027,-7.033714989886027,-7.594807867247022,-7.524226624348834,-7.1776862798993495,-7.1776862798993495,-7.1776862798993495,-7.980935732034794,-7.162953185639978,-7.162953185639978,-8.05374308638637
