Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.960261049613672,0.81,Cross Validation,100,200,10
-6.946948974244745,0.78,Bootstrapping,100,200,10
-6.901354345819985,0.87,Cross Validation,100,200,5
-7.032666874309609,0.7,Bootstrapping,100,200,5
-7.01069467671583,0.79,Cross Validation,100,200,3
-7.195335403112544,0.54,Bootstrapping,100,200,3
-7.249095173449551,0.4,Cross Validation,100,100,10
-7.4273997938280605,0.21,Bootstrapping,100,100,10
-7.197273518629541,0.42,Cross Validation,100,100,5
-7.645238224615489,0.21,Bootstrapping,100,100,5
-7.439330172894257,0.21,Cross Validation,100,100,3
-7.819359014561528,0.13,Bootstrapping,100,100,3
-6.78314687587611,0.94,Cross Validation,100,300,10
-6.810977403988581,0.95,Bootstrapping,100,300,10
-6.795594153728598,0.92,Cross Validation,100,300,5
-6.864559012138014,0.86,Bootstrapping,100,300,5
-6.880349699995056,0.87,Cross Validation,100,300,3
-6.871925482629756,0.85,Bootstrapping,100,300,3
-6.764472556980406,0.92,Cross Validation,100,400,10
-6.643602156558805,0.99,Bootstrapping,100,400,10
-6.842532197761931,0.89,Cross Validation,100,400,5
-6.762983997752903,0.93,Bootstrapping,100,400,5
-6.807332619076073,0.89,Cross Validation,100,400,3
-6.808999533954993,0.89,Bootstrapping,100,400,3
-6.696870278396548,0.97,Cross Validation,100,500,10
-6.682547264763565,0.97,Bootstrapping,100,500,10
-6.753668952460284,0.91,Cross Validation,100,500,5
-6.630630249483147,0.96,Bootstrapping,100,500,5
-6.792682416920868,0.89,Cross Validation,100,500,3
-6.756671168374088,0.9,Bootstrapping,100,500,3
-6.819715297437272,0.88,Cross Validation,100,600,10
-6.742831360492954,0.95,Bootstrapping,100,600,10
-6.744817959465829,0.94,Cross Validation,100,600,5
-6.641531529062632,0.99,Bootstrapping,100,600,5
-6.798488547128618,0.9,Cross Validation,100,600,3
-6.739720655640005,0.94,Bootstrapping,100,600,3
-6.693312574374096,0.92,Cross Validation,100,700,10
-6.674539323903933,0.98,Bootstrapping,100,700,10
-6.779122193818073,0.9,Cross Validation,100,700,5
-6.661826974384631,0.97,Bootstrapping,100,700,5
-6.752188119983661,0.91,Cross Validation,100,700,3
-6.743898960875306,0.88,Bootstrapping,100,700,3
-6.725386596221998,0.94,Cross Validation,100,800,10
-6.654633131765982,0.98,Bootstrapping,100,800,10
-6.756252008774027,0.88,Cross Validation,100,800,5
-6.6319978196536775,0.97,Bootstrapping,100,800,5
-6.739421897444064,0.93,Cross Validation,100,800,3
-6.645012097061497,0.97,Bootstrapping,100,800,3
-6.67535807381124,0.96,Cross Validation,100,900,10
-6.650234065747225,0.99,Bootstrapping,100,900,10
-6.73766558329076,0.93,Cross Validation,100,900,5
-6.663101160123582,0.99,Bootstrapping,100,900,5
-6.787329596825393,0.93,Cross Validation,100,900,3
-6.694730180977873,0.94,Bootstrapping,100,900,3
-6.736196104705062,0.93,Cross Validation,100,1000,10
-6.691027266583031,0.97,Bootstrapping,100,1000,10
-6.689212098964596,0.97,Cross Validation,100,1000,5
-6.645124835516749,0.98,Bootstrapping,100,1000,5
-6.735690536347591,0.96,Cross Validation,100,1000,3
-6.696823216831172,0.95,Bootstrapping,100,1000,3
