Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-7.112400113802103,-6.571757910987772,-6.964837959122188,-6.964837959122188,-7.652070865019089,-6.911659632105193
-7.053275976504902,-7.169012136208898,-6.906748098288428,-6.906748098288428,-7.058521664616234,-7.058521664616234
-6.349271395321727,-6.3930711788966,-6.437512762559446,-6.437512762559446,-6.42980003103344,-6.42980003103344
-6.940449803720966,-6.9123098565051535,-6.549282558654166,-6.624140928982866,-7.323816339929834,-7.323816339929834
-6.487252734055078,-6.487252734055078,-7.159048612927002,-7.159048612927002,-6.7189676877970905,-6.7189676877970905
-7.026755493758094,-6.671318926590282,-7.223777352401299,-7.223777352401299,-6.683455963738342,-6.683455963738342
-6.718676954614196,-6.554223853356239,-6.678441817362364,-6.678441817362364,-6.5607612929387145,-6.519305075539653
-7.57837411054777,-6.74597010137584,-6.726328322573496,-6.780939029689171,-7.2624387599954545,-7.057174858215815
-6.966625430332449,-6.966625430332449,-6.916333126594662,-6.538432844553549,-6.6143406083857545,-6.688988648443756
-6.543005899488406,-6.543005899488406,-6.786394490042669,-6.554178760408146,-6.302589147479159,-6.206239904066792
-6.884006668087309,-6.791284679594165,-6.723353992482718,-6.747946882490932,-6.120434792606022,-6.120434792606022
-7.2749045949209155,-7.2749045949209155,-6.606843808870575,-6.762860356106664,-7.2792718217395915,-7.00775407976372
-7.20040058361946,-7.20040058361946,-6.757559710835494,-6.757559710835494,-6.980018629367305,-6.7562979069832645
-6.682586611533145,-6.682586611533145,-6.308404981731972,-6.691953530880537,-6.685271935785011,-6.685271935785011
-6.186311960640594,-6.186311960640594,-6.837987443513237,-6.654989613487913,-6.834063364796182,-6.759680192159936
-7.141042815284946,-7.141042815284946,-6.46174453277902,-6.46174453277902,-6.209375468477646,-6.210057117413646
-6.933840691381327,-6.933840691381327,-6.77494376891879,-6.393344724272234,-6.897349698307069,-6.564714370591335
-6.704725054887465,-6.476064283537636,-7.328517680017558,-6.929682737018879,-6.193153869125571,-6.066505020904987
-6.785241596913084,-6.560404492947741,-6.3954848554362025,-6.3954848554362025,-6.562121116990832,-6.841680055783066
-6.798099259714433,-6.623980387403126,-6.764463297311216,-6.764463297311216,-6.903968095461236,-6.675207844458165
-6.609925360007339,-6.512757425062451,-7.108975151703499,-7.108975151703499,-7.307371478517274,-6.9147144139100405
-6.764735185224423,-6.287787184622858,-6.792324296309378,-6.439758533464602,-6.574641334151192,-6.662953590991741
-6.789926640435015,-6.789926640435015,-6.901945402213382,-6.85993005987429,-6.289117888707994,-6.481646453916595
-7.082444326205382,-7.562538085263077,-6.83502361710845,-6.45514482568025,-6.469955150552037,-6.628492812755406
-6.783149300175316,-6.517310867629748,-6.706719506141156,-6.655274538497506,-6.585238934235326,-6.391668604704145
-6.8228156268145534,-6.8228156268145534,-7.364674952539738,-6.872198959925692,-6.579793330627385,-7.296274972100704
-6.8354195821850565,-6.594329486958938,-6.446726054500515,-6.463032188615495,-6.4984178077086066,-6.494156242024681
-7.043913343595332,-7.049861101498606,-7.119545217019993,-6.993503624883672,-7.101395780027364,-7.101395780027364
-6.574178467983659,-6.574178467983659,-7.420177431711686,-7.420177431711686,-6.601341268022753,-6.601341268022753
-6.798707810031632,-6.798707810031632,-6.686953504866977,-6.686953504866977,-6.443724547703093,-6.561351945341225
-6.343096790531381,-6.457594501221217,-6.80799837718444,-6.7008973968158525,-6.6801652227218975,-6.6801652227218975
-6.878144849562768,-6.844682965024202,-6.791830664365024,-6.791830664365024,-6.903408417080152,-6.610797556826174
-6.713049790421503,-6.713049790421503,-7.33270851033163,-6.886139601659723,-6.4780125248191265,-6.5139698612834085
-7.207906863697769,-7.207906863697769,-6.94471840921545,-6.94471840921545,-6.7745558987315295,-6.499998652406372
-7.354323134756193,-6.514351690459862,-6.691897917783562,-6.688641161854012,-7.249134961156779,-6.9002255778456565
-6.49111588586863,-6.507054164089865,-6.9401625195175,-6.82725368474119,-7.15435297233914,-7.09157941995826
-6.704135442698045,-6.704135442698045,-6.525577953508547,-6.525577953508547,-7.064689575627819,-7.064689575627819
-6.665380637872044,-6.665380637872044,-6.278494738374141,-6.278494738374141,-6.63763003343288,-7.280824849454003
-6.8236059810631815,-6.722798359623144,-7.220317624186458,-6.734670992801073,-6.612775199332411,-6.609621982956625
-6.564580251569286,-6.891153825255046,-6.11022703916745,-6.463866703718554,-6.448794359248908,-6.448794359248908
-6.734276275065231,-7.120593446878951,-6.542717125798082,-6.323645566449396,-6.810521060236761,-6.946058529827976
-7.205751250096554,-6.888537406006877,-6.896722956152386,-6.896722956152386,-6.691983604343308,-6.691983604343308
-6.340608619719489,-6.575607645445261,-7.237106398540383,-6.712359533003956,-7.112158522045649,-7.112158522045649
