Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-7.726262498283268,-8.250837841118026,-8.250837841118026,-8.250837841118026,-7.930987633432031,-7.532056883130556,-7.532056883130556,-7.532056883130556,-7.798700604972074,-7.88218020530589,-7.88218020530589,-7.88218020530589,-7.864731499113974,-7.614125342961243,-7.614125342961243,-7.614125342961243,-6.864724285954625,-7.290933818849536,-7.290933818849536,-7.290933818849536,-7.200451013392145,-7.401741317503899,-7.401741317503899,-7.627187861438961,-7.220807264046462,-7.134930173076576,-7.134930173076576,-7.134930173076576,-7.009273767595808,-6.9762507238344105,-6.9762507238344105,-6.9762507238344105,-6.9417401626846456,-6.9760411812049075,-6.9760411812049075,-6.9760411812049075
-7.610024664843843,-8.768611708861764,-8.768611708861764,-8.768611708861764,-7.4517204051370385,-7.938503055825678,-7.938503055825678,-7.938503055825678,-8.436822911550387,-7.564612768234445,-7.564612768234445,-7.564612768234445,-6.952307571331987,-6.9380138174625285,-6.9380138174625285,-6.9380138174625285,-7.642369121675488,-7.794582660362881,-7.794582660362881,-7.794582660362881,-7.042554642053288,-7.072499079629512,-7.072499079629512,-7.217955203025928,-7.042865296798542,-7.156464142087588,-7.156464142087588,-7.156464142087588,-7.038071534306293,-7.1066583682387545,-7.1066583682387545,-7.1066583682387545,-6.887452204615334,-7.384550411538733,-7.384550411538733,-7.615222207531479
-7.9519272160747105,-8.345731434505247,-8.345731434505247,-8.345731434505247,-7.917464380564685,-8.243855387004006,-8.243855387004006,-8.243855387004006,-7.124585155052287,-6.815577920374999,-6.815577920374999,-6.815577920374999,-7.759178704966875,-8.074782942265205,-8.074782942265205,-8.074782942265205,-7.114025373617446,-7.407182959222155,-7.407182959222155,-7.407182959222155,-7.052275024883948,-7.410044666717884,-7.410044666717884,-7.410044666717884,-7.826036460005868,-7.2657333736486205,-7.2657333736486205,-7.2657333736486205,-7.000111059852767,-6.9929199643060524,-6.9929199643060524,-6.9929199643060524,-7.282655850062463,-7.242719745638441,-7.242719745638441,-7.242719745638441
-7.669389787704014,-8.772950581384686,-8.772950581384686,-8.772950581384686,-7.271032169555012,-8.007791548325457,-8.007791548325457,-8.007791548325457,-7.752238634973719,-7.78022497593714,-7.78022497593714,-7.78022497593714,-7.450003745043809,-7.632459059848085,-7.632459059848085,-7.632459059848085,-7.226349485184805,-7.44258716860067,-7.44258716860067,-7.44258716860067,-6.676546319457698,-7.657333434945664,-7.657333434945664,-7.657333434945664,-7.218766547879778,-7.513480599791254,-7.053990878170868,-7.513480599791254,-7.608601229014789,-7.463789497183431,-7.463789497183431,-7.463789497183431,-6.818774219641181,-7.173322742209163,-7.173322742209163,-7.173322742209163
-8.187639405565625,-8.29403227743811,-8.29403227743811,-8.29403227743811,-6.776409529962946,-8.06545526642127,-8.06545526642127,-8.06545526642127,-7.84345684279746,-7.583441660696156,-7.583441660696156,-7.583441660696156,-7.706483058796534,-7.427251638298964,-7.427251638298964,-7.595344509536636,-7.086672971195119,-7.512942898589625,-7.512942898589625,-7.512942898589625,-6.757340619732154,-6.788598402045642,-6.788598402045642,-6.788598402045642,-7.615031569399018,-7.160287721512695,-7.160287721512695,-7.160287721512695,-6.881748177844026,-7.624031311674859,-7.624031311674859,-7.624031311674859,-7.57165661170411,-6.980279671781274,-6.980279671781274,-7.4027151213524025
-8.579111280989903,-8.555470545621745,-8.555470545621745,-8.555470545621745,-7.580040564552384,-8.732532998322723,-8.732532998322723,-8.732532998322723,-7.648171092050481,-7.36340678402061,-7.36340678402061,-7.36340678402061,-7.253588162178591,-7.2394447591063775,-7.2394447591063775,-7.2394447591063775,-6.334736791978323,-7.337966639542123,-7.337966639542123,-7.337966639542123,-7.8681873079701345,-7.182049133787437,-7.182049133787437,-7.327051458580233,-7.967771844384999,-6.942348001250731,-6.942348001250731,-7.1834623731467495,-7.270072468112684,-7.150078347055155,-7.150078347055155,-7.442764303307817,-7.088273813871563,-7.056636259531956,-7.056636259531956,-7.175789633648593
-9.985517070846676,-7.951777652226983,-7.951777652226983,-7.951777652226983,-7.7538214541881665,-7.7564786320782035,-7.7564786320782035,-7.7564786320782035,-7.698341826744428,-7.224863874298736,-7.224863874298736,-7.224863874298736,-8.000441444291413,-8.258792117801626,-8.258792117801626,-8.258792117801626,-6.978229072029214,-7.507503680633984,-7.507503680633984,-7.507503680633984,-6.7352968123784285,-7.170255378076514,-7.170255378076514,-7.170255378076514,-6.947695467729252,-7.304329254852512,-7.304329254852512,-7.509861689709677,-7.164831938582308,-6.554934126232062,-6.554934126232062,-6.554934126232062,-7.58854766215479,-7.707821273334542,-7.707821273334542,-7.707821273334542
-7.866764059054373,-8.273553801124043,-8.273553801124043,-8.273553801124043,-7.287894202627843,-8.118594224604502,-8.118594224604502,-8.118594224604502,-8.042946498418821,-7.693633308467049,-7.693633308467049,-7.693633308467049,-7.672948427296368,-7.409198158635018,-7.409198158635018,-7.409198158635018,-7.329188766142238,-7.33841375113281,-7.33841375113281,-7.386022425126038,-7.528020547378777,-7.4705131976017425,-7.4705131976017425,-7.4705131976017425,-7.681678958595285,-7.18196405237449,-7.18196405237449,-7.18196405237449,-7.380640860515208,-7.002720882265601,-7.002720882265601,-7.002720882265601,-7.482504066788021,-7.348798641391899,-7.348798641391899,-7.464320412672269
-9.673343875854854,-8.27983314197163,-8.27983314197163,-8.27983314197163,-8.142940264843727,-7.323519144779264,-7.323519144779264,-7.323519144779264,-7.323250565690992,-7.264939568860484,-7.264939568860484,-7.264939568860484,-6.474396303343109,-6.474396303343109,-6.474396303343109,-6.474396303343109,-7.377779924122287,-7.619093798461782,-7.619093798461782,-7.619093798461782,-6.939774176197346,-7.608624519528023,-7.608624519528023,-7.608624519528023,-7.004366777815997,-6.82254989133159,-6.82254989133159,-6.861015483674825,-7.107582934678725,-6.936091751041238,-6.936091751041238,-6.936091751041238,-7.349118533870828,-7.236073643218773,-7.236073643218773,-7.272519891743193
-9.728579449361606,-7.596734892077396,-7.596734892077396,-7.596734892077396,-8.12371913598613,-7.85664803701662,-7.85664803701662,-7.85664803701662,-8.156579996291832,-7.262936068749573,-7.262936068749573,-7.262936068749573,-7.075127851493433,-7.292176800310123,-7.292176800310123,-7.292176800310123,-7.03089003926073,-6.590738058944943,-6.590738058944943,-6.590738058944943,-7.1577657316881815,-7.135605271267562,-7.135605271267562,-7.135605271267562,-7.644734148791057,-7.417378755883422,-7.417378755883422,-7.417378755883422,-6.584082051838753,-6.5809198377869045,-6.5809198377869045,-6.962866043840403,-7.633072638732828,-7.644016404298922,-7.644016404298922,-7.644016404298922
-8.601615132658537,-8.042158298760345,-8.042158298760345,-8.042158298760345,-8.281017794467592,-8.23503337802542,-8.23503337802542,-8.23503337802542,-8.70203189526935,-8.09226054592019,-8.09226054592019,-8.09226054592019,-8.376310224076672,-7.712875948178898,-7.712875948178898,-7.712875948178898,-7.682253734901419,-7.857669452918445,-7.857669452918445,-7.857669452918445,-7.630257940647453,-7.642097109252386,-7.642097109252386,-7.642097109252386,-7.736808011645615,-7.245351007106222,-7.245351007106222,-7.245351007106222,-7.203643438403421,-7.430791357449257,-7.430791357449257,-7.430791357449257,-7.515058852715266,-7.902195052171528,-7.902195052171528,-8.321707520963733
-8.00491881067565,-7.58474693793203,-7.58474693793203,-7.58474693793203,-6.835058527736588,-9.169989797017603,-9.169989797017603,-9.169989797017603,-7.987635539899853,-7.128912369174248,-7.128912369174248,-7.128912369174248,-8.532589331438988,-7.9047176744225505,-7.9047176744225505,-7.9047176744225505,-7.244537381018871,-7.854632633562547,-7.854632633562547,-7.854632633562547,-8.363380536455875,-7.559619428697765,-7.559619428697765,-7.559619428697765,-7.936208111260299,-7.101552779756638,-7.101552779756638,-7.101552779756638,-7.044323590573548,-6.894124116896407,-6.894124116896407,-7.106612430645689,-7.511595852638674,-7.02731717877055,-7.02731717877055,-7.02731717877055
-9.454308468674029,-8.478360485983565,-8.478360485983565,-8.478360485983565,-7.949857045393031,-7.706746250685891,-7.706746250685891,-7.706746250685891,-7.6147382871259826,-7.718081119431657,-7.718081119431657,-7.718081119431657,-7.453558959962061,-7.5963152723492176,-7.5963152723492176,-7.5963152723492176,-6.900143108322312,-6.790834139069018,-6.790834139069018,-6.790834139069018,-7.122720122813901,-7.113700508987835,-7.113700508987835,-7.282543425690005,-6.982747931062846,-7.161977146026368,-6.872667881846155,-7.309720101432075,-7.574342417570071,-7.194827233740485,-7.194827233740485,-7.814476300926334,-7.466994351244812,-7.735934046616261,-7.735934046616261,-7.735934046616261
-7.564869796934223,-8.770676900425016,-8.770676900425016,-8.770676900425016,-7.089237664002148,-7.065929105814956,-7.065929105814956,-7.065929105814956,-7.430999848265776,-8.24808212295339,-8.24808212295339,-8.24808212295339,-7.099040556148872,-6.759124731291949,-6.759124731291949,-6.759124731291949,-7.675492404108699,-7.603794952486033,-7.603794952486033,-7.603794952486033,-6.839244173659511,-7.12626414619967,-7.12626414619967,-7.619054531934139,-7.681810637749514,-7.36442540728994,-7.36442540728994,-7.678880230887794,-6.956089848815706,-7.49338449667038,-7.49338449667038,-7.49338449667038,-7.607587312469201,-7.3599289601223,-7.3599289601223,-7.3599289601223
