Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.1.1,NGS.1.1,UNGS.1.1,NV.1.1,Sectioning.1.1.1,NGS.1.1.1,UNGS.1.1.1,NV.1.1.1,Sectioning.1.1.1.1,NGS.1.1.1.1,UNGS.1.1.1.1,NV.1.1.1.1,Sectioning.1.1.1.1.1,NGS.1.1.1.1.1,UNGS.1.1.1.1.1,NV.1.1.1.1.1,Sectioning.1.1.1.1.1.1,NGS.1.1.1.1.1.1,UNGS.1.1.1.1.1.1,NV.1.1.1.1.1.1,Sectioning.1.1.1.1.1.1.1,NGS.1.1.1.1.1.1.1,UNGS.1.1.1.1.1.1.1,NV.1.1.1.1.1.1.1,Sectioning,NGS,UNGS,NV
-8.602144607473832,-8.134909342628541,-8.134909342628541,-8.134909342628541,-7.0954325206632,-6.706225197032079,-6.706225197032079,-6.706225197032079,-7.247501608553167,-7.0418541626819255,-7.0418541626819255,-7.0418541626819255,-7.623397157280657,-7.027787719188324,-7.027787719188324,-7.027787719188324,-6.786824380923634,-6.6288334467936725,-6.6288334467936725,-6.6288334467936725,-6.851992385461455,-6.814429106577975,-6.814429106577975,-6.814429106577975,-6.87778922803809,-6.411829923103919,-6.411829923103919,-7.634839898516325,-6.708611616735383,-6.774977800068348,-6.774977800068348,-6.774977800068348,-7.640803540561351,-6.467000356268163,-6.467000356268163,-6.467000356268163
-6.977895894070478,-8.683246603485477,-8.683246603485477,-8.683246603485477,-7.205180003891701,-7.575849288034568,-7.575849288034568,-7.575849288034568,-7.260800151276378,-6.88543763103986,-6.88543763103986,-6.88543763103986,-6.693076438967328,-7.313204501769627,-7.313204501769627,-7.313204501769627,-7.366428770916148,-7.279256487072176,-7.279256487072176,-7.279256487072176,-6.613847292707874,-6.802099484021401,-6.802099484021401,-6.802099484021401,-6.742873369449391,-6.754057942504255,-6.754057942504255,-6.754057942504255,-6.816937483003595,-6.699901988164905,-6.699901988164905,-6.699901988164905,-6.512681415104742,-6.512681415104742,-6.512681415104742,-6.512681415104742
-8.173773458081538,-6.835117284631167,-6.835117284631167,-6.835117284631167,-7.133579624600153,-6.876202587210916,-6.876202587210916,-7.015549721808576,-6.97834745433133,-7.017422121684688,-7.017422121684688,-7.017422121684688,-7.241021933328188,-6.944564962936315,-6.944564962936315,-6.944564962936315,-7.200262774073817,-6.568835317325839,-6.568835317325839,-6.568835317325839,-6.291680650479724,-6.019233016424163,-6.019233016424163,-7.285796142586408,-6.523254408423677,-6.51836124267077,-6.51836124267077,-6.51836124267077,-7.739131185409449,-7.083534866591701,-7.083534866591701,-7.63997309312625,-6.810607498926934,-7.666644105995404,-6.8106074989269345,-7.752401166133195
-8.142188872587697,-8.136536271703715,-8.136536271703715,-8.136536271703715,-7.403702853938203,-6.899286084157128,-6.899286084157128,-6.899286084157128,-7.272440251384889,-7.515285183421097,-7.515285183421097,-7.515285183421097,-6.920490318896084,-6.141781836468082,-6.141781836468082,-6.141781836468082,-7.175934431904789,-6.808530109124321,-6.808530109124321,-6.808530109124321,-6.689344771419732,-6.533557496943841,-6.533557496943841,-6.533557496943841,-6.80820263598289,-6.857918929242645,-6.857918929242645,-7.483716883694257,-6.412077985548252,-6.951760195570381,-6.951760195570381,-6.951760195570381,-8.06645218995272,-6.997390091475616,-6.997390091475616,-7.784986817542937
-8.055154177976346,-8.095491558980783,-8.095491558980783,-8.095491558980783,-7.371354363441194,-8.011461705339864,-8.011461705339864,-8.011461705339864,-7.212189793936535,-7.118729753556979,-7.118729753556979,-7.118729753556979,-6.925048463089874,-7.006332476423058,-7.006332476423058,-7.006332476423058,-7.662593763888363,-7.594093968434775,-7.594093968434775,-7.594093968434775,-6.674669314748514,-6.850889275140166,-6.850889275140166,-6.850889275140166,-7.030596316905857,-6.973152186108012,-6.973152186108012,-6.973152186108012,-6.249659865372594,-6.277097019608723,-6.277097019608723,-6.277097019608723,-6.831345075961663,-6.584684272770133,-6.584684272770133,-6.584684272770133
-7.55683228881241,-6.862203499602383,-6.862203499602383,-6.862203499602383,-7.192188655224644,-6.573603896852564,-6.573603896852564,-6.573603896852564,-6.883519140465924,-6.709025305109781,-6.709025305109781,-6.709025305109781,-7.3032007615886,-7.021498690804336,-7.021498690804336,-7.021498690804336,-6.989729053585959,-6.931509946291184,-6.931509946291184,-6.931509946291184,-6.875666290244617,-6.9710205094621776,-6.9710205094621776,-6.9710205094621776,-6.29937589128194,-6.966447358846317,-6.966447358846317,-6.966447358846317,-6.589956282187274,-6.588797140469594,-6.588797140469594,-7.420373870050978,-7.808175774710392,-6.680562466488347,-6.680562466488347,-6.680562466488347
-7.53334426647487,-7.457213319203932,-7.457213319203932,-7.457213319203932,-6.7311313977561,-7.690182360914078,-7.690182360914078,-7.690182360914078,-7.4018338669947905,-7.36787857811036,-7.36787857811036,-7.36787857811036,-7.543537925351902,-6.99989651474244,-6.99989651474244,-6.99989651474244,-6.91610354827858,-6.641281583627339,-6.641281583627339,-6.641281583627339,-7.01912632429646,-6.823671905206006,-6.823671905206006,-6.823671905206006,-6.584469501553958,-7.5075334248849295,-6.351391850884356,-7.718827309302774,-7.548875350058482,-6.86578060905949,-6.86578060905949,-7.388334307459927,-6.642681929631966,-6.678450716441446,-6.678450716441446,-7.644132391525037
-7.844209981660686,-7.790304642871198,-7.790304642871198,-7.790304642871198,-7.319017036662865,-6.917931280481013,-6.917931280481013,-7.197260273142157,-7.717553918425718,-7.61618818462432,-7.61618818462432,-7.61618818462432,-6.727173110345891,-7.305856195262961,-7.305856195262961,-7.305856195262961,-6.822175186082071,-7.1103766474856,-7.1103766474856,-7.380880196373045,-6.467721097577198,-7.106843111403376,-7.106843111403376,-7.106843111403376,-6.840846264999323,-6.897013931304549,-6.897013931304549,-6.897013931304549,-6.806105657438184,-7.463442225332386,-7.463442225332386,-7.463442225332386,-7.402933226970901,-6.748563361863942,-6.748563361863942,-7.38501727003313
-7.866324769298599,-7.750042992574453,-7.750042992574453,-7.750042992574453,-6.979310546069771,-7.434124336359002,-7.434124336359002,-7.434124336359002,-7.733340636961002,-7.346630510580557,-7.346630510580557,-7.346630510580557,-7.289659145636581,-6.902687045154915,-6.902687045154915,-6.902687045154915,-7.064259375629396,-6.868815333035663,-6.868815333035663,-7.280520072258337,-6.832673223527934,-6.893993007940846,-6.893993007940846,-6.893993007940846,-6.400258225256312,-6.527765102084967,-6.527765102084967,-6.527765102084967,-6.884618437261744,-7.651034588546628,-7.651034588546628,-7.651034588546628,-6.821203106811582,-6.586236797171702,-6.586236797171702,-6.586236797171702
-7.568484208324468,-7.156021038242816,-7.156021038242816,-7.156021038242816,-6.801515632552588,-8.009717062069496,-8.009717062069496,-8.009717062069496,-6.996367875969204,-6.818173329722169,-6.818173329722169,-7.302419091405369,-7.006499965139355,-7.032338294578813,-7.032338294578813,-7.032338294578813,-7.472165176997855,-6.948827051216295,-6.948827051216295,-6.948827051216295,-6.789352497878237,-6.902966689346774,-6.902966689346774,-6.902966689346774,-7.375091570049951,-6.904379640454274,-6.904379640454274,-6.904379640454274,-6.794155077310497,-7.135867873701006,-7.135867873701006,-7.135867873701006,-7.251812425029385,-7.295644047270833,-7.295644047270833,-7.352699748549664
