Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.191057283,1.0,Sectioning,10,300,0
-6.515353735,0.96,Sectioning,20,300,0
-6.68791237,0.88,Sectioning,30,300,0
-6.107735547,1.0,Sectioning,40,300,0
-6.145805139,1.0,Sectioning,50,300,0
-6.347547712,0.99,Sectioning,60,300,0
-6.500992824,0.94,Sectioning,70,300,0
-6.765530618,0.79,Sectioning,80,300,0
-7.225498613,0.44,Sectioning,90,300,0
-5.56717,1.0,Sectioning,10,200,0
-5.91381,1.0,Sectioning,20,200,0
-6.09416,1.0,Sectioning,30,200,0
-6.12382,0.99,Sectioning,40,200,0
-6.32555,0.97,Sectioning,50,200,0
-6.53012,0.89,Sectioning,60,200,0
-6.70696,0.85,Sectioning,70,200,0
-7.04714,0.59,Sectioning,80,200,0
-7.41026,0.29,Sectioning,90,200,0
-5.83599,1.0,Sectioning,10,100,0
-6.14038,0.94,Sectioning,20,100,0
-6.30186,0.91,Sectioning,30,100,0
-6.4456,0.86,Sectioning,40,100,0
-6.67302,0.81,Sectioning,50,100,0
-6.882,0.67,Sectioning,60,100,0
-7.2147,0.45,Sectioning,70,100,0
-7.53388,0.26,Sectioning,80,100,0
-7.76777,0.1,Sectioning,90,100,0
-6.24633,0.87,Sectioning,10,50,0
-6.45905,0.8,Sectioning,20,50,0
-6.76115,0.65,Sectioning,30,50,0
-6.6904,0.66,Sectioning,40,50,0
-7.24341,0.44,Sectioning,50,50,0
-7.42557,0.33,Sectioning,60,50,0
-7.90121,0.11,Sectioning,70,50,0
-7.68494,0.17,Sectioning,80,50,0
-5.892327313640342,0.83,NGS,10,20,0
-1.2106737985980445,1.0,UNGS,10,20,0
-5.892327313640342,0.83,NV,10,20,0
-5.892327313640342,0.83,UG,10,20,0
-6.211846953660825,0.82,NGS,20,20,0
-1.188227961542209,1.0,UNGS,20,20,0
-6.211846953660825,0.82,NV,20,20,0
-6.211846953660825,0.82,UG,20,20,0
-6.432997606526646,0.8,NGS,30,20,0
-1.4629833190374373,0.96,UNGS,30,20,0
-6.432997606526646,0.8,NV,30,20,0
-6.432997606526646,0.8,UG,30,20,0
-6.929973916203713,0.59,NGS,40,20,0
-1.921110292983628,0.9,UNGS,40,20,0
-6.929973916203713,0.59,NV,40,20,0
-6.929973916203713,0.59,UG,40,20,0
-6.971479215194774,0.51,NGS,50,20,0
-2.7500482756944,0.78,UNGS,50,20,0
-6.971479215194774,0.51,NV,50,20,0
-6.971479215194774,0.51,UG,50,20,0
-7.167248527966617,0.5,NGS,60,20,0
-2.6744518176567595,0.79,UNGS,60,20,0
-7.167248527966617,0.5,NV,60,20,0
-7.167248527966617,0.5,UG,60,20,0
-7.191596811601238,0.45,NGS,70,20,0
-3.9046200029789446,0.62,UNGS,70,20,0
-7.191596811601238,0.45,NV,70,20,0
-7.191596811601238,0.45,UG,70,20,0
-7.622809005502598,0.31,NGS,80,20,0
-4.983099076964685,0.48,UNGS,80,20,0
-7.622809005502598,0.31,NV,80,20,0
-7.622809005502598,0.31,UG,80,20,0
-7.820632537486756,0.19,NGS,90,20,0
-5.691437661168798,0.41,UNGS,90,20,0
-7.820632537486756,0.19,NV,90,20,0
-7.820632537486756,0.19,UG,90,20,0
-5.791034063362443,0.98,NGS,10,40,0
-1.1927413278900445,1.0,UNGS,10,40,0
-6.56345838653764,0.82,NV,10,40,0
-5.791034063362443,0.98,UG,10,40,0
-5.984016345504473,0.93,NGS,20,40,0
-1.3302135819010863,0.99,UNGS,20,40,0
-6.5567302567735,0.81,NV,20,40,0
-5.984016345504473,0.93,UG,20,40,0
-5.946491758371609,0.86,NGS,30,40,0
-1.4372963279251092,0.97,UNGS,30,40,0
-6.736882952611285,0.71,NV,30,40,0
-5.946491758371609,0.86,UG,30,40,0
-6.292945310210075,0.82,NGS,40,40,0
-1.5654537989090491,0.94,UNGS,40,40,0
-6.931386424769701,0.62,NV,40,40,0
-6.292945310210075,0.82,UG,40,40,0
-6.576076791074303,0.7,NGS,50,40,0
-1.613819197175382,0.94,UNGS,50,40,0
