Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-8.583293450328725,0.0,Sectioning,10,100,0
-8.552404665386085,0.0,NGS,10,100,0
-8.552404665386085,0.0,UNGS,10,100,0
-8.552404665386085,0.0,NV,10,100,0
-8.552404665386087,0.0,UG,10,100,0
-8.23292718411911,0.04,Sectioning,20,100,0
-8.19999941301968,0.0,NGS,20,100,0
-8.207125498621986,0.0,UNGS,20,100,0
-8.207125498621986,0.0,NV,20,100,0
-8.207125498621986,0.0,UG,20,100,0
-8.003444150324402,0.04,Sectioning,30,100,0
-7.915052179481592,0.02,NGS,30,100,0
-7.915052179481592,0.02,UNGS,30,100,0
-7.915052179481592,0.02,NV,30,100,0
-7.915052179481592,0.02,UG,30,100,0
-7.918705923865922,0.05,Sectioning,40,100,0
-7.8551771748921,0.03,NGS,40,100,0
-7.8551771748921,0.03,UNGS,40,100,0
-7.870028012930142,0.03,NV,40,100,0
-7.8551771748921,0.03,UG,40,100,0
-7.772213972945212,0.07,Sectioning,50,100,0
-7.766762299089477,0.09,NGS,50,100,0
-7.766762299089477,0.09,UNGS,50,100,0
-7.780635912480135,0.07,NV,50,100,0
-7.775148949996191,0.08,UG,50,100,0
-7.7576200821398995,0.05,Sectioning,60,100,0
-7.635606866801424,0.12,NGS,60,100,0
-7.635606866801424,0.12,UNGS,60,100,0
-7.700395701667105,0.08,NV,60,100,0
-7.635606866801424,0.12,UG,60,100,0
-7.683275657780818,0.08,Sectioning,70,100,0
-7.582498307080414,0.16,NGS,70,100,0
-7.584768306253732,0.16,UNGS,70,100,0
-7.626069563620753,0.15,NV,70,100,0
-7.584768306253732,0.16,UG,70,100,0
-7.828953604011126,0.04,Sectioning,80,100,0
-7.757927772051446,0.11,NGS,80,100,0
-7.757927772051446,0.11,UNGS,80,100,0
-7.839620987985477,0.07,NV,80,100,0
-7.757927772051448,0.11,UG,80,100,0
-7.92366826247372,0.03,Sectioning,90,100,0
-7.837065647940696,0.05,NGS,90,100,0
-7.837065647940696,0.05,UNGS,90,100,0
-7.837065647940696,0.05,NV,90,100,0
-7.837065647940694,0.05,UG,90,100,0
-8.394031595647101,0.0,Sectioning,10,150,0
-8.299305310282989,0.01,NGS,10,150,0
-8.299305310282989,0.01,UNGS,10,150,0
-8.299305310282989,0.01,NV,10,150,0
-8.299305310282989,0.01,UG,10,150,0
-8.016097297680686,0.03,Sectioning,20,150,0
-7.954813232244097,0.03,NGS,20,150,0
-7.954813232244097,0.03,UNGS,20,150,0
-7.954813232244097,0.03,NV,20,150,0
-7.954813232244098,0.03,UG,20,150,0
