Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.191057283,1,Sectioning,10,300,0
-6.409840084,1,NGS,10,300,0
-6.695552482,0.88,UNGS,10,300,0
-6.839379553,0.79,NV,10,300,0
-6.515353735,0.96,Sectioning,20,300,0
-6.502421693,0.98,NGS,20,300,0
-6.803318401,0.87,UNGS,20,300,0
-6.925059729,0.79,NV,20,300,0
-6.68791237,0.88,Sectioning,30,300,0
-6.52678824,0.97,NGS,30,300,0
-6.881837768,0.86,UNGS,30,300,0
-7.008844093,0.73,NV,30,300,0
-6.107735547,1,Sectioning,40,300,0
-6.524532472,0.99,NGS,40,300,0
-6.885455317,0.85,UNGS,40,300,0
-7.119536862,0.63,NV,40,300,0
-6.145805139,1,Sectioning,50,300,0
-6.607091238,0.97,NGS,50,300,0
-6.996703246,0.82,UNGS,50,300,0
-7.118658641,0.67,NV,50,300,0
-6.347547712,0.99,Sectioning,60,300,0
-6.535577696,0.97,NGS,60,300,0
-6.963714168,0.75,UNGS,60,300,0
-7.220347112,0.52,NV,60,300,0
-6.500992824,0.94,Sectioning,70,300,0
-6.502818553,0.94,NGS,70,300,0
-7.020503019,0.68,UNGS,70,300,0
-7.207446178,0.51,NV,70,300,0
-6.765530618,0.79,Sectioning,80,300,0
-6.674059177,0.85,NGS,80,300,0
-6.988532341,0.68,UNGS,80,300,0
-7.254892547,0.46,NV,80,300,0
-7.225498613,0.44,Sectioning,90,300,0
-6.467340723,0.82,NGS,90,300,0
-6.986973818,0.55,UNGS,90,300,0
-7.126202729,0.54,NV,90,300,0
-5.56717,1.00,Sectioning,10,200,0
-6.14714,1.00,NGS,10,200,0
-6.51707,0.90,UNGS,10,200,0
-6.76915,0.79,NV,10,200,0
-5.91381,1.00,Sectioning,20,200,0
-6.45147,0.97,NGS,20,200,0
-6.74865,0.79,UNGS,20,200,0
-7.01235,0.64,NV,20,200,0
-6.09416,1.00,Sectioning,30,200,0
-6.48213,0.93,NGS,30,200,0
-6.81843,0.84,UNGS,30,200,0
-7.02397,0.67,NV,30,200,0
-6.12382,0.99,Sectioning,40,200,0
-6.42015,0.97,NGS,40,200,0
-6.90185,0.81,UNGS,40,200,0
-7.12351,0.56,NV,40,200,0
-6.32555,0.97,Sectioning,50,200,0
-6.60188,0.93,NGS,50,200,0
-6.95088,0.71,UNGS,50,200,0
-7.24549,0.46,NV,50,200,0
-6.53012,0.89,Sectioning,60,200,0
-6.53546,0.95,NGS,60,200,0
-7.00626,0.65,UNGS,60,200,0
-7.20461,0.49,NV,60,200,0
-6.70696,0.85,Sectioning,70,200,0
-6.59211,0.87,NGS,70,200,0
-6.91209,0.74,UNGS,70,200,0
-7.16637,0.53,NV,70,200,0
-7.04714,0.59,Sectioning,80,200,0
-6.34456,0.94,NGS,80,200,0
-6.90822,0.70,UNGS,80,200,0
-7.34659,0.36,NV,80,200,0
-7.41026,0.29,Sectioning,90,200,0
-6.90019,0.59,NGS,90,200,0
-6.90019,0.59,UNGS,90,200,0
-7.41567,0.27,NV,90,200,0
-5.83599,1.00,Sectioning,10,100,0
-6.00654,0.94,NGS,10,100,0
-6.37232,0.91,UNGS,10,100,0
-6.54986,0.85,NV,10,100,0
-6.14038,0.94,Sectioning,20,100,0
-5.99575,0.98,NGS,20,100,0
-6.53075,0.88,UNGS,20,100,0
-6.87584,0.66,NV,20,100,0
-6.30186,0.91,Sectioning,30,100,0
-6.20410,0.97,NGS,30,100,0
-6.51056,0.90,UNGS,30,100,0
-6.79850,0.71,NV,30,100,0
-6.44560,0.86,Sectioning,40,100,0
-6.45329,0.91,NGS,40,100,0
-6.79149,0.78,UNGS,40,100,0
-7.03648,0.59,NV,40,100,0
-6.67302,0.81,Sectioning,50,100,0
-6.04447,0.93,NGS,50,100,0
-6.65285,0.74,UNGS,50,100,0
-6.98296,0.61,NV,50,100,0
-6.88200,0.67,Sectioning,60,100,0
-6.26410,0.91,NGS,60,100,0
-6.77733,0.70,UNGS,60,100,0
-7.27047,0.45,NV,60,100,0
-7.21470,0.45,Sectioning,70,100,0
-6.37230,0.82,NGS,70,100,0
-6.83902,0.59,UNGS,70,100,0
-7.18223,0.50,NV,70,100,0
-7.53388,0.26,Sectioning,80,100,0
-6.69883,0.70,NGS,80,100,0
-6.69883,0.70,UNGS,80,100,0
-7.33261,0.37,NV,80,100,0
-7.76777,0.10,Sectioning,90,100,0
-7.17067,0.42,NGS,90,100,0
-7.17067,0.42,UNGS,90,100,0
-7.17067,0.42,NV,90,100,0
-6.24633,0.87,Sectioning,10,50,0
-5.58974,0.98,NGS,10,50,0
-6.15006,0.92,UNGS,10,50,0
-6.50747,0.82,NV,10,50,0
-6.45905,0.80,Sectioning,20,50,0
-5.83512,0.96,NGS,20,50,0
-6.44720,0.81,UNGS,20,50,0
-6.82692,0.61,NV,20,50,0
-6.76115,0.65,Sectioning,30,50,0
-6.05342,0.88,NGS,30,50,0
-6.63561,0.71,UNGS,30,50,0
-6.66548,0.71,NV,30,50,0
-6.69040,0.66,Sectioning,40,50,0
-6.00845,0.86,NGS,40,50,0
-6.46688,0.73,UNGS,40,50,0
-6.73565,0.69,NV,40,50,0
-7.24341,0.44,Sectioning,50,50,0
-6.25739,0.85,NGS,50,50,0
-6.26956,0.85,UNGS,50,50,0
-7.04545,0.54,NV,50,50,0
-7.42557,0.33,Sectioning,60,50,0
-6.42384,0.77,NGS,60,50,0
-6.42384,0.77,UNGS,60,50,0
-7.18337,0.47,NV,60,50,0
-7.90121,0.11,Sectioning,70,50,0
-6.80129,0.67,NGS,70,50,0
-6.80129,0.67,UNGS,70,50,0
-6.80129,0.67,NV,70,50,0
-7.68494,0.17,Sectioning,80,50,0
-7.01785,0.49,NGS,80,50,0
-7.01785,0.49,UNGS,80,50,0
-7.01785,0.49,NV,80,50,0
-7.62904,0.23,NGS,90,50,0
-7.62904,0.23,UNGS,90,50,0
-7.62904,0.23,NV,90,50,0
-6.76590,0.93,CV,100,200,10
-6.42617,0.99,BS,100,200,10
-6.13794,0.99,CV,100,100,10
-6.12237,0.98,BS,100,100,10
-6.46379,0.79,CV,100,50,10
-5.74952,0.96,BS,100,50,10
-6.57019,0.96,CV,100,200,5
-6.36903,1.00,BS,100,200,5
-6.41796,0.90,CV,100,100,5
-6.10996,0.98,BS,100,100,5
-5.74752,0.97,CV,100,50,5
-5.67295,0.96,BS,100,50,5
-6.54150,0.97,CV,100,200,3
-6.51569,1.00,BS,100,200,3
-6.29676,0.97,CV,100,100,3
-6.31175,0.89,BS,100,100,3
-5.78954,0.97,CV,100,50,3
-5.99486,0.95,BS,100,50,3
