Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-6.856098768548351,-6.609391702696414,-6.609391702696414,-7.336818103973005,-6.603715962794438,-6.433290531830309,-6.804178844674352,-6.804178844674352,-7.210152853457568,-6.571316549747618,-7.18964723683704,-7.18964723683704,-6.13376673057016,-6.668194479275381,-6.668194479275381,-7.148706750137459,-5.100876863874804,-6.268957473510167,-6.268957473510167,-6.661209443414382,-5.9120575187284405,-6.877117092840205,-7.573893492854562,-7.703496816890286,-6.635218880945519,-6.107415784725692,-6.721031610227181,-7.156876706627741,-7.659497075568695,-6.519373349869502,-6.960408506989944,-6.960408506989944,-7.225524148436671,-7.022128668908956,-7.022128668908956,-7.022128668908956
-6.143031074031419,-6.666923220004772,-6.666923220004772,-7.380434495503506,-7.152470836981324,-6.298137000936233,-6.999878866129031,-6.999878866129031,-6.698351783513154,-6.270210705038752,-6.9246561839062615,-6.9246561839062615,-5.858784847428365,-5.946260938110054,-5.946260938110054,-6.488387274348273,-5.9701266049705,-6.741845378003376,-7.080571599061833,-7.340255244308148,-6.021818464465941,-6.857183179549596,-7.127402059631427,-7.290783078720636,-6.711279780237795,-6.015166806557319,-6.553425117698138,-6.553425117698138,-6.883946125463543,-7.462151681454925,-7.590218239813296,-7.590218239813296,-7.366492651125368,-7.161538576072706,-7.161538576072706,-7.161538576072706
-6.319392589255379,-6.841293130946037,-6.841293130946037,-6.841293130946037,-5.94477216226945,-6.344439053621786,-6.957054171727966,-6.957054171727966,-6.573434819885669,-5.867612325537577,-6.651753849826834,-6.651753849826834,-6.081327208881408,-6.596644973259835,-7.295531148879575,-7.295531148879575,-6.173653368177623,-7.152992707398964,-7.152992707398964,-7.152992707398964,-6.728719251021148,-6.250413220480521,-6.766255724115732,-7.48621440961035,-5.127298252488415,-6.548788832909748,-6.931904901692913,-7.408275181452575,-6.473472642790525,-6.531761415322784,-6.950098914338103,-6.950098914338103,-7.3612203793636946,-6.006376229098925,-7.718027678485251,-7.718027678485251
-4.987891170603209,-5.687538428607144,-6.777146834033114,-6.777146834033114,-6.380835170257581,-6.369840661620827,-6.369840661620827,-6.369840661620827,-6.380813187383534,-7.085671960836726,-7.085671960836726,-7.085671960836726,-7.131298821569512,-6.1746633766964925,-6.785371929223299,-6.785371929223299,-6.332119026125367,-6.42987677822078,-6.81592103763752,-6.81592103763752,-6.237075882137042,-7.365264563642762,-7.488800227527967,-7.569393240850325,-7.201810586818752,-6.61207581650485,-7.56385069438407,-7.597102375046394,-5.874317293920473,-6.283851400055557,-6.6693677918537775,-7.47168771007589,-6.669136029154198,-4.158073735147855,-6.300129053745856,-6.300129053745856
-5.531647870050061,-6.496122185222584,-6.496122185222584,-6.496122185222584,-5.83237995026572,-6.320348158917106,-6.320348158917106,-6.320348158917106,-7.101869843227559,-5.962234688677346,-7.106494937613128,-7.106494937613128,-6.00715942066147,-6.4255656124017,-6.904040211106262,-6.904040211106262,-6.349982389018463,-6.2285212966281485,-6.985578418203647,-7.194534699235695,-6.898038566424952,-6.381707925771307,-6.787101002937018,-7.102492570736281,-6.656132402175105,-6.150260926276376,-7.508015955643742,-7.508015955643742,-7.087931840461131,-7.086458131923601,-7.278935434836548,-7.608762136840752,-6.5939491852100875,-5.988364202933618,-7.049175129385286,-7.049175129385286
-6.732667222547072,-6.735885903460642,-6.735885903460642,-6.735885903460642,-6.442931383077951,-6.674274483930104,-6.674274483930104,-6.674274483930104,-6.781945012845362,-6.0162547621180265,-6.796174269499247,-6.796174269499247,-5.380033228288205,-6.554145683574085,-7.217176897674975,-7.217176897674975,-5.460311395777387,-6.872012367446494,-6.872012367446494,-7.207781974855418,-5.96387242932459,-6.814182706226939,-7.145337353569017,-7.145337353569017,-6.488504854350537,-6.75762672214651,-7.527685203699253,-7.644892184005597,-6.346036949875748,-5.844290777017174,-7.105426315590033,-7.105426315590033,-7.509032909625886,-7.334236955076571,-7.399349386620584,-7.399349386620584
-6.680404275810993,-6.50628150609151,-6.50628150609151,-6.50628150609151,-6.87962679399507,-6.128629870560728,-6.715265459375397,-6.715265459375397,-6.780192222496392,-7.156205697050787,-7.156205697050787,-7.4989483020931615,-6.024141973069963,-6.95397582007778,-7.342875520091931,-7.342875520091931,-6.388276546447095,-6.643171590286007,-7.498688226995322,-7.667374386505208,-6.451266355904012,-6.530932794510386,-7.551921983806165,-7.639418338522205,-6.504842517535263,-6.828875333352182,-6.828875333352182,-7.448404730373332,-6.794119594434732,-7.252624830300615,-7.5011256946956735,-7.5875251126461905,-7.496801683974086,-6.671711361020945,-7.1145626502977075,-7.1145626502977075
-5.6087668093915335,-6.502757859717523,-6.502757859717523,-6.502757859717523,-6.64772313010122,-6.402778919808786,-6.402778919808786,-7.00344402139843,-6.913035356128341,-6.742175633508867,-7.425622408854908,-7.425622408854908,-5.862023719007484,-6.313120514644812,-7.325596562448993,-7.358086223106527,-6.636665179033999,-6.473116309114153,-6.473116309114153,-6.8904256724375,-6.16471942123864,-6.653692978111025,-7.067302375584459,-7.57763229687981,-6.321216574709094,-6.533674922062644,-6.533674922062644,-6.533674922062644,-6.910612641315347,-6.548819500968151,-7.275877574773184,-7.275877574773184,-7.36209017750878,-7.118102772883237,-7.575857523494676,-7.575857523494676
-5.705596732809284,-6.62406591391974,-6.62406591391974,-6.62406591391974,-6.773805988362577,-6.77558431901967,-7.43202464712671,-7.43202464712671,-6.140175343469198,-6.343206243738313,-7.050536017660059,-7.050536017660059,-6.031540162112446,-5.9533836801619975,-7.0459707035258194,-7.330122051717186,-5.903814424862598,-6.669431047023375,-7.094936063738152,-7.094936063738152,-6.21226479198698,-6.60162027639755,-6.893792592687042,-6.893792592687042,-5.702192605394176,-6.219551678364452,-6.56519699945858,-7.094401223694092,-7.054919013610956,-7.295206967667621,-7.295206967667621,-7.798141381892405,-7.66437685511346,-7.035080889771745,-7.579330348004788,-7.579330348004788
-5.792241757063353,-6.45499868938333,-6.45499868938333,-6.45499868938333,-6.221318596824395,-6.576177764507514,-6.576177764507514,-6.576177764507514,-6.859920864804876,-6.26892267320874,-6.26892267320874,-6.26892267320874,-5.881079980736761,-6.4419832085104405,-6.4419832085104405,-6.4419832085104405,-6.168754701553305,-6.743364437697583,-7.141099415961275,-7.141099415961275,-6.82515737319795,-7.183221711251068,-7.573153420530517,-7.573153420530517,-6.674386189163877,-7.134994985160869,-7.735576651283716,-7.735576651283716,-6.737500087028518,-6.923083786256667,-6.923083786256667,-7.558272588710858,-7.704812152441993,-6.530015904466716,-7.559396077321759,-7.559396077321759
-5.308722471950506,-6.595270791389358,-6.595270791389358,-6.595270791389358,-6.669217070552643,-6.533579150721305,-6.533579150721305,-7.200287506138446,-6.418719417662801,-6.529517739163385,-6.529517739163385,-6.529517739163385,-5.4189129870064665,-6.61833640034933,-7.050384676787788,-7.346921904797263,-6.626499229882951,-6.598166897230858,-7.020230755124007,-7.32780080874604,-6.081596541727109,-6.908698897509478,-6.908698897509478,-6.908698897509478,-5.986420870892551,-6.492818638374258,-6.870252080538556,-7.165949324989015,-7.061954695864868,-6.793886922502593,-6.793886922502593,-6.793886922502593,-7.615781594155762,-6.153485534612029,-6.153485534612029,-6.646526232058616
-6.664130441275622,-6.531070737762286,-6.531070737762286,-6.531070737762286,-7.119372731175275,-6.365672903472878,-6.365672903472878,-6.89643090006988,-6.75939882725632,-6.364272058109201,-6.904640169656276,-7.247587723318821,-6.201329911868808,-6.535804262286101,-7.51079233683665,-7.637082185718657,-6.186067519527849,-6.198612919978509,-6.198612919978509,-6.850280867333865,-5.984336000603047,-7.284349867484827,-7.577185575302428,-7.634566521965402,-5.858991555489822,-5.948470782360385,-6.823560013065261,-7.068744513197881,-6.780472457047377,-7.36975906352108,-7.36975906352108,-7.497611589535692,-7.517833392140398,-7.025207313756098,-7.025207313756098,-7.225339152599419
-6.135638769339592,-6.825569746730282,-7.117538372087343,-7.219948138128905,-6.558998174812722,-6.1495993142872285,-6.837143734638082,-6.837143734638082,-6.485610407363486,-6.712361692871449,-6.712361692871449,-7.36410903619868,-6.750215096991741,-6.797059927338711,-6.797059927338711,-7.309367786868919,-6.366593005095229,-6.467420581223892,-6.837325379554981,-6.837325379554981,-6.818237931539256,-6.800657578750655,-7.232434815470056,-7.232434815470056,-5.210240432181976,-5.918175511213447,-6.85477575299728,-6.85477575299728,-7.729057780454164,-6.680021460349181,-7.039655170527085,-7.6853400215996786,-7.567027839212493,-5.930985999468009,-7.610405483842378,-7.610405483842378
-6.143189897651021,-6.985575279074737,-7.296920167688089,-7.447715362282673,-7.071943916406918,-6.338819979760652,-6.338819979760652,-7.152811308383486,-7.35259036350953,-6.54832717760535,-6.54832717760535,-6.54832717760535,-5.359067442893081,-6.482372198376542,-6.977742137384474,-6.977742137384474,-5.913555832706656,-6.382204649351712,-7.552335617829854,-7.552335617829854,-6.564439823999113,-6.651079798518772,-7.521810356743106,-7.521810356743106,-6.417448475724288,-6.015521680673212,-6.573492089101855,-6.939474111024239,-6.096539413056263,-6.682549208490606,-6.682549208490606,-7.471494908641249,-7.695058606782613,-7.766418979356143,-7.829310504983179,-7.829310504983179
-6.400976032274103,-6.441279765546617,-6.441279765546617,-6.441279765546617,-6.831473989932256,-6.606673696699422,-6.606673696699422,-6.606673696699422,-6.888092507978559,-6.658230363932543,-7.128575947607927,-7.128575947607927,-6.292426383435468,-6.662518587936868,-7.052941329335346,-7.052941329335346,-6.597354675329589,-6.576987798755196,-6.978702488643886,-6.978702488643886,-5.867291406891358,-6.4364802703965935,-6.4364802703965935,-6.4364802703965935,-6.565991665223986,-6.538303396167256,-6.879030907320143,-7.112794665976864,-6.817392896715001,-7.400179706503984,-7.634441653709272,-7.634441653709272,-7.497410470134126,-6.088925655960648,-6.088925655960648,-6.088925655960648
-6.883277310405878,-6.448350249723527,-6.448350249723527,-6.448350249723527,-6.2606859368997645,-6.652753585215532,-6.652753585215532,-6.652753585215532,-7.011219468764263,-6.264888684706705,-6.828840729931008,-7.257595923202966,-6.014770717011578,-6.608752923265632,-7.018823830581415,-7.018823830581415,-6.480419400004319,-6.833248729620991,-6.833248729620991,-6.833248729620991,-6.795097597479998,-6.681222405115845,-6.681222405115845,-7.01437700752558,-6.373150703582228,-5.869513106180429,-7.279470659342975,-7.607781310194587,-6.818351056525666,-5.931060210392252,-7.207679879540093,-7.811012670635884,-6.573553958897474,-6.16062114945645,-6.16062114945645,-6.646566138306087
-6.643829893538049,-6.3221514902115485,-6.3221514902115485,-6.3221514902115485,-7.057577020786862,-6.9285738383767885,-6.9285738383767885,-7.330757527315572,-5.98124269943037,-6.855925469066026,-6.855925469066026,-7.162036994674086,-6.265030110270452,-6.436716895477962,-7.047339151812504,-7.047339151812504,-6.304951224718431,-6.486228474125513,-6.486228474125513,-6.486228474125513,-5.82845225199801,-5.784511764328384,-6.443808363769376,-6.937322020293536,-6.968787068340292,-6.402085183640335,-6.796703932159704,-7.222749595781363,-5.88865171386792,-5.932522737033379,-6.547139748575678,-6.547139748575678,-7.564705250255265,-4.167629989592125,-7.404555157788428,-7.404555157788428
-6.068034538673672,-6.107586168966138,-7.1655721183527685,-7.1655721183527685,-6.685699678642051,-6.80750997258307,-6.80750997258307,-6.80750997258307,-6.152813335402675,-6.705544321613462,-7.170714744941634,-7.170714744941634,-5.286031494495994,-6.568466517490048,-6.978640895193559,-6.978640895193559,-6.076400205322828,-6.754208509506761,-7.031395556784048,-7.4108536103212925,-7.145412971318186,-6.695173018029449,-6.695173018029449,-7.043217187802523,-6.414516754306341,-6.361956375898959,-6.737212591803218,-6.737212591803218,-6.73546837315774,-6.654578508734266,-7.325021654220016,-7.587653143459661,-6.3784852819781115,-5.969885941074701,-5.969885941074701,-6.437817089514568
-5.805994046964988,-5.85398621557785,-5.85398621557785,-7.072011881581832,-6.91782765790342,-7.076561812671395,-7.614944541639597,-7.74280301480019,-6.427955881156676,-6.425766479134589,-6.425766479134589,-6.425766479134589,-5.473358951554518,-6.865920714318815,-7.356434499586222,-7.356434499586222,-6.543831237315647,-6.687329066220758,-7.019477873434772,-7.019477873434772,-6.504589712546403,-6.503858928711754,-6.503858928711754,-6.92782709226621,-6.090797190840426,-6.554969029213559,-7.273416826894918,-7.273416826894918,-6.032389024802773,-6.124858647310213,-6.124858647310213,-6.643629901063321,-7.669350867314034,-6.087844813567422,-6.087844813567422,-6.585552910487678
-5.987656960089387,-6.286252560510839,-6.286252560510839,-6.286252560510839,-6.954006591126055,-6.533985488097907,-6.533985488097907,-6.533985488097907,-7.386517301449275,-6.682788935410096,-7.29151414640611,-7.29151414640611,-6.394508776855667,-6.011439690245839,-6.602312404051409,-7.041078408139435,-6.74861339655621,-7.063910547102848,-7.612966393691345,-7.635212000323642,-6.00187707268107,-6.532683150034911,-6.532683150034911,-6.532683150034911,-6.479079885252078,-6.0345932575477095,-7.296841674503606,-7.296841674503606,-6.651032465066939,-6.745553639291021,-7.158862570633609,-7.456010820842702,-7.590284208819009,-7.135305160467814,-7.406053281743304,-7.406053281743304
-6.885306149960777,-6.532635877060021,-7.206073402258228,-7.206073402258228,-6.16513426152177,-6.493322677373364,-6.87824276334436,-6.87824276334436,-6.763079793623003,-6.452410771382824,-6.9034543809419056,-7.148797547012306,-6.130019697924009,-6.103125755519407,-6.727810813240882,-6.727810813240882,-6.0273674519013385,-6.963290700633512,-7.289489859028283,-7.499512061076166,-6.791702575067156,-6.01489792316349,-6.91114460079818,-6.91114460079818,-6.049376430633219,-6.855492190195252,-7.447483329904294,-7.602609607175449,-7.087677108575727,-6.630994785769093,-7.038489172377442,-7.291932146826488,-6.448719839095712,-6.364313730698539,-7.522926566968115,-7.522926566968115
-6.691016266166068,-6.957884079551385,-6.957884079551385,-6.957884079551385,-6.502837119486108,-5.940315241970655,-6.566023107556766,-6.566023107556766,-7.227776113400827,-6.880168928980748,-6.880168928980748,-6.880168928980748,-6.035441523880322,-6.38749861424641,-7.400504949097829,-7.400504949097829,-7.041376001150313,-6.228888872833446,-6.814492621282467,-6.814492621282467,-6.008905414701333,-6.5223519661932166,-7.143130587162565,-7.34272591423765,-7.408102323385039,-6.205636159331516,-7.248296537034453,-7.248296537034453,-6.683224627623852,-6.664850262851763,-7.115281241595627,-7.115281241595627,-7.178541633419338,-5.926783972883529,-7.1488084348626035,-7.1488084348626035
