Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning,NGS,UNGS,NV
-5.578740113,-5.064856998,-5.064856998,-5.064856998,-6.071245117,-5.05850612,-6.861244266,-6.861244266,-6.273093013,-5.350833092,-6.41674688,-6.41674688,-6.704895615,-4.912079895,-6.995056843,-6.995056843,-7.93665122,-5.452965474,-5.452965474,-6.480447425,-5.552902038,-6.315587712,-6.315587712,-6.993786966,-6.705665027,-5.596786725,-5.596786725,-5.596786725,-8.214562066,-8.214562066,-8.214562066,-8.214562066,0,-7.694672296,-7.694672296,-7.694672296
-6.57675385,-6.904412453,-6.904412453,-6.904412453,-6.216316838,-6.108137087,-6.108137087,-6.108137087,-7.255254229,-6.962501208,-6.962501208,-6.962501208,-6.679493848,-4.564981227,-5.966775593,-5.966775593,-7.355176769,-6.991166503,-6.991166503,-6.991166503,-7.613000948,-8.335573868,-8.335573868,-8.335573868,-8.231030507,-6.873848876,-6.873848876,-6.873848876,-8.031118755,-6.544184161,-6.544184161,-6.544184161,0,-6.785038572,-6.785038572,-6.785038572
-6.892012046,-6.350183323,-6.350183323,-7.709755897,-6.123128789,-4.960467093,-6.676024902,-6.676024902,-8.077795913,-5.493302624,-6.613942338,-6.613942338,-5.813589881,-5.734119443,-5.734119443,-5.734119443,-6.447942903,-5.614403185,-5.614403185,-5.614403185,-7.388549604,-6.818212229,-6.818212229,-7.524263756,-7.931569296,-6.902702791,-6.902702791,-6.902702791,-6.843638023,-5.678829023,-5.678829023,-5.678829023,0,-7.520712057,-7.520712057,-7.520712057
-6.262005396,-5.855001052,-7.129950095,-7.129950095,-6.706957624,-5.887027357,-5.887027357,-5.887027357,-6.821439042,-6.452326604,-6.768599237,-6.768599237,-7.634367587,-6.69403489,-6.69403489,-7.42618272,-8.092815475,-5.721596217,-5.721596217,-7.361822001,-8.141417818,-5.493143253,-5.493143253,-7.14056447,-6.498282787,-7.712119396,-7.712119396,-7.712119396,-8.121189209,-6.498675013,-6.498675013,-6.498675013,0,-7.383906915,-7.383906915,-7.383906915
-6.489964442,-5.39424365,-5.39424365,-7.151153219,-6.572424912,-6.305141023,-6.305141023,-6.305141023,-7.557256165,-6.436472587,-6.436472587,-6.436472587,-6.997671027,-7.316953686,-7.316953686,-7.316953686,-5.736678497,-6.419762879,-6.419762879,-7.609672815,-7.55721958,-5.816517035,-5.816517035,-5.816517035,-7.874185575,-6.184648248,-6.184648248,-6.184648248,-7.681616817,-6.309729764,-6.309729764,-6.309729764,0,-7.578057712,-7.578057712,-7.578057712
-6.616175386,-4.705172745,-7.773910805,-7.773910805,-6.212276337,-4.763129241,-6.295322014,-6.295322014,-7.505002708,-4.860372823,-6.3960695,-6.3960695,-6.975179976,-5.817876224,-5.817876224,-5.817876224,-8.517729206,-6.018042818,-6.018042818,-7.112725562,-7.727683237,-5.650238717,-5.650238717,-6.842019799,-7.445919657,-5.277105055,-5.277105055,-5.277105055,-8.18567908,-5.75443366,-5.75443366,-5.75443366,0,-7.520816407,-7.520816407,-7.520816407
-6.622909964,-6.281060406,-6.281060406,-6.281060406,-6.574122562,-5.601786477,-6.858317377,-6.858317377,-8.376011488,-6.28399942,-6.28399942,-6.28399942,-7.00280162,-5.815877584,-5.815877584,-6.80059792,-8.230650117,-6.342855114,-6.342855114,-6.977521639,-7.251160302,-6.526834484,-6.526834484,-6.526834484,-8.89855641,-8.609028622,-8.609028622,-8.609028622,-7.861978315,-7.741818896,-7.741818896,-7.741818896,0,-8.491283699,-8.491283699,-8.491283699
-7.271252634,-6.284507431,-6.284507431,-6.284507431,-7.686381621,-6.219424688,-6.219424688,-7.430476997,-6.476554518,-5.905837313,-7.093217891,-7.093217891,-6.116200023,-5.477952709,-6.521806225,-6.521806225,-7.977835642,-6.64895297,-6.64895297,-7.725611657,-7.331283582,-5.030788941,-5.030788941,-6.777443611,-8.454566255,-6.816085371,-6.816085371,-6.816085371,-7.855085138,-5.59025997,-5.59025997,-5.59025997,0,-8.537160483,-8.537160483,-8.537160483
-5.614883137,-6.317882673,-6.317882673,-6.317882673,-6.255063925,-4.289331616,-6.498334132,-6.498334132,-6.107708701,-6.722264021,-7.048470585,-7.048470585,-7.376794132,-7.697054618,-7.697054618,-7.697054618,-7.034611954,-5.687955252,-5.687955252,-6.912410036,-7.111061798,-7.290551914,-7.290551914,-7.290551914,-8.473915988,-5.770506586,-5.770506586,-5.770506586,-7.515922304,-7.50174591,-7.50174591,-7.50174591,0,-6.375293056,-6.375293056,-6.375293056
-4.565104853,-5.028044594,-5.028044594,-5.028044594,-6.669640528,-5.148335861,-6.834403772,-6.834403772,-5.99541973,-5.834370042,-7.052756416,-7.052756416,-6.761028282,-5.893807618,-5.893807618,-5.893807618,-7.534130725,-4.537690606,-4.537690606,-5.890029821,-6.560893753,-5.679906576,-5.679906576,-6.698639633,-8.381859917,-7.237401078,-7.237401078,-7.237401078,-8.50241212,-7.371395435,-7.371395435,-7.371395435,0,-7.650270326,-7.650270326,-7.650270326
