Cross Validation,Bootstrapping
-6.359859974102655,-6.359859974102655
-5.714200899012734,-5.714200899012734
-6.786351584986827,-6.217324578073752
-6.986963140161545,-6.645948944142958
-6.836593929994148,-5.875728183737734
-5.8825992459623455,-5.8825992459623455
-7.042511374929594,-7.042511374929594
-5.736513550416823,-5.736513550416823
-6.526879775632599,-5.974587047923028
-6.0964144154559925,-6.0964144154559925
-6.70691976815771,-6.169320850272676
-6.3886962351966305,-5.8836470342676
-6.9609715532363445,-6.081531841986154
-6.495621026167182,-6.495621026167182
-5.982364382743196,-6.527944357420578
-6.450811166668709,-6.450811166668709
-7.234174933873151,-5.020834096891719
-6.810297488714577,-6.810297488714577
-6.558294648260165,-6.558294648260165
-6.882693284317751,-5.993170412853859
-6.676248559996105,-6.676248559996105
-6.982193747764606,-6.637734272484636
-6.715748808251026,-6.357779770186852
-6.828682533693373,-6.828682533693373
-6.256774925521238,-5.754327668524668
-6.221834837259845,-6.7126796210398645
-7.168435587862086,-6.5346333083494565
-6.120143256039206,-7.250306293997179
-7.295783731864252,-6.991333464407206
-6.325493414507094,-5.732005499412536
-6.952355267535601,-6.028906964751377
-6.8073460465860665,-6.402681493167392
-6.47269034667082,-6.47269034667082
-6.453540187614838,-6.859501623219606
-6.930231836952979,-6.930231836952979
-7.251769734601564,-6.529203121970549
-6.306963841156311,-5.809061597391585
-7.0658487507636005,-6.69420765815443
-6.641067746074414,-6.102950009558184
-6.635755202811362,-6.116778347489635
-7.42923345834888,-6.699733457237166
-6.17446645479387,-5.712260664595062
-6.3717272772932825,-6.3717272772932825
-6.167812949715511,-6.167812949715511
-7.030165328527919,-6.663456874863545
-7.041147626834721,-6.6611386150638365
-5.762924624205419,-5.762924624205419
-6.334327708024193,-6.334327708024193
-5.93815994015338,-5.93815994015338
-6.430888294719831,-5.881857609357606
-6.637236496951745,-6.084999993784968
-6.607524693274703,-6.086025473856977
-6.9591162258406305,-6.013757648521085
-6.889158765423309,-7.248416707440489
-6.593144986205074,-6.593144986205074
-6.586721553361658,-6.174151560702245
-6.418951251535997,-6.418951251535997
-6.411593902269521,-5.876096703485531
-6.370520519507359,-6.370520519507359
-6.484769628637265,-6.8908519328530256
-6.303119184730382,-5.816856191638301
-6.4330330998384575,-5.891149714718224
-6.631017306641743,-7.085464412790417
-6.267587045026465,-6.710327066978106
-5.901892734983395,-6.722978953894436
-6.45925762418186,-6.45925762418186
-6.720587743850854,-6.720587743850854
-6.590579444221098,-6.590579444221098
-6.612405511167941,-6.258285041261013
-6.075209951308007,-6.075209951308007
-7.166260577057267,-6.462461156585035
-6.745536794744409,-6.300930773757954
-6.293467774392882,-5.809486784687224
-6.389029300364307,-6.389029300364307
-6.332783564614866,-6.897387904670387
-6.471159346613184,-6.471159346613184
-6.731659359970221,-6.731659359970221
-6.691051159517613,-7.129915984741686
-6.548938881567383,-6.030182799839079
-7.172351340307197,-6.052266710097293
-6.860775152865761,-6.860775152865761
-6.3787816177179035,-5.868352220831053
-5.783478521700613,-5.783478521700613
-7.095236221958039,-5.979550813574723
-5.836492591530473,-6.320314625234186
-6.478748643603183,-6.478748643603183
-6.020828626329033,-6.952331360855083
-6.6221455539913725,-6.6221455539913725
-5.929507003983569,-5.457145359750539
-6.679623417813254,-6.22746374017591
-7.082105614478084,-7.082105614478084
-6.550231241938039,-6.550231241938039
-6.854945943307149,-6.296663878631301
-6.698168734800234,-6.698168734800234
-5.980420616660937,-6.939773028795679
-6.932373876522642,-6.0560151213249
-6.8598621156201025,-6.461301249739925
-6.9144511670097755,-6.5425266578744745
-6.72840017447432,-7.204340718036252
-7.007358397210855,-7.007358397210855
