Cross Validation,Bootstrapping
-7.256111066261608,-7.256111066261608
-7.257357643840163,-7.257357643840163
-6.786325319893913,-6.786325319893913
-7.352960165969573,-7.352960165969573
-8.06646205415262,-7.34080126211072
-7.033769268805065,-7.033769268805065
-7.195001425343275,-7.195001425343275
-7.43938590709986,-7.43938590709986
-6.724327468432352,-6.724327468432352
-7.5400284373611655,-7.5400284373611655
-7.769521740652397,-7.769521740652397
-7.095990412235462,-7.095990412235462
-7.061083553014987,-7.061083553014987
-6.712380340083082,-6.712380340083082
-8.04186003392927,-8.04186003392927
-6.887761394075532,-6.887761394075532
-7.734500143378366,-7.734500143378366
-7.520549043797665,-7.520549043797665
-7.947081674247555,-7.525055929928145
-6.935583630170727,-6.935583630170727
-7.825542364588483,-7.825542364588483
-7.5489375241577,-7.5489375241577
-7.455348176775539,-7.455348176775539
-7.363951653221891,-7.752882483106458
-7.033001958136572,-7.033001958136572
-7.330326496030871,-7.330326496030871
-7.580315565618167,-7.580315565618167
-6.9846790027257875,-6.9846790027257875
-8.158289376883603,-7.963939682205399
-7.278653116950007,-7.278653116950007
-7.5121428824814815,-7.5121428824814815
-7.639741322652433,-7.639741322652433
-7.116006746396535,-7.116006746396535
-7.094476584817102,-7.094476584817102
-7.273920333158647,-7.273920333158647
-7.882477966615201,-7.882477966615201
-7.164991981820846,-7.164991981820846
-7.823748566661141,-7.823748566661141
-6.090434888743865,-6.090434888743865
-7.2685286642844105,-7.2685286642844105
-7.140290252023303,-7.140290252023303
-7.03750470616577,-7.03750470616577
-6.24582408986209,-6.24582408986209
-6.814282995987665,-6.814282995987665
-6.963162690270856,-6.963162690270856
-7.501773925732642,-7.501773925732642
-7.566764572619636,-7.566764572619636
-6.58213313398897,-6.58213313398897
-7.3895813375833965,-7.3895813375833965
-8.045562795977652,-8.045562795977652
-6.912111025750023,-6.912111025750023
-7.487047396557066,-7.487047396557066
-7.348625682640898,-7.348625682640898
-7.138367758483115,-7.138367758483115
-7.358058021878815,-7.358058021878815
-6.891972704625179,-6.891972704625179
-7.399115832347027,-7.399115832347027
-7.825066452669104,-8.111357874993036
-7.353920366528701,-7.353920366528701
-7.126917267619912,-7.126917267619912
-7.305215837031179,-7.305215837031179
-7.043343564790864,-7.043343564790864
-7.04401800928678,-7.04401800928678
-7.340000153862514,-7.340000153862514
-7.356717288541775,-7.356717288541775
-6.554240479386389,-6.554240479386389
-7.993925153266931,-7.993925153266931
-7.580352209761086,-7.580352209761086
-6.94903007352824,-6.94903007352824
-7.123751747000768,-7.123751747000768
-7.733856232792196,-7.291355692396094
-7.697250974886276,-7.697250974886276
-7.515317076971639,-7.515317076971639
-6.893052927807578,-6.893052927807578
-7.491652203930361,-7.491652203930361
-7.599644094504302,-7.599644094504302
-7.589965534381345,-7.589965534381345
-7.092306701564118,-7.092306701564118
-6.591439325762403,-6.591439325762403
-7.396458238211514,-7.396458238211514
-6.837551799973963,-6.837551799973963
-7.3876478734105735,-7.3876478734105735
-7.663278049704809,-7.3433981046622065
-7.06415351575079,-7.06415351575079
-6.72781637057378,-6.72781637057378
-7.6518376824472,-7.6518376824472
-7.393417452847957,-7.393417452847957
-7.457254161432895,-7.457254161432895
-7.343919871259701,-6.898147025134708
-7.46762760231654,-7.46762760231654
-6.85444688540989,-6.85444688540989
-6.9497979956835145,-6.9497979956835145
-7.197313030408019,-7.197313030408019
-7.0998596538859315,-7.0998596538859315
-7.152929433302118,-7.152929433302118
-6.716510326857918,-6.716510326857918
-7.247763764086852,-7.247763764086852
-7.014323802704885,-7.014323802704885
-7.469547732424817,-7.469547732424817
-6.959533171030804,-6.959533171030804
