Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.951031337062103,-6.951031337062103,-6.748147757593692,-6.748147757593692,-6.350451733604609,-6.350451733604609
-6.643142025787757,-6.643142025787757,-7.13990347062975,-7.13990347062975,-6.614960864476821,-6.614960864476821
-6.999027252371685,-6.999027252371685,-7.161780433238235,-7.161780433238235,-6.854018567349806,-6.854018567349806
-7.019570508433378,-7.019570508433378,-5.64881168592859,-5.64881168592859,-6.682542765186124,-6.682542765186124
-6.736109263130468,-6.736109263130468,-6.5965593068439095,-6.5965593068439095,-6.510728840975627,-6.510728840975627
-6.757878263035367,-6.757878263035367,-6.617025890498642,-6.617025890498642,-6.841639618871881,-6.841639618871881
-6.068398801969318,-6.068398801969318,-6.473877611513671,-6.473877611513671,-6.9366259096221405,-6.9366259096221405
-7.196367259573169,-7.196367259573169,-6.602210542015819,-6.602210542015819,-6.696903897831458,-6.696903897831458
-7.081485897480975,-7.081485897480975,-6.388209042962211,-6.388209042962211,-6.769746927770086,-6.769746927770086
-6.808292240438181,-6.808292240438181,-6.572150115183291,-6.572150115183291,-6.474361509324511,-6.474361509324511
-7.081279794111838,-7.081279794111838,-7.239868567066125,-7.239868567066125,-7.077752458244568,-7.077752458244568
-6.526134031080339,-6.526134031080339,-6.7256756845849885,-6.7256756845849885,-6.411181360957152,-6.411181360957152
-6.560299538655009,-6.560299538655009,-6.6912696814800485,-6.6912696814800485,-6.6787208293571325,-6.6787208293571325
-6.770553152510486,-6.770553152510486,-6.160867543791031,-6.160867543791031,-6.939201316031454,-6.939201316031454
-7.528027353421019,-7.528027353421019,-7.0447288803845,-7.0447288803845,-6.96424814892542,-6.96424814892542
-6.765527356653388,-6.765527356653388,-6.325292852429046,-6.325292852429046,-6.919748019413711,-6.919748019413711
-7.493908519704337,-7.493908519704337,-6.759882037611898,-6.759882037611898,-6.711643449205353,-6.711643449205353
-6.580557165340681,-6.580557165340681,-7.013481274869313,-7.013481274869313,-6.590254657248789,-6.590254657248789
-6.701407617550085,-6.701407617550085,-6.781208814587043,-6.781208814587043,-6.54670885062202,-6.54670885062202
-6.888214613319762,-6.888214613319762,-6.443273170614222,-6.443273170614222,-6.283475055924213,-6.283475055924213
-6.63226052907934,-6.63226052907934,-6.861985478491752,-6.861985478491752,-6.583516113541192,-6.583516113541192
-6.650805650476988,-6.650805650476988,-6.97163911284121,-6.97163911284121,-6.527079348054559,-6.527079348054559
-6.498477902493952,-6.498477902493952,-7.095970349105192,-7.095970349105192,-7.210329025494274,-7.210329025494274
-6.859653407151148,-6.859653407151148,-6.7984219824380565,-6.7984219824380565,-7.034115114628959,-7.034115114628959
-6.531259669756633,-6.531259669756633,-6.53020286298724,-6.53020286298724,-6.84001759707012,-6.84001759707012
-6.199366862814286,-6.199366862814286,-7.175989154400707,-7.175989154400707,-6.726884470994082,-6.726884470994082
-6.809570395896418,-6.809570395896418,-7.01630133300278,-7.01630133300278,-6.521931392487911,-6.521931392487911
-6.908197992347223,-6.908197992347223,-6.426908342788292,-6.426908342788292,-6.620635490122293,-6.620635490122293
-6.624973363917181,-6.624973363917181,-6.653538479766924,-6.653538479766924,-6.653087795226496,-6.653087795226496
-6.702132055793181,-6.702132055793181,-6.675829070205454,-6.675829070205454,-6.339762246300682,-6.339762246300682
-6.5644136721646,-6.5644136721646,-6.934894391230101,-6.934894391230101,-6.571635972204138,-6.571635972204138
-7.199387923186683,-7.199387923186683,-6.936437196507882,-6.936437196507882,-6.475592176669377,-6.475592176669377
-6.87375444562525,-6.87375444562525,-6.9158927181728025,-6.9158927181728025,-6.926100192771366,-6.926100192771366
-6.539580205663945,-6.539580205663945,-6.3369911209888015,-6.3369911209888015,-6.813765696553385,-6.813765696553385
-6.8296317250017164,-6.8296317250017164,-6.725285036922015,-6.725285036922015,-6.408081658203126,-6.408081658203126
-6.820866699460919,-6.820866699460919,-6.954469112900591,-6.954469112900591,-6.345373842596378,-6.345373842596378
-6.992279025008694,-6.992279025008694,-6.6824400199265055,-6.6824400199265055,-6.867159631851236,-6.867159631851236
-6.847727750837806,-6.847727750837806,-6.741568299956388,-6.741568299956388,-6.75151357899395,-6.75151357899395
-7.272167124564873,-7.272167124564873,-6.431267921989559,-6.431267921989559,-6.588747399152039,-6.588747399152039
-7.214880791415112,-7.214880791415112,-6.757860841113485,-6.757860841113485,-6.81572219286416,-6.81572219286416
-7.324205342346585,-7.324205342346585,-6.921170386069398,-6.921170386069398,-6.643615489267576,-6.643615489267576
-6.497791298626598,-6.497791298626598,-6.038384141948338,-6.038384141948338,-6.675148427178347,-6.675148427178347
-6.755429681444961,-6.755429681444961,-6.455678926230743,-6.455678926230743,-6.5542180433174675,-6.5542180433174675
-6.922341885801724,-6.922341885801724,-7.328986889109775,-7.328986889109775,-6.47587951475266,-6.47587951475266
-6.317356605258706,-6.317356605258706,-6.730782233326795,-6.730782233326795,-6.792685671523935,-6.792685671523935
-6.250978571056155,-6.250978571056155,-6.50504119600042,-6.50504119600042,-7.331205834794892,-7.331205834794892
-6.885352920411012,-6.885352920411012,-6.693777995073449,-6.693777995073449,-6.774401603341414,-6.774401603341414
-6.859210011106095,-6.859210011106095,-6.960205066636436,-6.960205066636436,-7.106711873256193,-7.106711873256193
-6.763570898878502,-6.763570898878502,-7.125793137576349,-7.125793137576349,-6.352031023233915,-6.352031023233915
-6.658675510747823,-6.658675510747823,-6.606301754790762,-6.606301754790762,-6.806645673112062,-6.806645673112062
-6.811929911722286,-6.811929911722286,-6.528373577718584,-6.528373577718584,-6.289060748259336,-6.289060748259336
-6.8023492978468765,-6.8023492978468765,-6.758281494994004,-6.758281494994004,-6.5859309772388235,-6.5859309772388235
-6.660223557059798,-6.660223557059798,-6.167487819170296,-6.167487819170296,-6.617374085577371,-6.617374085577371
-6.626559045209979,-6.626559045209979,-6.466149383225745,-6.466149383225745,-6.517997362232381,-6.517997362232381
-6.622631765952202,-6.622631765952202,-7.114744369531404,-7.114744369531404,-6.404302995455008,-6.404302995455008
-6.53099696799344,-6.53099696799344,-6.771812677285505,-6.771812677285505,-6.727974394118147,-6.727974394118147
-6.763599785237216,-6.763599785237216,-6.337651883579918,-6.337651883579918,-6.73124646977523,-6.73124646977523
-6.924434853784223,-6.924434853784223,-6.758561720711893,-6.758561720711893,-6.513632270033817,-6.513632270033817
-6.865837361132145,-6.865837361132145,-6.534747258693014,-6.534747258693014,-7.402125296681655,-7.402125296681655
-7.118178406921968,-7.118178406921968,-6.969775208941537,-6.969775208941537,-6.819579724174462,-6.819579724174462
-6.878116121301495,-6.878116121301495,-6.467547762539164,-6.467547762539164,-7.125096050318437,-7.125096050318437
-6.961295167202875,-6.961295167202875,-7.190643526467878,-7.190643526467878,-6.864250175667533,-6.864250175667533
-6.4253047715658544,-6.4253047715658544,-7.036277178939342,-7.036277178939342,-6.3856943791840886,-6.3856943791840886
-6.991233606101106,-6.991233606101106,-6.512532100208138,-6.512532100208138,-6.6445363107928905,-6.6445363107928905
-6.982451582646262,-6.982451582646262,-6.868446486270228,-6.868446486270228,-6.926942376492154,-6.926942376492154
-6.589781636356996,-6.589781636356996,-6.806542858169316,-6.806542858169316,-6.997446289183811,-6.997446289183811
-6.29874656892513,-6.29874656892513,-6.812866464704912,-6.812866464704912,-7.080569171072698,-7.080569171072698
-6.8893612566442375,-6.8893612566442375,-7.020013474206018,-7.020013474206018,-6.748113916923263,-6.748113916923263
-6.931379574256825,-6.931379574256825,-7.3047430328621425,-6.626633216377977,-6.751435632817201,-6.751435632817201
-6.908185932861507,-6.908185932861507,-6.623321451398204,-6.623321451398204,-6.648707644062778,-6.648707644062778
-6.58530613085814,-6.58530613085814,-6.519502763637853,-6.519502763637853,-6.781591812487001,-6.781591812487001
-6.806080664704528,-6.806080664704528,-6.440225979398057,-6.440225979398057,-6.119098110477635,-6.119098110477635
-7.043527980787939,-7.043527980787939,-6.981151894870525,-6.981151894870525,-6.471676664671955,-6.471676664671955
-7.096798219583212,-7.096798219583212,-6.656554390381215,-6.656554390381215,-6.5791918174054995,-6.5791918174054995
-6.484398570691748,-6.484398570691748,-6.967074628361428,-6.967074628361428,-7.004194708033183,-7.004194708033183
-6.913341415773703,-6.913341415773703,-6.760989724627582,-6.760989724627582,-6.604466454434865,-6.604466454434865
-7.238720400214519,-7.238720400214519,-7.086851618013016,-7.086851618013016,-6.564436692867657,-6.564436692867657
-6.59633917187782,-6.59633917187782,-7.34312916669779,-7.34312916669779,-6.3851548050716085,-6.3851548050716085
-6.895632661808012,-6.895632661808012,-6.68772629357296,-6.68772629357296,-7.108371610995578,-7.108371610995578
-6.558679151898441,-6.558679151898441,-6.98220722935847,-6.98220722935847,-5.7648383171275706,-5.7648383171275706
-6.768906048925407,-6.768906048925407,-6.632765801818763,-6.632765801818763,-6.562262518072577,-6.562262518072577
-6.544971708546357,-6.544971708546357,-6.253182304602827,-6.253182304602827,-6.806833255470518,-6.806833255470518
-6.4517133888180185,-6.4517133888180185,-6.888890008855908,-6.888890008855908,-6.927881318028245,-6.927881318028245
-6.9308485940318745,-6.9308485940318745,-6.848729076221224,-6.848729076221224,-6.969176930003396,-6.969176930003396
-7.260672984722905,-7.260672984722905,-6.98219334088573,-6.98219334088573,-6.58882356910506,-6.58882356910506
-7.1341482114885135,-7.1341482114885135,-6.690166171404577,-6.690166171404577,-6.761577514225827,-6.761577514225827
-6.851668933642665,-6.851668933642665,-6.867492189601274,-6.867492189601274,-6.829392377398113,-6.829392377398113
-6.255207366211286,-6.255207366211286,-7.092972936872334,-7.092972936872334,-7.129172931189128,-7.129172931189128
-6.612095317560318,-6.612095317560318,-6.64940890491796,-6.64940890491796,-7.485793393886935,-7.485793393886935
-6.844390844898435,-6.844390844898435,-7.13643552760384,-7.13643552760384,-6.9023673085092705,-6.9023673085092705
-6.279936742799039,-6.279936742799039,-6.947988364859476,-6.947988364859476,-6.7274649210736746,-6.7274649210736746
-7.021238929062835,-7.021238929062835,-6.951405396280945,-6.951405396280945,-6.715357835901813,-6.715357835901813
-6.512323491874286,-6.512323491874286,-6.488168323027232,-6.488168323027232,-7.145927344665626,-7.145927344665626
-6.896604899015756,-6.896604899015756,-6.934718310991104,-6.934718310991104,-6.880243310342444,-6.880243310342444
-6.528549146363673,-6.528549146363673,-7.064644372353351,-7.064644372353351,-7.138590906332147,-7.138590906332147
-6.917814083486296,-6.917814083486296,-6.479860470543318,-6.479860470543318,-5.803217813281204,-5.803217813281204
-6.87929385130756,-6.87929385130756,-6.716709649256608,-6.716709649256608,-6.845486821702247,-6.845486821702247
-6.924470216712308,-6.924470216712308,-6.685913240881114,-6.685913240881114,-6.3526377387311515,-6.3526377387311515
-6.893517868531545,-6.893517868531545,-7.1482512895704,-7.1482512895704,-7.008055121712866,-7.008055121712866
-6.914680767566105,-6.914680767566105,-6.450102397457811,-6.450102397457811,-7.030809234179744,-7.030809234179744
