Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-7.942492834940989,-7.741843707662536,-7.741843707662536,-7.741843707662536,-8.001416615343656,-7.218854549343336,-7.218854549343336,-7.218854549343336,-7.2183268330946015,-7.01926293130357,-7.01926293130357,-7.01926293130357,-7.425784478527778,-7.036609859645796,-7.036609859645796,-7.711890604601083,-6.541542268817615,-6.820369611058571,-6.820369611058571,-6.820369611058571,-6.9720139087061765,-7.00673391749042,-7.00673391749042,-7.618100874888896,-7.278434390317781,-6.85764374358382,-6.85764374358382,-6.85764374358382,-6.570669440618181,-6.744444657243218,-6.744444657243218,-7.493640308988302,-7.2895753303099795,-6.547785302731955,-6.547785302731955,-6.547785302731955
-8.581225294255207,-8.671266498953527,-8.671266498953527,-8.671266498953527,-7.965520616065625,-8.220738259803321,-8.220738259803321,-8.220738259803321,-6.605351657735806,-7.575116851382822,-7.575116851382822,-7.575116851382822,-6.928313064794734,-7.910515031089922,-7.910515031089922,-7.910515031089922,-7.162889313956846,-7.093831196911856,-7.093831196911856,-7.093831196911856,-7.15364649507093,-7.053632565939039,-7.053632565939039,-7.053632565939039,-6.717964177001584,-7.1728361795598685,-7.1728361795598685,-7.1728361795598685,-6.867396734967578,-6.867396734967578,-6.867396734967578,-6.867396734967578,-6.86299704068231,-6.810004068443955,-6.810004068443955,-6.810004068443955
-8.633904653987514,-7.63331530966393,-7.63331530966393,-7.63331530966393,-7.247174927736426,-7.457542668441355,-7.457542668441355,-7.457542668441355,-7.071011951307064,-7.045567992610414,-7.045567992610414,-7.045567992610414,-7.353261793130186,-6.895248294517291,-6.895248294517291,-6.895248294517291,-7.025647933397826,-6.8786033657972085,-6.8786033657972085,-6.8786033657972085,-6.711276917342007,-6.997392783832142,-6.997392783832142,-6.997392783832142,-7.068364770650082,-7.04149700938023,-7.04149700938023,-7.795039303375286,-6.56810853650104,-6.420482040005564,-6.420482040005564,-7.504950744317865,-6.658843065432888,-6.7494695337823645,-6.7494695337823645,-6.7494695337823645
-7.80508637817759,-8.313626804228715,-8.313626804228715,-8.313626804228715,-7.711272706335576,-7.976533440618266,-7.976533440618266,-7.976533440618266,-7.161381275624213,-7.40221089213858,-7.40221089213858,-7.40221089213858,-7.52462233466769,-7.326704264510775,-7.326704264510775,-7.326704264510775,-7.11599121900993,-6.972504086311593,-6.972504086311593,-6.972504086311593,-6.733186055848625,-6.845051887374603,-6.845051887374603,-6.845051887374603,-6.832912238816363,-6.959773823781116,-6.959773823781116,-7.4856942342189505,-6.825040055046039,-7.660667017986668,-7.660667017986668,-7.660667017986668,-6.402379748477684,-7.594232233274216,-7.594232233274216,-7.594232233274216
-7.116305784807366,-7.185170205188079,-7.185170205188079,-7.185170205188079,-7.419926434487346,-7.460692890281441,-7.460692890281441,-7.460692890281441,-7.25618273883634,-7.241507406201009,-7.241507406201009,-7.241507406201009,-6.921479862427134,-6.89388612855122,-6.89388612855122,-6.89388612855122,-7.246055873117179,-7.366206013766176,-7.366206013766176,-7.366206013766176,-6.995824425954658,-6.777097986809823,-6.777097986809823,-6.777097986809823,-7.143854045030777,-6.784494315447356,-6.784494315447356,-6.784494315447356,-6.668314283096658,-6.670867688052647,-6.670867688052647,-6.670867688052647,-7.6945640497072025,-6.987459971312296,-6.987459971312296,-6.987459971312296
-8.010371789776835,-8.401313786006352,-8.401313786006352,-8.401313786006352,-7.650809464816256,-7.231962297030018,-7.231962297030018,-7.231962297030018,-7.043915344844889,-7.085784506348896,-7.085784506348896,-7.085784506348896,-7.366521197398296,-7.196794269246095,-7.196794269246095,-7.196794269246095,-7.146603562294512,-7.165665404038387,-7.165665404038387,-7.165665404038387,-7.093693380965284,-6.906457510035665,-6.906457510035665,-6.906457510035665,-6.336141641129213,-6.336715957564504,-6.336715957564504,-6.336715957564504,-6.738516081470505,-6.658158854871654,-6.658158854871654,-7.945257613563543,-7.050935110810724,-7.816958004728072,-7.816958004728072,-7.816958004728072
-6.931120750898838,-8.128631779529293,-8.128631779529293,-8.128631779529293,-8.266613996976472,-7.457290267248027,-7.457290267248027,-7.457290267248027,-7.931542902027992,-7.844149712470966,-7.844149712470966,-7.844149712470966,-7.297987344999335,-7.078556541098079,-7.078556541098079,-7.078556541098079,-6.929645106026633,-7.427757820614354,-7.427757820614354,-7.427757820614354,-6.792758620382307,-7.09815330230046,-7.09815330230046,-7.654465834449576,-7.134768834510423,-6.933004259547849,-6.933004259547849,-6.933004259547849,-6.788488048263248,-6.837308164382748,-6.837308164382748,-7.659499446380179,-7.073891414407408,-7.582446403540282,-7.582446403540282,-7.672612020957299
-7.9282481498175486,-8.27456011395159,-8.27456011395159,-8.27456011395159,-8.255609573538987,-8.022425442783662,-8.022425442783662,-8.022425442783662,-6.788798820799377,-7.577779816809638,-7.577779816809638,-7.577779816809638,-7.240801638233768,-7.243214718466119,-7.243214718466119,-7.243214718466119,-6.877017826424807,-7.358210515838969,-7.358210515838969,-7.358210515838969,-6.927981453274901,-7.084346504901599,-7.084346504901599,-7.084346504901599,-6.673508334132728,-7.203600852577889,-7.203600852577889,-7.607522089182556,-8.013849803875086,-6.881838188331719,-6.881838188331719,-7.760269161646255,-7.577938097966426,-6.596996956624507,-6.596996956624507,-6.596996956624507
-7.319239773452463,-7.696886330354411,-7.696886330354411,-7.696886330354411,-7.7689352950138755,-7.552432010105376,-7.552432010105376,-7.552432010105376,-7.64775653317166,-7.434089208469554,-7.434089208469554,-7.434089208469554,-6.760820443066431,-7.373696562631041,-7.373696562631041,-7.373696562631041,-6.799957363356212,-7.056619242376994,-7.056619242376994,-7.056619242376994,-6.925334453836527,-6.969757244759144,-6.969757244759144,-6.969757244759144,-7.086275054327471,-7.181460721170905,-7.181460721170905,-7.181460721170905,-6.583497077050155,-6.788905675231591,-6.788905675231591,-6.788905675231591,-6.899091476408847,-7.158305929306401,-7.158305929306401,-7.158305929306401
-7.992181524664826,-8.429982240568632,-8.429982240568632,-8.429982240568632,-7.909477994670332,-7.59721014135475,-7.59721014135475,-7.59721014135475,-7.131931057978699,-6.980162352876253,-6.980162352876253,-6.980162352876253,-7.365076856430752,-7.097266669121419,-7.097266669121419,-7.097266669121419,-7.110437425806143,-7.002968946262722,-7.002968946262722,-7.002968946262722,-6.7567086213565695,-6.591267204922262,-6.591267204922262,-7.476118697609577,-7.2973116909292814,-7.153795037598618,-7.153795037598618,-7.153795037598618,-7.014499731764287,-7.689898478151662,-7.018212975137185,-7.934202302967892,-6.980019390505623,-6.96895459336512,-6.96895459336512,-6.96895459336512
-7.572987326941821,-7.0618264443863,-7.0618264443863,-7.0618264443863,-7.461353784924187,-7.68895152701347,-7.68895152701347,-7.68895152701347,-6.637894035331077,-7.25157928134602,-7.25157928134602,-7.25157928134602,-7.317503003909467,-7.1395168818139965,-7.1395168818139965,-7.1395168818139965,-6.820798340475112,-7.291976566585528,-7.291976566585528,-7.291976566585528,-6.924198613291081,-6.890487567272991,-6.890487567272991,-7.645411278445175,-6.545446980789781,-6.407836055421964,-6.407836055421964,-7.541292455493399,-6.693809549625025,-6.693809549625025,-6.693809549625025,-6.693809549625025,-7.957748249451915,-6.809784146556291,-6.809784146556291,-6.809784146556291
-8.762876069492684,-8.30838446349775,-8.30838446349775,-8.30838446349775,-7.794581260997714,-7.549242654682564,-7.549242654682564,-7.549242654682564,-7.209672156400526,-7.092715164120766,-7.092715164120766,-7.092715164120766,-6.860548267580318,-7.1651671412458775,-7.1651671412458775,-7.1651671412458775,-7.153820767323197,-7.592505779433184,-7.592505779433184,-7.592505779433184,-6.835732544039888,-7.21686634798424,-7.21686634798424,-7.21686634798424,-6.999011257248389,-6.90800344284102,-6.90800344284102,-7.480859143999211,-6.5254091202738325,-6.408347413187074,-6.408347413187074,-6.408347413187074,-6.875789555588461,-6.875045565257135,-6.875045565257135,-6.875045565257135
-7.9591454042624035,-8.050670908930119,-8.050670908930119,-8.050670908930119,-8.156157563547504,-7.513497202288782,-7.513497202288782,-7.513497202288782,-6.698181209987032,-7.187953974630905,-7.187953974630905,-7.187953974630905,-6.993175850687472,-6.930656224070593,-6.930656224070593,-6.930656224070593,-6.818634192912628,-7.072622650915829,-7.072622650915829,-7.072622650915829,-7.048862092995214,-7.045743846496498,-7.045743846496498,-7.045743846496498,-6.691515589316069,-7.295405142278108,-6.654426627498332,-7.47550624498766,-7.470126409509498,-6.349306156101234,-6.349306156101234,-6.349306156101234,-6.733400396830288,-6.724135098308595,-6.724135098308595,-6.724135098308595
-8.01226616206002,-8.074553850882142,-8.074553850882142,-8.074553850882142,-7.198013674731681,-6.950907919471269,-6.950907919471269,-6.950907919471269,-7.452944285023173,-7.400958871843666,-7.400958871843666,-7.400958871843666,-6.941806269618319,-7.072012443740766,-7.072012443740766,-7.072012443740766,-7.328290958098649,-7.738081901156752,-7.738081901156752,-7.738081901156752,-6.798233718274308,-6.716917123832171,-6.716917123832171,-6.716917123832171,-6.943833676414744,-6.929468012492864,-6.929468012492864,-6.929468012492864,-6.620015198516522,-6.859436809330521,-6.859436809330521,-6.859436809330521,-7.694069103281154,-6.72625981249611,-6.72625981249611,-6.72625981249611
-7.534296871360793,-7.6099563058651,-7.6099563058651,-7.6099563058651,-7.368115849777993,-7.6413011997011235,-7.6413011997011235,-7.6413011997011235,-7.529476599409822,-7.721112710393772,-7.721112710393772,-7.721112710393772,-7.452203641629188,-7.757289850499762,-7.757289850499762,-7.757289850499762,-7.084059736140654,-7.244665722239402,-7.244665722239402,-7.244665722239402,-6.79139682310375,-6.540230753522153,-6.540230753522153,-7.6154069349387,-6.27433272456182,-6.276463661357968,-6.276463661357968,-6.276463661357968,-7.395289178034458,-6.531453923200985,-6.531453923200985,-7.778451121524974,-7.545865164590609,-6.7559955431276775,-6.7559955431276775,-7.54586516459061
-8.274960375029861,-8.161650513178511,-8.161650513178511,-8.161650513178511,-8.012249087874434,-8.031977633523706,-8.031977633523706,-8.031977633523706,-7.659134797816002,-7.673643450548759,-7.673643450548759,-7.673643450548759,-7.556104263625492,-6.971839580272225,-6.971839580272225,-6.971839580272225,-7.092965203333657,-6.776740300176368,-6.776740300176368,-6.776740300176368,-7.022806495660527,-7.447577456315748,-6.835500546377101,-7.769891222004753,-7.418478348101762,-6.4254799250139145,-6.4254799250139145,-7.611910914720899,-6.818642638909052,-6.586600740768125,-6.586600740768125,-6.586600740768125,-7.640601730076229,-6.729387984929453,-6.729387984929453,-7.672812632522132
