Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.690282975,0.1,Sectioning,10,500,0
-7.673944721,0.08,NGS,10,500,0
-7.672761741,0.08,UNGS,10,500,0
-7.672761741,0.08,NV,10,500,0
-7.278261124,0.39,Sectioning,20,500,0
-7.229840792,0.44,NGS,20,500,0
-7.23546055,0.43,UNGS,20,500,0
-7.253701066,0.4,NV,20,500,0
-7.040576714,0.68,Sectioning,30,500,0
-6.998685543,0.72,NGS,30,500,0
-7.035451998,0.68,UNGS,30,500,0
-7.056565925,0.66,NV,30,500,0
-6.857736483,0.91,Sectioning,40,500,0
-6.886750154,0.85,NGS,40,500,0
-6.940413311,0.79,UNGS,40,500,0
-6.999294565,0.72,NV,40,500,0
-6.750648642,0.93,Sectioning,50,500,0
-6.747294983,0.98,NGS,50,500,0
-6.86216722,0.85,UNGS,50,500,0
-6.88245303,0.83,NV,50,500,0
-6.764835159,0.91,Sectioning,60,500,0
-6.719806962,0.95,NGS,60,500,0
-6.812305068,0.87,UNGS,60,500,0
-6.915187994,0.76,NV,60,500,0
-6.829875916,0.99,Sectioning,70,500,0
-6.83532124,0.96,NGS,70,500,0
-6.970333133,0.79,UNGS,70,500,0
-7.068341429,0.67,NV,70,500,0
-6.744192087,0.99,Sectioning,80,500,0
-6.801298362,0.91,NGS,80,500,0
-7.048761911,0.63,UNGS,80,500,0
-7.192854947,0.47,NV,80,500,0
-6.97575482,0.73,Sectioning,90,500,0
-6.831362003,0.89,NGS,90,500,0
-7.067584301,0.66,UNGS,90,500,0
-7.169930637,0.54,NV,90,500,0
-7.754683962,0.04,Sectioning,10,400,0
-7.871898918,0.03,NGS,10,400,0
-7.869246014,0.03,UNGS,10,400,0
-7.869246014,0.03,NV,10,400,0
-7.338567331,0.31,Sectioning,20,400,0
-7.368623656,0.23,NGS,20,400,0
-7.375448616,0.22,UNGS,20,400,0
-7.383010537,0.2,NV,20,400,0
-7.15584993,0.44,Sectioning,30,400,0
-7.138448236,0.56,NGS,30,400,0
-7.15835519,0.52,UNGS,30,400,0
-7.172651302,0.49,NV,30,400,0
-6.958693684,0.79,Sectioning,40,400,0
-6.954938668,0.77,NGS,40,400,0
-6.990141128,0.73,UNGS,40,400,0
-7.040077175,0.66,NV,40,400,0
-6.904701626,0.88,Sectioning,50,400,0
-6.901130348,0.9,NGS,50,400,0
-6.962821239,0.84,UNGS,50,400,0
-7.040555582,0.78,NV,50,400,0
-6.792420098,0.96,Sectioning,60,400,0
-6.828369798,0.94,NGS,60,400,0
-6.902934342,0.85,UNGS,60,400,0
-7.035664394,0.69,NV,60,400,0
-6.712260717,1,Sectioning,70,400,0
-6.741657385,0.95,NGS,70,400,0
-6.954065278,0.74,UNGS,70,400,0
-7.043765391,0.64,NV,70,400,0
-6.897715453,0.93,Sectioning,80,400,0
-6.887162361,0.94,NGS,80,400,0
-7.103362057,0.68,UNGS,80,400,0
-7.232973617,0.53,NV,80,400,0
-7.212617854,0.52,Sectioning,90,400,0
-6.91814145,0.91,NGS,90,400,0
-7.107261154,0.69,UNGS,90,400,0
-7.317278008,0.43,NV,90,400,0
-7.993895092,0.01,Sectioning,10,300,0
-7.992542304,0.02,NGS,10,300,0
-7.992542304,0.02,UNGS,10,300,0
-7.992542304,0.02,NV,10,300,0
-7.517128242,0.16,Sectioning,20,300,0
-7.543316546,0.15,NGS,20,300,0
-7.546692968,0.14,UNGS,20,300,0
-7.551992305,0.12,NV,20,300,0
-7.36448605,0.27,Sectioning,30,300,0
-7.292552124,0.38,NGS,30,300,0
-7.32145449,0.34,UNGS,30,300,0
-7.32439405,0.34,NV,30,300,0
-7.111061608,0.59,Sectioning,40,300,0
-7.162106855,0.53,NGS,40,300,0
-7.175571832,0.51,UNGS,40,300,0
-7.215444079,0.45,NV,40,300,0
-7.009452034,0.76,Sectioning,50,300,0
-7.009066797,0.78,NGS,50,300,0
-7.083494897,0.69,UNGS,50,300,0
-7.117988983,0.63,NV,50,300,0
-6.968755569,0.79,Sectioning,60,300,0
-6.99370297,0.81,NGS,60,300,0
-7.082918926,0.7,UNGS,60,300,0
-7.148521887,0.64,NV,60,300,0
-6.909675944,0.86,Sectioning,70,300,0
-6.915364498,0.86,NGS,70,300,0
-6.960732652,0.8,UNGS,70,300,0
-7.054427466,0.72,NV,70,300,0
-6.946096459,0.75,Sectioning,80,300,0
-6.902937341,0.82,NGS,80,300,0
-7.045910454,0.65,UNGS,80,300,0
-7.273678728,0.42,NV,80,300,0
-7.186320323,0.51,Sectioning,90,300,0
-6.862604781,0.84,NGS,90,300,0
-7.06105327,0.62,UNGS,90,300,0
-7.082872281,0.6,NV,90,300,0
-8.118228172,0.01,Sectioning,10,200,0
-8.212723031,0,NGS,10,200,0
-8.212723031,0,UNGS,10,200,0
-8.212723031,0,NV,10,200,0
-7.742796206,0.04,Sectioning,20,200,0
-7.711352141,0.08,NGS,20,200,0
-7.711352141,0.08,UNGS,20,200,0
-7.729165269,0.06,NV,20,200,0
-7.47531098,0.15,Sectioning,30,200,0
-7.49251695,0.2,NGS,30,200,0
-7.513656587,0.17,UNGS,30,200,0
-7.518340216,0.16,NV,30,200,0
-7.358969183,0.22,Sectioning,40,200,0
-7.359120287,0.26,NGS,40,200,0
-7.399510886,0.2,UNGS,40,200,0
-7.412797089,0.18,NV,40,200,0
-7.234716524,0.41,Sectioning,50,200,0
-7.21532245,0.48,NGS,50,200,0
-7.267117835,0.42,UNGS,50,200,0
-7.317239567,0.36,NV,50,200,0
-7.246913477,0.4,Sectioning,60,200,0
-7.244692389,0.4,NGS,60,200,0
-7.328732402,0.3,UNGS,60,200,0
-7.3901677,0.25,NV,60,200,0
-7.150240403,0.57,Sectioning,70,200,0
-7.108875416,0.59,NGS,70,200,0
-7.166153527,0.52,UNGS,70,200,0
-7.248432505,0.43,NV,70,200,0
-7.219117167,0.57,Sectioning,80,200,0
-7.085635925,0.71,NGS,80,200,0
-7.181738998,0.64,UNGS,80,200,0
-7.380319037,0.42,NV,80,200,0
-7.516614822,0.26,Sectioning,90,200,0
-7.160540406,0.58,NGS,90,200,0
-7.15383928,0.59,UNGS,90,200,0
-7.557380431,0.18,NV,90,200,0
-8.490746574,0,Sectioning,10,100,0
-8.488259774,0.01,NGS,10,100,0
-8.488259774,0.01,UNGS,10,100,0
-8.488259774,0.01,NV,10,100,0
-8.262170415,0.01,Sectioning,20,100,0
-8.234512999,0,NGS,20,100,0
-8.234512999,0,UNGS,20,100,0
-8.234512999,0,NV,20,100,0
-8.057377481,0.04,Sectioning,30,100,0
-8.005962834,0.02,NGS,30,100,0
-8.011762149,0.02,UNGS,30,100,0
-8.011762149,0.02,NV,30,100,0
-7.743172811,0.04,Sectioning,40,100,0
-7.782898434,0.07,NGS,40,100,0
-7.786721152,0.06,UNGS,40,100,0
-7.786721152,0.06,NV,40,100,0
-7.683741222,0.07,Sectioning,50,100,0
-7.736137475,0.05,NGS,50,100,0
-7.742119988,0.05,UNGS,50,100,0
-7.757340709,0.04,NV,50,100,0
-7.64085041,0.06,Sectioning,60,100,0
-7.584594033,0.12,NGS,60,100,0
-7.627865248,0.09,UNGS,60,100,0
-7.716898748,0.05,NV,60,100,0
-7.591006758,0.13,Sectioning,70,100,0
-7.529337056,0.15,NGS,70,100,0
-7.608403934,0.11,UNGS,70,100,0
-7.616112753,0.11,NV,70,100,0
-7.539797398,0.17,Sectioning,80,100,0
-7.397136112,0.22,NGS,80,100,0
-7.397136112,0.22,UNGS,80,100,0
-7.569588049,0.1,NV,80,100,0
-7.830654272,0.08,Sectioning,90,100,0
-7.548921212,0.22,NGS,90,100,0
-7.548921212,0.22,UNGS,90,100,0
-7.548921212,0.22,NV,90,100,0
-6.69282,0.99,CV,100,400,10
-6.68398,1.00,BS,100,400,10
-6.72132,0.99,CV,100,300,10
-6.72132,0.99,BS,100,300,10
-6.83833,0.95,CV,100,200,10
-6.82566,0.96,BS,100,200,10
-7.27460,0.39,CV,100,100,10
-7.25585,0.40,BS,100,100,10
-6.73626,0.99,CV,100,400,5
-6.73077,1.00,BS,100,400,5
-6.67663,1.00,CV,100,300,5
-6.67663,1.00,BS,100,300,5
-6.87974,0.88,CV,100,200,5
-6.86261,0.91,BS,100,200,5
-7.22590,0.45,CV,100,100,5
-7.22895,0.46,BS,100,100,5
-6.72818,1.00,CV,100,400,3
-6.74220,0.99,BS,100,400,3
-6.67924,0.98,CV,100,300,3
-6.67924,0.98,BS,100,300,3
-6.91613,0.86,CV,100,200,3
-6.91277,0.86,BS,100,200,3
-7.31372,0.35,CV,100,100,3
-7.28835,0.34,BS,100,100,3
