Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-8.337613041,-8.915730094,-8.915730094,-8.915730094,-8.6112129,-8.009753206,-8.009753206,-8.009753206,-8.479068776,-8.340710241,-8.340710241,-8.340710241,-8.148142484,-8.129310321,-8.129310321,-8.129310321,-7.167772503,-7.336978663,-7.336978663,-7.336978663,-7.548473463,-7.429620508,-7.429620508,-7.429620508,-7.164113709,-7.164113709,-7.164113709,-7.164113709,-7.619968265,-7.390763551,-7.390763551,-7.913877693,-7.659699934,-7.42666083,-7.42666083,-7.42666083
-7.365153565,-7.514854203,-7.514854203,-7.514854203,-8.463276009,-7.981141359,-7.981141359,-7.981141359,-8.344525332,-8.042441823,-8.042441823,-8.042441823,-7.403287272,-6.950877924,-6.950877924,-6.950877924,-8.115224923,-8.060076717,-8.060076717,-8.060076717,-7.352760963,-7.269278535,-7.269278535,-7.912319191,-7.741385183,-7.549334136,-7.549334136,-7.549334136,-8.192716037,-7.381771232,-7.381771232,-7.381771232,-8.46298144,-7.481132077,-7.481132077,-7.481132077
-8.346407169,-7.99631588,-7.99631588,-7.99631588,-7.938300229,-8.077497545,-8.077497545,-8.077497545,-7.56881566,-7.396483972,-7.396483972,-7.396483972,-7.435707184,-7.811071722,-7.811071722,-7.811071722,-7.178352509,-6.633548328,-6.633548328,-6.633548328,-6.994511303,-6.943498854,-6.943498854,-7.433478149,-7.879373792,-7.956144731,-7.956144731,-7.956144731,-6.961053027,-7.096250828,-7.096250828,-7.096250828,-8.037933732,-8.037933732,-8.037933732,-8.037933732
-7.718422183,-7.646443487,-7.646443487,-7.646443487,-8.437514863,-8.802952529,-8.802952529,-8.802952529,-8.548532871,-7.848633985,-7.848633985,-7.848633985,-6.027538219,-6.027538219,-6.027538219,-6.027538219,-7.561106037,-7.424615837,-7.424615837,-7.424615837,-7.528560931,-7.249935099,-7.249935099,-7.249935099,-7.384735622,-7.513114297,-7.513114297,-7.513114297,-7.55553985,-6.527212504,-6.527212504,-8.166952528,-7.36043969,-7.339835285,-7.339835285,-7.339835285
-7.788429796,-8.879732869,-8.879732869,-8.879732869,-8.280663251,-7.960033535,-7.960033535,-7.960033535,-7.829402725,-7.731756471,-7.731756471,-7.731756471,-7.81319051,-7.716995657,-7.716995657,-7.716995657,-7.758228961,-8.212332595,-8.212332595,-8.212332595,-7.937392553,-7.817322847,-7.817322847,-7.817322847,-8.281835576,-6.788119394,-6.788119394,-6.788119394,-7.680364759,-7.237040176,-7.237040176,-7.237040176,-7.696489298,-7.0950906,-7.0950906,-7.0950906
-8.600856889,-8.794243911,-8.794243911,-8.794243911,-8.729839289,-8.25160053,-8.25160053,-8.25160053,-7.066610258,-7.406619475,-7.406619475,-7.406619475,-7.766360294,-7.614046127,-7.614046127,-7.614046127,-7.240817805,-8.023159252,-8.023159252,-8.023159252,-7.688736746,-7.665789668,-7.665789668,-7.665789668,-7.838644438,-7.937113824,-7.937113824,-7.937113824,-6.999725191,-7.037122926,-7.037122926,-7.037122926,-7.197960272,-7.718296862,-7.718296862,-7.718296862
-7.593216707,-8.89725802,-8.89725802,-8.89725802,-8.611792511,-9.461004857,-9.461004857,-9.461004857,-7.178199841,-7.248072951,-7.248072951,-7.248072951,-8.292960871,-8.444277307,-8.444277307,-8.444277307,-7.713110119,-7.67530395,-7.67530395,-7.67530395,-7.997366763,-7.519637529,-7.519637529,-7.519637529,-6.715263533,-7.821355719,-7.821355719,-7.821355719,-8.185149942,-7.507937124,-7.507937124,-7.507937124,-7.105535626,-7.108352551,-7.108352551,-7.108352551
-9.182306282,-8.569111363,-8.569111363,-8.569111363,-9.489214938,-8.805206888,-8.805206888,-8.805206888,-8.434964269,-7.578403299,-7.578403299,-7.578403299,-7.421206426,-7.111973998,-7.111973998,-7.111973998,-7.935422341,-8.146623285,-8.146623285,-8.146623285,-6.68242324,-8.279349957,-8.279349957,-8.279349957,-7.720728375,-7.378679851,-7.378679851,-7.378679851,-8.337828747,-8.126140142,-8.126140142,-8.126140142,-7.448341979,-6.92857194,-6.92857194,-6.92857194
-9.863467248,-9.297364832,-9.297364832,-9.297364832,-8.463981819,-8.810368287,-8.810368287,-8.810368287,-8.006236717,-7.912069577,-7.912069577,-7.912069577,-7.963652846,-7.709180188,-7.709180188,-7.709180188,-8.160531471,-7.854920273,-7.854920273,-7.854920273,-7.547875299,-7.523453036,-7.523453036,-7.523453036,-6.849237089,-7.26982725,-7.26982725,-7.26982725,-7.509211348,-7.432283843,-7.432283843,-7.432283843,-8.103869996,-7.44690881,-7.44690881,-7.44690881
-7.652814514,-7.407980339,-7.407980339,-7.407980339,-8.960704925,-8.591949537,-8.591949537,-8.591949537,-7.906303932,-7.959659592,-7.959659592,-7.959659592,-8.720740786,-8.778130071,-8.778130071,-8.778130071,-7.832466922,-7.409307445,-7.409307445,-7.409307445,-7.290361536,-8.041171165,-8.041171165,-8.041171165,-7.783705407,-7.362087459,-7.362087459,-7.362087459,-7.606964075,-7.369528359,-7.369528359,-7.369528359,-8.2480423,-7.566809632,-7.566809632,-7.566809632
