Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.1847220619132965,-6.1847220619132965,-6.9858360250332,-6.9858360250332,-6.542694271171992,-7.344703678972941
-6.72047653913868,-6.72047653913868,-6.767236856466812,-6.381871209406546,-6.723728784417825,-6.711805409892719
-6.691437118195118,-6.667968901603422,-7.079365626877904,-7.548787944879374,-6.9470314716282955,-6.984923591249225
-7.061178109022012,-7.061178109022012,-6.822775071131521,-6.822775071131521,-6.954709126728226,-6.955319284214537
-6.760254765078008,-6.761636113982536,-6.509316652416659,-7.027357898153377,-6.921168106641895,-6.921168106641895
-6.562849468677559,-6.65170879118597,-6.878827709196829,-6.874664685487997,-7.047194107559519,-7.047194107559519
-6.614033284751071,-6.645581966706335,-6.802911906942128,-6.802911906942128,-7.195588424904173,-6.989961565778418
-6.96614638802682,-7.061462298921261,-6.409213696521847,-6.409213696521847,-6.72939321039875,-6.72939321039875
-6.806158926406514,-6.872933830375996,-6.899218028842181,-7.316525235142171,-7.572037736111536,-7.209998644381091
-7.144206727997823,-6.494799339361746,-7.038595853978686,-6.835577810645527,-6.771601800091963,-6.771601800091963
-6.7640456927085255,-6.827011760773235,-6.421409950076277,-6.705643733386917,-6.828995203648182,-7.424050269503598
-6.859782447917,-7.144576241011014,-7.1209924138033145,-7.489867958666531,-6.890678753195103,-6.915761033007167
-6.873583312355009,-6.926557234365661,-6.700272393745117,-6.493739941974475,-6.563260004519222,-6.552208083236773
-6.46145792881766,-6.470392800132662,-6.663043773964062,-6.624489054331734,-6.860953798073515,-6.635999275656172
-6.744766836480185,-6.744766836480185,-6.891462685679061,-6.891462685679061,-6.857902409041625,-6.857902409041625
-6.669975869667419,-6.539955428435439,-6.664030410752462,-6.879136514696267,-7.163614443464816,-6.515192312084793
-6.862176939816001,-6.862176939816001,-6.574352781885586,-6.659512002695318,-6.6361983359002155,-6.6361983359002155
-6.770481401603152,-7.086296628894743,-6.850586677644096,-6.850586677644096,-6.405611386505239,-6.38208382907185
-7.071314189602726,-6.492129152422906,-6.790917277050787,-6.883815042948243,-6.792059231129305,-6.792059231129305
-6.511159761902276,-6.6377502962238895,-6.674283127040655,-6.764466908061474,-6.903766416453695,-7.2007623968784955
-6.7351730087241695,-6.7351730087241695,-6.740946247601146,-7.213376406754419,-6.579393385770207,-6.548556376939122
-6.554677056727515,-6.554677056727515,-6.465637842737812,-6.468998912454651,-7.038836270869545,-6.711490689832327
-6.571509104296985,-6.571509104296985,-6.461135089114399,-6.600046393685961,-7.543345693131374,-6.58440152206134
-6.30168441867957,-6.30168441867957,-6.28118121338389,-6.541649140124433,-6.524918500203584,-6.684942917173462
-6.773044194094519,-6.773044194094519,-7.061309267131353,-7.48723608639414,-6.833447734714765,-6.833447734714765
-6.760249560483017,-6.760249560483017,-6.742779345003555,-6.820636353167292,-6.8083463918081275,-6.706780850431651
-6.717684013276752,-6.717684013276752,-6.461393976703723,-6.461393976703723,-6.7897384813968475,-6.823993850641968
-6.837784921698732,-6.830572839023384,-6.649418294594216,-6.649418294594216,-6.836574562327817,-6.789380478638217
-7.110732678294885,-7.110732678294885,-6.885929394151752,-6.492568035169679,-6.915133779206483,-6.919819015732087
-6.681380797988688,-7.6284795643813075,-6.879444793103576,-6.879444793103576,-6.411866963699472,-7.2652127503902655
-6.53373851030219,-6.53373851030219,-6.692929845281349,-6.812250683979663,-7.289663666409574,-7.57601770536283
-7.050274531244415,-7.058020872623943,-6.517419406652889,-6.517419406652889,-6.704420183878921,-6.704420183878921
-6.50281259079002,-6.852704074282604,-7.22964242941601,-6.904464118981808,-7.714944113455484,-6.689175101324352
-6.622028292816608,-6.625945335867803,-6.898681510697927,-7.075006117368231,-6.2539171601191335,-6.5174026347127985
-6.692557675605231,-6.692557675605231,-6.613511659799218,-6.613511659799218,-6.59172848181143,-6.59172848181143
-6.883767369975548,-7.00456022645822,-6.815840344449251,-6.815840344449251,-7.003692654055118,-7.003692654055118
-6.568439413189727,-6.568439413189727,-6.636012295216427,-6.636012295216427,-6.88106909049184,-6.907489851173718
