Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.694383503,0.15,Sectioning,10,500,0
-7.611040188,0.11,NGS,10,500,0
-7.611040188,0.11,UNGS,10,500,0
-7.615633239,0.09,NV,10,500,0
-7.312293179,0.32,Sectioning,20,500,0
-7.195538355,0.45,NGS,20,500,0
-7.193345902,0.45,UNGS,20,500,0
-7.228423888,0.37,NV,20,500,0
-7.078259284,0.65,Sectioning,30,500,0
-7.050997735,0.67,NGS,30,500,0
-7.042020977,0.68,UNGS,30,500,0
-7.109425111,0.54,NV,30,500,0
-6.984144129,0.82,Sectioning,40,500,0
-6.93403502,0.86,NGS,40,500,0
-6.920027975,0.86,UNGS,40,500,0
-7.065495077,0.67,NV,40,500,0
-6.92001795,0.91,Sectioning,50,500,0
-6.876461063,0.91,NGS,50,500,0
-6.872351557,0.92,UNGS,50,500,0
-7.022820571,0.72,NV,50,500,0
-6.901513163,0.93,Sectioning,60,500,0
-6.803022354,0.97,NGS,60,500,0
-6.793645333,0.97,UNGS,60,500,0
-7.02125262,0.78,NV,60,500,0
-6.704930827,0.98,Sectioning,70,500,0
-6.767442023,0.97,NGS,70,500,0
-6.750414569,0.97,UNGS,70,500,0
-6.970592022,0.78,NV,70,500,0
-6.72425281,0.97,Sectioning,80,500,0
-6.748760829,0.97,NGS,80,500,0
-6.722538696,0.98,UNGS,80,500,0
-7.010054734,0.76,NV,80,500,0
-6.853306696,0.82,Sectioning,90,500,0
-6.785276909,0.88,NGS,90,500,0
-6.785276909,0.88,UNGS,90,500,0
-7.005339882,0.67,NV,90,500,0
-8.116878561,0.05,Sectioning,10,400,0
-7.749507314,0.03,NGS,10,400,0
-7.749507314,0.03,UNGS,10,400,0
-7.749833866,0.03,NV,10,400,0
-7.477278816,0.16,Sectioning,20,400,0
-7.356146117,0.29,NGS,20,400,0
-7.352595765,0.29,UNGS,20,400,0
-7.390312667,0.21,NV,20,400,0
-7.187990579,0.4,Sectioning,30,400,0
-7.161050134,0.49,NGS,30,400,0
-7.161050134,0.49,UNGS,30,400,0
-7.231279991,0.36,NV,30,400,0
-7.053786011,0.69,Sectioning,40,400,0
-7.056974282,0.71,NGS,40,400,0
-7.045706887,0.71,UNGS,40,400,0
-7.131162104,0.57,NV,40,400,0
-7.007946957,0.79,Sectioning,50,400,0
-6.951964947,0.86,NGS,50,400,0
-6.946492793,0.86,UNGS,50,400,0
-7.092340232,0.64,NV,50,400,0
-6.882591225,0.83,Sectioning,60,400,0
-6.838423595,0.96,NGS,60,400,0
-6.829459582,0.96,UNGS,60,400,0
-7.064962044,0.71,NV,60,400,0
-6.798581274,0.95,Sectioning,70,400,0
-6.825173159,0.96,NGS,70,400,0
-6.812915491,0.97,UNGS,70,400,0
-7.061219616,0.66,NV,70,400,0
-6.864288008,0.9,Sectioning,80,400,0
-6.836680731,0.92,NGS,80,400,0
-6.835923256,0.93,UNGS,80,400,0
-7.074207862,0.62,NV,80,400,0
-7.007079694,0.67,Sectioning,90,400,0
-6.863715564,0.82,NGS,90,400,0
-6.863715564,0.82,UNGS,90,400,0
-7.118708164,0.55,NV,90,400,0
-8.096493336,0.03,Sectioning,10,300,0
-7.986209534,0.01,NGS,10,300,0
-7.986209534,0.01,UNGS,10,300,0
-7.986209534,0.01,NV,10,300,0
-7.537606305,0.18,Sectioning,20,300,0
-7.53118704,0.13,NGS,20,300,0
