Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.1.1,NGS.1.1,UNGS.1.1,NV.1.1,Sectioning.1.1.1,NGS.1.1.1,UNGS.1.1.1,NV.1.1.1,Sectioning.1.1.1.1,NGS.1.1.1.1,UNGS.1.1.1.1,NV.1.1.1.1,Sectioning.1.1.1.1.1,NGS.1.1.1.1.1,UNGS.1.1.1.1.1,NV.1.1.1.1.1,Sectioning.1.1.1.1.1.1,NGS.1.1.1.1.1.1,UNGS.1.1.1.1.1.1,NV.1.1.1.1.1.1,Sectioning.1.1.1.1.1.1.1,NGS.1.1.1.1.1.1.1,UNGS.1.1.1.1.1.1.1,NV.1.1.1.1.1.1.1,Sectioning,NGS,UNGS,NV
-9.356539417740583,-7.469295317725533,-7.469295317725533,-7.469295317725533,-8.408653009116946,-6.810345944675076,-6.810345944675076,-6.810345944675076,-7.580840511667715,-7.655182615053629,-7.655182615053629,-7.655182615053629,-7.276731344469343,-7.09238447069511,-7.09238447069511,-7.09238447069511,-6.684579777210895,-7.485083388067037,-7.485083388067037,-7.485083388067037,-7.06575349501021,-6.935700807465436,-6.935700807465436,-7.435351604669986,-7.066672577079185,-7.016386672225366,-7.016386672225366,-7.016386672225366,-7.08416810529068,-7.1029863823415145,-7.1029863823415145,-7.1029863823415145,-6.930703980134814,-6.932486076921235,-6.932486076921235,-6.932486076921235
-8.6577769497142,-8.546968679026921,-8.546968679026921,-8.546968679026921,-7.017178189583119,-6.746707982173152,-6.746707982173152,-6.746707982173152,-7.681648455341971,-7.719075564569152,-7.719075564569152,-7.719075564569152,-7.542645238995785,-7.418254630709866,-7.418254630709866,-7.418254630709866,-6.86899621108288,-6.854641041399375,-6.854641041399375,-6.854641041399375,-7.012343341340628,-7.085187815747014,-7.085187815747014,-7.085187815747014,-6.318845033706507,-6.437845070843668,-6.437845070843668,-6.437845070843668,-6.6293622480839085,-6.610084535021339,-6.610084535021339,-6.610084535021339,-6.429874003632385,-7.3185980060484725,-7.3185980060484725,-7.3185980060484725
-8.241813967256897,-8.235247831559516,-8.235247831559516,-8.235247831559516,-7.228112223791514,-7.688635896438037,-7.688635896438037,-7.688635896438037,-6.694016494037375,-7.577438349408757,-7.577438349408757,-7.7485886586327375,-7.128618034015835,-7.401254214087508,-7.401254214087508,-7.401254214087508,-6.442351854781729,-6.468427941580346,-6.468427941580346,-6.468427941580346,-6.827955874002072,-7.139046063864244,-7.139046063864244,-7.506188612266087,-7.322406017433227,-7.322406017433227,-7.322406017433227,-7.322406017433227,-6.239883507785164,-6.14762236494883,-6.14762236494883,-7.203491111281661,-7.757150265036968,-6.989178792290565,-6.989178792290565,-7.445237722988167
-8.10869998371551,-7.953733062208148,-7.953733062208148,-7.953733062208148,-7.605767462265751,-8.395736297353348,-8.395736297353348,-8.395736297353348,-7.297539285559448,-7.636411743979641,-7.636411743979641,-7.636411743979641,-7.264674268022002,-7.800190545728007,-7.800190545728007,-7.800190545728007,-6.5178883046012,-6.458567425473197,-6.458567425473197,-7.332427086992178,-6.759422981769408,-6.831331225523705,-6.831331225523705,-6.831331225523705,-6.7461025083266914,-6.901248505229978,-6.901248505229978,-6.901248505229978,-7.538211225183636,-6.827291661034849,-6.827291661034849,-7.748082658248716,-7.6914300012792784,-6.135374462691336,-6.135374462691336,-6.135374462691336
-7.742948205846138,-8.45419246172553,-8.45419246172553,-8.45419246172553,-7.411685547456802,-8.366584576565742,-8.366584576565742,-8.366584576565742,-7.268843842022231,-7.422688581107536,-7.422688581107536,-7.422688581107536,-7.138266236366546,-7.516268923243489,-7.516268923243489,-7.516268923243489,-7.004965587145951,-7.44206156023843,-7.44206156023843,-7.44206156023843,-6.613890001685071,-6.464494156629662,-6.464494156629662,-7.851478105187976,-6.839858716827374,-6.809927737303135,-6.809927737303135,-6.809927737303135,-7.135193090977493,-7.319307890492544,-7.319307890492544,-7.319307890492544,-7.557927098184383,-7.3878837732683875,-7.3878837732683875,-7.3878837732683875
-7.971359740020705,-8.043619678680468,-8.043619678680468,-8.043619678680468,-7.55728558130084,-7.407459481358955,-7.407459481358955,-7.407459481358955,-7.741556138040186,-6.818437368952834,-6.818437368952834,-7.164061005199893,-7.702515269773399,-7.348681609440446,-7.348681609440446,-7.348681609440446,-7.393602201776109,-6.955443571046391,-6.955443571046391,-6.955443571046391,-6.511932238878537,-6.945168396598322,-6.945168396598322,-7.369386355388816,-7.14052688876424,-7.346297550463651,-7.346297550463651,-7.346297550463651,-6.490175372825743,-6.753978508083868,-6.753978508083868,-6.753978508083868,-7.946452362180883,-7.946452362180889,-7.139400946827945,-8.009713026444246
-7.965252985971189,-8.039431194569735,-8.039431194569735,-8.039431194569735,-7.575639285968313,-7.515305757455367,-7.515305757455367,-7.515305757455367,-7.030094012502151,-7.15340968050914,-7.15340968050914,-7.15340968050914,-7.753206734796826,-7.228328151630301,-7.228328151630301,-7.7866048902078,-7.07429771307475,-7.114354624258286,-7.114354624258286,-7.114354624258286,-7.489596496971991,-7.167256119719065,-7.167256119719065,-7.167256119719065,-6.949871021133833,-6.820919973493808,-6.820919973493808,-6.820919973493808,-6.87145521776819,-6.923941361155631,-6.923941361155631,-6.923941361155631,-7.289289516454947,-6.5984467657499195,-6.5984467657499195,-6.5984467657499195
-8.005868932179258,-8.815477877657326,-8.815477877657326,-8.815477877657326,-7.572702611373074,-7.7723314017928065,-7.7723314017928065,-7.7723314017928065,-7.861886664311061,-7.499710194875017,-7.499710194875017,-7.499710194875017,-8.027076969602644,-8.064472033441312,-8.064472033441312,-8.064472033441312,-7.057754234616858,-7.315566705573751,-7.315566705573751,-7.315566705573751,-6.861665081052856,-7.140908797235348,-6.589948935261832,-7.594196224031297,-7.551077851388677,-7.302845043027853,-7.302845043027853,-7.302845043027853,-7.161516511623836,-7.03889759503326,-7.03889759503326,-7.88841886737587,-6.61352358488362,-6.608224219587344,-6.608224219587344,-7.723239882106226
-8.435460060914377,-8.239772898069473,-8.239772898069473,-8.239772898069473,-7.563970550973786,-7.007053683545029,-7.007053683545029,-7.007053683545029,-6.787447959797809,-7.056411760046492,-7.056411760046492,-7.056411760046492,-7.526333174340415,-6.955762821833411,-6.955762821833411,-6.955762821833411,-7.452016967003166,-7.601707597401953,-7.601707597401953,-7.601707597401953,-6.698688404033419,-6.745964801720129,-6.745964801720129,-7.661406197801363,-6.943656725138569,-6.91664154218908,-6.91664154218908,-6.91664154218908,-6.681036124456484,-6.706455838097587,-6.706455838097587,-7.652511039343789,-7.375520784888776,-6.7658231600687255,-6.7658231600687255,-7.638680549224801
-7.965880585519276,-7.994296632453111,-7.994296632453111,-7.994296632453111,-8.049323807305841,-7.420840263664367,-7.420840263664367,-7.420840263664367,-7.506601554850164,-7.104453848128023,-7.104453848128023,-7.104453848128023,-6.973329076874529,-6.709788027420779,-6.709788027420779,-7.165986208469739,-7.01368712228986,-7.026899962273368,-7.026899962273368,-7.026899962273368,-6.795125457840444,-6.555892705364185,-6.555892705364185,-7.196130322019366,-6.820811614211952,-6.893414084883309,-6.893414084883309,-7.428805651124589,-7.042895669246838,-6.842565518756403,-6.842565518756403,-7.431947718905011,-7.5662253773411905,-6.987906978431729,-6.987906978431729,-7.566225377341192
