Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-8.700369004745813,-8.176675412398819,-8.176675412398819,-8.176675412398819,-7.840019050688887,-7.526136778143741,-7.526136778143741,-7.526136778143741,-7.328600540956003,-6.843182298614101,-6.843182298614101,-6.843182298614101,-6.947439868445363,-6.807987578919578,-6.807987578919578,-6.807987578919578,-6.749162866771162,-6.79991673159811,-6.79991673159811,-6.79991673159811,-6.501515790961181,-6.8237167191916,-6.8237167191916,-7.408746673965863,-6.838674315895544,-6.792076033615097,-6.792076033615097,-6.792076033615097,-7.108057812842017,-6.700565248267111,-6.700565248267111,-6.851025431721431,-7.451432743125368,-7.010794799739738,-7.010794799739738,-7.010794799739738
-7.399502731399727,-8.127235351947458,-8.127235351947458,-8.127235351947458,-7.641802958512726,-6.737961785951745,-6.737961785951745,-7.101036730886414,-6.839037206937266,-7.315453987496089,-7.315453987496089,-7.315453987496089,-7.970572928949431,-7.1127821327755845,-7.1127821327755845,-7.337798990628478,-6.987574541335399,-7.017437661295518,-7.017437661295518,-7.017437661295518,-7.704038805566684,-7.5779119414318306,-7.5779119414318306,-7.5779119414318306,-7.574424544412522,-7.063401896035552,-7.063401896035552,-7.771439281399395,-6.784705772124126,-7.727081432079679,-7.727081432079679,-7.727081432079679,-6.870705937095082,-7.356559190740358,-7.356559190740358,-7.356559190740358
-8.496557802072596,-8.917459602924612,-8.917459602924612,-8.917459602924612,-7.184080819222233,-7.023650427303653,-6.949017528308724,-7.507485063134471,-7.764179800457437,-7.669811017979409,-7.669811017979409,-7.669811017979409,-7.022844882103639,-7.720910133712478,-7.720910133712478,-7.720910133712478,-7.066908243653269,-6.675980211798909,-6.675980211798909,-7.048200997139176,-7.277352441408273,-7.573624753865232,-7.573624753865232,-7.573624753865232,-6.890399387894595,-6.505690433784126,-6.505690433784126,-6.662959829591708,-6.108853890281351,-6.074896326456618,-6.074896326456618,-6.129129887522027,-6.820174731023298,-6.484544192905316,-6.484544192905316,-6.484544192905316
-8.276685735361273,-8.429005130055621,-8.429005130055621,-8.429005130055621,-7.446281989603512,-7.466660812658417,-7.466660812658417,-7.466660812658417,-7.429877660830945,-7.681700158643639,-7.681700158643639,-7.681700158643639,-7.790480935572063,-7.533693310526079,-7.533693310526079,-7.533693310526079,-7.48140042713159,-7.204889538913369,-7.204889538913369,-7.204889538913369,-7.30506817114764,-6.943036962213825,-7.107476368178462,-7.107476368178462,-7.496051070422498,-7.09309651318854,-7.09309651318854,-7.09309651318854,-8.108495209412052,-6.930559224594639,-6.930559224594639,-7.024854300651629,-7.034633330990146,-7.021352670185575,-7.021352670185575,-7.021352670185575
-8.41923982924463,-8.773672406964033,-8.773672406964033,-8.773672406964033,-7.194241149156856,-6.975626337067767,-6.975626337067767,-6.975626337067767,-7.315283623569269,-6.986627784502012,-6.986627784502012,-7.061520171264586,-7.231537789655098,-7.3050432844785345,-7.3050432844785345,-7.3050432844785345,-7.141454115417276,-7.694910273761576,-7.694910273761576,-7.694910273761576,-7.368343114326835,-7.065180121283214,-7.065180121283214,-7.065180121283214,-7.438259596824606,-7.377744561434898,-7.377744561434898,-7.679596333382995,-6.642503361519212,-6.984269458039385,-6.984269458039385,-6.984269458039385,-7.467360182909298,-7.16635829913843,-7.16635829913843,-7.77190135256749
-8.700989349292549,-7.725487037093575,-7.725487037093575,-7.725487037093575,-7.568195264735778,-7.675691794616894,-7.675691794616894,-7.675691794616894,-7.114488635560786,-7.434175635660888,-7.434175635660888,-7.434175635660888,-7.152047408791226,-6.951697658019791,-6.951697658019791,-6.951697658019791,-7.355917555846876,-7.074614002821229,-7.074614002821229,-7.074614002821229,-6.904174444525046,-6.611057627374812,-6.611057627374812,-6.611057627374812,-6.951369662948761,-6.979167854285015,-6.979167854285015,-6.979167854285015,-7.659761489860182,-6.835882983253057,-6.835882983253057,-6.835882983253057,-6.7822867079108455,-6.716265577069474,-6.716265577069474,-6.716265577069474
-7.469188652095733,-7.188893128183702,-7.188893128183702,-7.188893128183702,-8.314386841434473,-8.45259504788908,-8.45259504788908,-8.45259504788908,-7.456053889517295,-7.216416496256876,-7.216416496256876,-7.216416496256876,-7.319893016046382,-7.217603766368459,-7.217603766368459,-7.217603766368459,-7.144233137728767,-6.826259631938109,-6.826259631938109,-6.826259631938109,-7.706373122473544,-6.90153223823742,-6.90153223823742,-6.90153223823742,-6.983143330001483,-6.746900172460257,-6.746900172460257,-7.538713374497633,-6.754660431820379,-7.062724231429441,-7.062724231429441,-7.062724231429441,-6.758929177703528,-6.812284217299472,-6.812284217299472,-6.812284217299472
-7.697587413084826,-8.022413526339067,-8.022413526339067,-8.022413526339067,-7.95153023075565,-7.734865881958651,-7.734865881958651,-7.734865881958651,-6.715712726182706,-7.518240362472923,-7.518240362472923,-7.518240362472923,-7.002371698752917,-7.002371698752917,-7.002371698752917,-7.076645943394512,-6.748353383706907,-7.497579474979414,-7.497579474979414,-7.497579474979414,-7.06058796560035,-6.715747111143976,-6.715747111143976,-6.715747111143976,-6.87651989244232,-7.051798496471997,-7.051798496471997,-7.051798496471997,-7.43334632077657,-7.398991862161002,-7.398991862161002,-7.398991862161002,-7.334983547094484,-7.305816529792596,-7.305816529792596,-7.753016238760107
-7.069185606808153,-7.817480195019204,-7.817480195019204,-7.817480195019204,-8.555005327068482,-7.704948685295312,-7.704948685295312,-7.704948685295312,-7.350713713355402,-6.837224149364925,-6.837224149364925,-6.837224149364925,-7.220144318774996,-7.247987102324005,-7.247987102324005,-7.247987102324005,-7.130211853462479,-7.274765689112462,-7.274765689112462,-7.274765689112462,-8.14743220734315,-7.672567415207375,-7.672567415207375,-7.672567415207375,-6.645633421362864,-6.922473612094856,-6.922473612094856,-6.922473612094856,-6.377584042034172,-7.077069777095772,-7.077069777095772,-7.077069777095772,-7.3562851548438,-7.044784256919038,-7.044784256919038,-7.2689031784085065
-7.4258973506513986,-8.127991419257228,-8.127991419257228,-8.127991419257228,-7.86468600648478,-8.203134592153235,-8.203134592153235,-8.203134592153235,-7.076957490519334,-7.192855079056981,-7.192855079056981,-7.192855079056981,-6.955578110516761,-7.41751309144159,-7.41751309144159,-7.41751309144159,-7.385503461836029,-7.379392512546438,-7.379392512546438,-7.379392512546438,-7.425469230002358,-7.140218384495931,-7.140218384495931,-7.140218384495931,-6.643486830975175,-6.570898659653885,-6.570898659653885,-6.570898659653885,-7.084030332437415,-6.782073638541476,-6.782073638541476,-6.866422248828063,-6.716077768749095,-6.331569652792165,-6.331569652792165,-7.233903986905745
-8.098340284608957,-7.708153936245758,-7.708153936245758,-7.708153936245758,-7.585118804892913,-7.411247837830025,-7.411247837830025,-7.411247837830025,-6.5131351356112255,-7.100291724587704,-7.100291724587704,-7.100291724587704,-7.074709660766835,-7.389462466414772,-7.389462466414772,-7.389462466414772,-7.3982668363297295,-7.31088823905333,-7.31088823905333,-7.31088823905333,-7.239938661093706,-6.701738206024425,-6.701738206024425,-6.832785130699125,-7.2823801232614995,-7.211608842454947,-7.211608842454947,-7.211608842454947,-6.886587321674229,-7.000469177881779,-6.86018042725029,-7.350192283920203,-6.7327641420579285,-6.612291843344039,-6.612291843344039,-6.808007867201432
-7.695697406208698,-7.286760933658927,-7.286760933658927,-7.286760933658927,-7.02339763200776,-7.816011938302849,-7.816011938302849,-7.816011938302849,-7.438865300036522,-7.486117831289312,-7.486117831289312,-7.486117831289312,-6.754546365781933,-6.885450023821642,-6.885450023821642,-6.885450023821642,-6.912630548361184,-7.369987415655606,-7.369987415655606,-7.369987415655606,-6.8182427636835525,-6.615088706022052,-6.615088706022052,-7.130610055895283,-6.885617343566217,-6.927139080182588,-6.927139080182588,-6.927139080182588,-7.084997556317349,-7.0631090126831015,-7.0631090126831015,-7.0631090126831015,-6.723878375844317,-6.694515424769039,-6.694515424769039,-6.694515424769039
