Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning.8,NGS.8,UNGS.8,NV.8,Sectioning,NGS,UNGS,NV
-8.44260002781799,-8.91573009361067,-8.91573009361067,-8.91573009361067,-8.44260002781799,-8.91573009361067,-8.91573009361067,-8.91573009361067,-8.49515027376683,-7.783310768088818,-7.783310768088818,-7.783310768088818,-8.546727843041738,-8.725857714681833,-8.725857714681833,-8.725857714681833,-7.884286693049814,-7.609515528669623,-7.609515528669623,-7.609515528669623,-7.874098213167085,-7.416362350478465,-7.416362350478465,-7.416362350478465,-7.017662224053152,-8.009961765270322,-8.009961765270322,-8.009961765270322,-6.575785522902784,-7.098525438966428,-7.098525438966428,-7.098525438966428,-8.235439282944686,-7.37068714665576,-7.37068714665576,-7.986141239271523,-7.50002283531314,-7.979117418333464,-7.979117418333464,-7.979117418333464
-8.027742091439976,-8.628672140509774,-8.628672140509774,-8.628672140509774,-8.027742091439976,-8.628672140509774,-8.628672140509774,-8.628672140509774,-7.764780518887406,-8.71600211743107,-8.71600211743107,-8.71600211743107,-8.441474204221729,-7.874937152381754,-7.874937152381754,-7.874937152381754,-7.837315683899717,-8.185630520290871,-8.185630520290871,-8.185630520290871,-7.511721941411389,-8.1100135434338,-8.1100135434338,-8.1100135434338,-7.467903066604618,-7.141473470986359,-7.141473470986359,-7.141473470986359,-8.376180816860666,-8.420688240088548,-8.420688240088548,-8.420688240088548,-8.423339259116045,-7.840771824737884,-7.840771824737884,-7.840771824737884,-7.57875743451632,-6.720490436856494,-6.720490436856494,-6.720490436856494
-8.892966076518352,-8.116047611536626,-8.116047611536626,-8.116047611536626,-8.892966076518352,-8.116047611536626,-8.116047611536626,-8.116047611536626,-8.500528239541278,-8.323625057537814,-8.323625057537814,-8.323625057537814,-7.560906851164396,-8.324060845212642,-8.324060845212642,-8.324060845212642,-7.193048521056634,-6.799511296396222,-6.799511296396222,-6.799511296396222,-7.980382927095665,-8.072105662032527,-8.072105662032527,-8.072105662032527,-7.541872803358348,-7.593603958686122,-7.593603958686122,-7.593603958686122,-7.765234298138159,-7.233476338300445,-7.636369094565127,-7.636369094565127,-7.998761682446422,-7.9043537118531075,-7.9043537118531075,-7.9043537118531075,-8.20629558074065,-7.80331680149345,-7.80331680149345,-7.80331680149345
-9.61946002816772,-8.982927209271097,-8.982927209271097,-8.982927209271097,-9.61946002816772,-8.982927209271097,-8.982927209271097,-8.982927209271097,-8.40102911566417,-8.833962411982839,-8.833962411982839,-8.833962411982839,-8.293622369709524,-7.712778249582477,-7.712778249582477,-7.712778249582477,-8.408478208536378,-8.162882657362497,-8.162882657362497,-8.162882657362497,-7.342930636237852,-7.465163824958153,-7.465163824958153,-7.465163824958153,-7.539332007965104,-8.213160965803658,-8.213160965803658,-8.213160965803658,-6.991888974871287,-6.989872149691172,-6.989872149691172,-6.989872149691172,-7.69263868031693,-7.834534504370284,-7.834534504370284,-7.834534504370284,-8.094202449042397,-7.326705900290869,-7.326705900290869,-7.326705900290869
-7.905108818642075,-7.929531167713744,-7.929531167713744,-7.929531167713744,-7.905108818642075,-7.929531167713744,-7.929531167713744,-7.929531167713744,-8.375658076940756,-9.18059370410232,-9.18059370410232,-9.18059370410232,-9.33442599419578,-7.667297284208463,-7.667297284208463,-7.667297284208463,-7.9648336176470735,-8.017811579616817,-8.017811579616817,-8.017811579616817,-7.71262537377956,-6.834720619086319,-6.834720619086319,-6.834720619086319,-7.987852240901493,-9.075233959240569,-9.075233959240569,-9.075233959240569,-7.2313887089044915,-7.2313887089044915,-7.941597537755943,-7.941597537755943,-8.382483860705669,-7.847720738877314,-7.847720738877314,-7.847720738877314,-7.816441830089911,-7.350000244934972,-7.350000244934972,-7.350000244934972
-8.400282782339422,-8.603073799905832,-8.603073799905832,-8.603073799905832,-8.400282782339422,-8.603073799905832,-8.603073799905832,-8.603073799905832,-8.388403570176314,-9.155535845212576,-9.155535845212576,-9.155535845212576,-7.3109799076804896,-8.120573139097061,-8.120573139097061,-8.120573139097061,-8.215463068693692,-8.610978955690268,-8.610978955690268,-8.610978955690268,-7.316926957331853,-7.888135027900797,-7.888135027900797,-7.888135027900797,-7.230238782436055,-7.633373912915762,-7.633373912915762,-7.633373912915762,-7.938132484185024,-7.4695741681894,-7.4695741681894,-7.4695741681894,-8.211308156550663,-8.18455195880289,-8.18455195880289,-8.18455195880289,-8.115989729153426,-7.7430449603203915,-7.7430449603203915,-7.7430449603203915
-8.717639576102165,-9.310691947353178,-9.310691947353178,-9.310691947353178,-8.717639576102165,-9.310691947353178,-9.310691947353178,-9.310691947353178,-7.722967633215396,-7.832346593886834,-7.832346593886834,-7.832346593886834,-8.029127311607484,-7.628033297357513,-7.628033297357513,-7.628033297357513,-7.118799455400879,-8.21140618297802,-8.21140618297802,-8.21140618297802,-7.847540588536624,-7.957774637946708,-7.957774637946708,-7.957774637946708,-8.31764134568768,-8.386467538448802,-8.386467538448802,-8.386467538448802,-7.342723852886888,-8.432147260679587,-8.432147260679587,-8.432147260679587,-7.966648177519191,-8.123626068544954,-8.123626068544954,-8.123626068544954,-7.788829126831436,-7.584919441450384,-7.584919441450384,-7.584919441450384
-9.323904263393732,-9.843807638440056,-9.843807638440056,-9.843807638440056,-9.323904263393732,-9.843807638440056,-9.843807638440056,-9.843807638440056,-8.728613780706526,-7.549102213880927,-7.549102213880927,-7.549102213880927,-8.384385371442413,-8.481028295896982,-8.481028295896982,-8.481028295896982,-7.826132724570135,-7.463487651698122,-7.463487651698122,-7.463487651698122,-8.06853363743724,-8.258613669641377,-8.258613669641377,-8.258613669641377,-7.617136023739437,-7.846640286921716,-7.846640286921716,-7.846640286921716,-6.528544174082247,-6.528544174082247,-6.528544174082247,-6.528544174082247,-7.904892244483275,-8.028423699365401,-8.028423699365401,-8.028423699365401,-7.397284480857055,-7.066554469398928,-7.066554469398928,-7.066554469398928
-8.53698750799718,-8.412827241303994,-8.412827241303994,-8.412827241303994,-8.53698750799718,-8.412827241303994,-8.412827241303994,-8.412827241303994,-8.14299725674919,-8.19117991076268,-8.19117991076268,-8.19117991076268,-7.992797756824325,-8.536961881489677,-8.536961881489677,-8.536961881489677,-7.4911388642132275,-7.839489444425874,-7.839489444425874,-7.839489444425874,-7.699952656084431,-7.263239399031254,-7.263239399031254,-7.263239399031254,-7.587641736908874,-7.904953010164037,-7.904953010164037,-7.904953010164037,-8.027778454253813,-7.406685849055334,-7.406685849055334,-7.406685849055334,-7.106719402471443,-7.163688243931633,-7.163688243931633,-7.163688243931633,-7.9143894215188295,-7.5071350346818075,-7.5071350346818075,-7.5071350346818075
-8.067767502064227,-7.432242810385389,-7.432242810385389,-7.432242810385389,-8.067767502064227,-7.432242810385389,-7.432242810385389,-7.432242810385389,-9.071808866469304,-8.550278179891531,-8.550278179891531,-8.550278179891531,-8.982115370660255,-8.500898606015294,-8.500898606015294,-8.500898606015294,-8.093110671972898,-7.9301800011413635,-7.9301800011413635,-7.9301800011413635,-7.732568571770566,-7.352996332148923,-7.352996332148923,-7.363141235940357,-8.202811047437132,-7.453619432170246,-7.453619432170246,-7.453619432170246,-7.803875695499348,-8.133644667995878,-8.133644667995878,-8.133644667995878,-7.639332798679705,-7.61204169395808,-7.61204169395808,-7.61204169395808,-8.056654489069096,-7.71581755715832,-7.71581755715832,-7.71581755715832
