Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-9.483819665990268,-7.813400018096917,-7.813400018096917,-7.813400018096917,-7.370748383295357,-7.988450663546875,-7.988450663546875,-7.988450663546875,-7.205336082463501,-7.752153810490952,-7.752153810490952,-7.752153810490952,-7.179530563823014,-7.248079156932127,-7.248079156932127,-7.248079156932127,-7.822675251924789,-7.444838956332436,-7.444838956332436,-7.444838956332436,-7.353972106613672,-7.505434357099165,-7.786865771813758,-7.786865771813758,-6.276444797362774,-6.985403009430276,-6.985403009430276,-6.985403009430276,-6.984765762981768,-7.780990436918813,-7.780990436918813,-7.780990436918813,-7.621057856876873,-7.38355003103174,-7.38355003103174,-7.38355003103174
-7.711862584709273,-8.812632650980607,-8.812632650980607,-8.812632650980607,-7.928742822217687,-7.185676713170088,-7.185676713170088,-7.185676713170088,-7.434219361762132,-7.051708818536104,-7.051708818536104,-7.051708818536104,-6.941983060941048,-7.442078091312615,-7.442078091312615,-7.442078091312615,-7.697280210306718,-7.250724575234962,-7.250724575234962,-7.250724575234962,-6.835988360430131,-6.767813843896189,-6.892773601367687,-6.892773601367687,-6.749860433611793,-7.1190500645553705,-7.1190500645553705,-7.1190500645553705,-7.807276811973608,-6.190610944224749,-6.190610944224749,-6.190610944224749,-7.8356098658312705,-7.740731133276898,-7.961573196501817,-7.961573196501817
-8.696548201480237,-8.32808208235484,-8.32808208235484,-8.32808208235484,-7.089054025039343,-7.114677877082051,-7.114677877082051,-7.114677877082051,-7.254669718883268,-7.253115309004078,-7.253115309004078,-7.253115309004078,-7.512052197040532,-7.446506853092158,-7.446506853092158,-7.446506853092158,-6.8963766846530445,-7.250537688678956,-7.250537688678956,-7.250537688678956,-7.272896543951177,-7.06675122692681,-7.06675122692681,-7.06675122692681,-6.836497706521422,-6.979746016277844,-6.979746016277844,-6.979746016277844,-7.171978253365366,-6.930713446519729,-6.930713446519729,-6.930713446519729,-7.4027800823391665,-6.963995853052934,-6.963995853052934,-6.963995853052934
-8.217010960467029,-7.239382500576014,-7.239382500576014,-7.239382500576014,-7.836471439906143,-7.427621203455946,-7.539953936842427,-7.539953936842427,-7.9160366461466865,-7.645568907266711,-7.645568907266711,-7.645568907266711,-7.448333606411442,-6.841016029013062,-6.841016029013062,-6.841016029013062,-7.148160019296383,-7.315051839076494,-7.315051839076494,-7.315051839076494,-6.484281277302616,-7.501058587600924,-7.501058587600924,-7.501058587600924,-6.945477057600973,-6.772719348811123,-6.84879776320334,-6.84879776320334,-6.664478325809545,-6.654297089331047,-6.654297089331047,-6.654297089331047,-6.46666412797209,-6.200558704950343,-6.5041928841875585,-6.5041928841875585
-8.14992614470585,-8.387792245243572,-8.387792245243572,-8.387792245243572,-7.331060946234409,-7.352714476190247,-7.352714476190247,-7.352714476190247,-6.9863189217000485,-7.696402647050464,-7.696402647050464,-7.696402647050464,-7.569872192756231,-7.69945390916088,-7.69945390916088,-7.69945390916088,-6.763703117714085,-6.960765161476826,-6.960765161476826,-6.960765161476826,-6.44644910818513,-6.458998861687784,-6.458998861687784,-6.666009636751255,-6.890265342714522,-7.299991533533294,-7.75591460863373,-7.75591460863373,-7.383492394303351,-7.243160329091129,-7.243160329091129,-7.243160329091129,-6.9467759879765545,-6.8118601355488035,-6.8118601355488035,-6.8118601355488035
-8.122085649071659,-7.613854097146325,-7.613854097146325,-7.613854097146325,-7.540815135521459,-7.750847967408119,-7.750847967408119,-7.750847967408119,-7.319646864613887,-7.353457928546234,-7.353457928546234,-7.353457928546234,-7.669049575437488,-6.677740453673842,-6.677740453673842,-6.677740453673842,-7.172523649142208,-7.347605349280485,-7.347605349280485,-7.347605349280485,-6.963272050089642,-7.648728147593218,-7.648728147593218,-7.648728147593218,-7.0147001385485535,-7.342276611780764,-7.342276611780764,-7.342276611780764,-6.535978087097261,-6.9271645056139874,-6.9271645056139874,-6.9271645056139874,-7.19341364324643,-6.175566982369186,-6.175566982369186,-6.175566982369186
-7.4802931598404925,-7.208175142234173,-7.208175142234173,-7.208175142234173,-7.982579650548306,-7.278235387928981,-7.278235387928981,-7.278235387928981,-7.450430426328447,-7.383246618224263,-7.383246618224263,-7.383246618224263,-7.052916201729885,-6.50074983018524,-6.50074983018524,-6.50074983018524,-7.454590715178952,-6.101584949695721,-6.101584949695721,-6.101584949695721,-7.2002856465052325,-7.162419861335692,-7.162419861335692,-7.306305306581468,-7.307766154674162,-6.89135366836146,-6.89135366836146,-6.89135366836146,-6.834134639205734,-7.5963169616874335,-7.5963169616874335,-7.5963169616874335,-7.133618327732502,-6.685728627264968,-7.440448856496921,-7.440448856496921
-9.412666530380712,-7.323055337217523,-7.323055337217523,-7.323055337217523,-7.310077154735068,-7.135642367990074,-7.135642367990074,-7.135642367990074,-8.263149130338162,-7.499127043125297,-7.564691990010449,-7.564691990010449,-8.231303458202508,-7.104729574889973,-7.104729574889973,-7.104729574889973,-7.337268684845416,-7.322490775155197,-7.322490775155197,-7.651293191346221,-7.59207041113441,-7.023020027531082,-7.023020027531082,-7.023020027531082,-7.02137955183732,-7.085483599726324,-7.085483599726324,-7.085483599726324,-7.348578084741386,-6.289228454296372,-6.289228454296372,-6.289228454296372,-7.491811354818069,-7.311297955563306,-7.419083407803451,-7.419083407803451
-7.416917240166549,-8.07494594219014,-8.07494594219014,-8.07494594219014,-7.745470050928217,-7.9288054166005,-7.9288054166005,-7.9288054166005,-7.242072459174789,-7.1468380563583205,-7.1468380563583205,-7.1468380563583205,-7.5051571479618495,-7.565543300368237,-7.565543300368237,-7.565543300368237,-7.175891407178252,-7.126507666709537,-7.126507666709537,-7.126507666709537,-7.187425867292615,-7.077348904246488,-7.077348904246488,-7.077348904246488,-6.965574228847501,-7.18176831097691,-7.18176831097691,-7.18176831097691,-7.178730157894842,-7.301624829261415,-7.301624829261415,-7.34685906684066,-6.877803677556548,-6.638752580569404,-6.638752580569404,-6.638752580569404
-8.292038243450527,-8.516066565153789,-8.516066565153789,-8.516066565153789,-6.444903305122506,-7.067000727798797,-7.067000727798797,-7.067000727798797,-7.189383647532072,-7.177150577853985,-7.177150577853985,-7.177150577853985,-6.80095968937291,-7.498537743283189,-7.498537743283189,-7.498537743283189,-7.158293231068399,-6.658407394039323,-7.178151069464652,-7.492956681058233,-7.469971368569981,-7.0714891465649945,-7.261040655155088,-7.261040655155088,-6.891520828019688,-7.061206588992628,-7.061206588992628,-7.061206588992628,-7.106873971424835,-6.862242810025051,-6.862242810025051,-7.047891193331821,-7.276656385281644,-6.806715572367391,-6.806715572367391,-6.806715572367391
